"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"kawaii chan xo",2.6,3.6,4.2,7.3,0,0,1,5,4,50,13,8,17,5,4,38,46.62,2163.9
"Francis4",2.25,2.10,2.00,2.40,4,0,0,0,1,40,5,6,7,2,2,33,32.40,1891.8
"The Weenie Hut",2.55,3.70,4.00,6.50,7,1,2,0,0,60,14,9,17,1,5,37,135.72,2035.7
"Makhabre",3.14,1.60,5.80,16.60,0,0,0,1,9,60,0,3,14,2,0,58,43.68,2091.3
"DramaQueen101",3.30,5.00,5.00,11.50,0,0,0,5,5,80,0,9,25,3,12,50,24.77,2052.5
"buttstuffxxx",2.45,4.80,4.90,7.20,5,0,2,0,3,50,12,7,13,2,3,43,44.13,1835.3
"chueneng",2.38,7.00,6.50,8.50,5,1,0,3,1,60,7,9,16,3,5,46,24.58,2012.6
"OSX Faith",2.82,4.00,6.10,13.20,1,0,0,3,6,40,52,8,24,1,6,48,108.22,2354.2
"TheLeaguesKnees",3.78,7.70,3.70,6.30,2,0,4,2,0,63,0,12,15,0,2,52,49.23,1986.875
"ShocKy527",1.89,7.70,8.70,8.70,1,1,0,4,4,30,4,16,9,4,4,59,75.12,1896.5
"Shikix3",2.40,6.00,5.30,6.70,5,4,1,0,0,40,0,16,18,1,2,41,52.55,2112.7
"Yougotcheezed",2.32,7.40,7.10,9.10,0,5,3,1,1,50,11,8,13,0,2,55,120.30,1981.9
"Kuong13",3.93,1.90,4.10,14.20,0,0,1,1,7,67,19,2,17,1,1,61,32.40,1866.888888888889
"Sandriea",2.17,4.50,6.00,8.50,0,1,5,3,1,40,9,4,20,2,2,48,22.33,1899.3
"UbeTube",2.61,5.20,5.60,9.40,2,0,8,0,0,70,10,10,27,5,2,43,17.05,2074.8
"shuttupandplayy",3.90,5.90,5.00,13.60,0,0,1,6,3,60,15,13,18,2,3,56,246.98,2042.3
"God Of Scrubs",3.35,3.80,4.00,9.60,4,6,0,0,0,70,20,9,20,1,3,46,192.97,1928.9
"Eantheman",2.43,7.40,7.40,10.60,1,1,1,7,0,60,0,12,20,4,2,52,44.12,2049.4
"dannybo17",1.59,4.80,9.50,10.30,1,3,1,1,4,50,0,3,16,2,3,49,32.47,2083.9
"Conga",1.94,8.80,8.20,7.10,0,0,1,9,0,40,0,12,15,2,2,45,25.60,1992.9
"calvinator73",2.05,9.90,7.70,5.90,7,0,3,0,0,50,6,17,10,1,0,51,52.35,1815.7
"SilentSaiyan",2.31,1.70,7.70,16.10,0,0,0,0,10,60,12,3,23,3,4,56,69.73,2054.8
"Namonai",2.73,2.20,7.30,17.70,0,0,0,0,10,50,2,3,15,3,5,58,26.07,1995.5
"Kaderade1313",1.48,1.70,6.90,8.50,1,1,0,1,7,40,9,5,12,1,2,47,24.00,1730.4
"RubberDingus",1.94,5.60,7.00,8.00,0,2,0,7,1,40,0,11,17,3,2,48,58.67,1779.8
"Dr Mandrew",2.36,4.00,3.90,5.20,8,2,0,0,0,60,2,13,12,3,4,31,197.18,1773.6
"Brosbice",3.51,10.00,4.90,7.20,3,0,1,6,0,70,17,15,19,3,2,54,62.03,2035.4
"jimmy hahahhan",2.77,6.50,5.70,9.30,0,4,5,1,0,60,3,10,17,1,4,51,84.80,1924.1
"Aleini",2.18,6.80,5.50,5.20,1,1,3,5,0,30,13,15,15,3,2,51,42.53,1760.2
"WOLFHAVEN42",3.38,3.60,5.00,13.30,1,0,0,0,9,90,0,10,19,5,4,43,45.17,1892.5
