"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Faded Spirit",2.8,5.9,5,8.1,0,4,1,4,1,50,0,6,17,3,2,50,42.28,1802.1
"PrisonWine",3.31,2.50,4.50,12.40,1,0,0,0,9,50,0,3,13,0,4,47,28.38,2043.1
"MEGAZAK14",1.20,6.50,9.90,5.40,2,5,2,1,0,30,6,10,14,4,0,39,75.50,2042.6
"Habanaroan Heat",2.21,6.40,6.30,7.50,1,8,1,0,0,60,8,10,19,3,5,45,106.53,2106.8
"limani171",2.93,4.30,4.20,8.00,0,0,1,9,0,70,0,15,15,3,4,41,31.57,1810.8
"Manetharen",1.99,8.20,8.10,7.90,4,0,6,0,0,50,0,13,23,1,5,51,23.27,2035.4
"a0ra",3.77,1.20,4.00,13.90,1,1,0,0,8,60,25,1,11,2,2,52,44.62,1839.2
"xXGalezXx",1.83,6.50,7.80,7.80,1,8,1,0,0,60,4,6,19,4,3,46,184.83,2002.5
"Elaantar",2.43,2.20,5.30,10.70,1,0,0,0,9,30,0,5,14,2,2,48,78.08,2000.7
"TorontoQQbear",2.52,3.50,6.60,13.10,0,0,0,2,8,60,20,4,20,4,3,53,56.08,2027.4
"serjohnsea",1.22,4.00,8.50,6.40,2,7,0,1,0,30,1,1,7,1,2,44,79.12,1774.9
"TommyGunzdtd",6.31,0.80,2.60,15.60,1,0,0,0,9,70,0,7,20,1,0,50,38.52,1973
"Leniford",3.04,2.30,5.00,12.90,0,0,3,0,7,60,37,5,10,2,2,50,58.43,1894.3
"TKN Ezekiel",1.82,3.50,6.20,7.80,0,0,1,3,6,40,7,6,14,1,1,42,83.58,1977.9
"dedicatestar",2.80,2.20,5.10,12.10,0,0,0,1,9,50,8,4,14,3,2,51,48.72,1996
"WillSmiff6969",3.19,4.40,4.30,9.30,4,4,1,0,1,50,0,6,14,3,2,51,153.15,2004.3
"Auduro",2.71,4.10,5.20,10.00,2,5,0,0,3,60,0,11,17,1,3,37,45.90,2280.2
"SexyKnees",3.52,3.80,3.30,7.80,8,0,1,0,1,40,24,11,13,2,4,43,197.30,2018
"SwimInMyPoole",1.62,5.70,6.90,5.50,0,3,1,6,0,30,6,8,18,3,0,37,80.32,2068.8
"xxmochomanxx",2.16,10.60,8.60,8.00,0,3,7,0,0,40,0,8,10,2,1,53,80.43,2200.7
"cyclops34",2.10,4.40,6.10,8.40,2,5,1,2,0,30,0,5,24,3,3,44,133.42,2054
"Aashur",2.31,5.80,6.40,9.00,7,0,2,1,0,40,4,4,14,3,2,44,338.15,2233.5
"Lily Eledwhen",2.05,7.40,7.70,8.40,3,0,3,4,0,50,6,9,19,2,2,46,100.35,2124.1
"WonderSack",2.63,6.00,5.70,9.00,6,4,0,0,0,50,4,20,20,3,6,43,227.37,2337.8
"Juandavid95",3.08,7.60,5.00,7.80,4,0,4,1,1,60,12,13,18,2,2,41,63.52,2173.7
"mojojojo1515",3.69,2.30,5.40,17.60,0,0,0,1,9,70,11,3,18,1,5,53,291.62,2193.8
"SpreadEmCheeks",1.38,3.10,7.20,6.80,1,3,2,1,3,40,1,6,14,3,3,34,46.23,1933.3
"SnapTekken",2.13,6.10,6.10,6.90,2,5,3,0,0,20,0,1,8,0,3,51,78.58,1821.6
"Brumpelstiltskin",4.13,3.80,3.90,12.30,3,0,0,0,7,70,0,6,17,1,2,52,70.18,1765.7
"WcwCxArmy",0.99,4.00,10.40,6.30,0,1,7,2,0,40,0,10,13,5,4,36,29.62,2153.3
"Spawn of Geese",4.26,1.60,2.70,9.90,0,3,0,0,7,80,19,6,16,2,3,42,78.10,1802.6
"demonshamrock",2.64,5.70,6.10,10.40,1,0,1,6,2,40,6,8,15,1,1,55,28.88,2061.7
"JustQ33",2.32,3.30,6.20,11.10,3,0,1,3,3,30,12,6,22,2,9,46,87.97,2353.6
"Tubs XII",2.80,6.00,6.40,11.90,0,2,1,7,0,80,16,8,20,3,4,49,62.97,2125.3
"StealthySquid",2.71,5.40,6.80,13.00,3,0,2,1,4,60,16,13,21,4,3,50,113.37,1908.8
"KoadRill",3.41,2.90,5.60,16.20,0,1,0,1,8,60,8,8,19,2,3,48,116.63,2120.4
"SoundOfViolence",3.04,8.10,5.50,8.60,6,0,0,4,0,50,0,9,13,5,3,56,76.98,1962.4
"Treints",2.93,7.10,5.50,9.00,3,7,0,0,0,30,0,14,11,0,0,55,179.47,2128.1
"jdmsqueek",1.96,2.80,4.90,6.80,1,0,1,8,0,60,1,7,12,2,2,40,59.65,1757.2
"chucho421",1.27,4.60,8.80,6.60,4,1,2,0,3,40,9,14,21,1,7,38,89.55,2096.4
"leekOfLagend",3.72,3.70,3.60,9.70,0,0,1,5,4,60,0,3,12,1,1,54,72.30,1817.9
"Pray2YoMama",3.53,4.20,5.50,15.20,0,0,1,0,9,70,8,4,22,3,4,54,29.97,2061.2
"xx251000",3.69,5.10,3.90,9.30,1,0,3,5,1,50,0,7,22,3,0,48,171.33,2176
"crustation112",2.67,7.10,5.80,8.40,1,2,4,3,0,60,1,14,19,0,3,55,61.02,1961.9
"bloodred king",2.71,5.30,5.80,10.40,4,2,1,2,1,70,0,10,15,3,2,44,64.98,1773
"dodgertown2015",2.59,2.50,4.40,8.90,1,2,0,1,6,30,4,8,8,2,1,49,144.38,1905
"Mikeandnike1",2.31,7.50,7.00,8.70,0,5,5,0,0,50,7,11,20,5,5,58,83.90,2051.3
