"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Kiyoon",2.64,4.2,5.9,11.4,2,2,0,0,6,50,41,3,15,0,8,56,99.7,1932
"ChamGyoUuk",1.51,3.10,5.30,4.90,10,0,0,0,0,70,19,9,13,3,0,40,48.55,1465.1
"Slooshi8",2.19,6.20,5.20,5.20,0,0,4,5,1,30,9,9,8,6,5,53,71.55,1729.8
"Linsanityy",1.79,3.50,5.30,6.00,0,1,9,0,0,40,22,16,6,2,3,52,67.37,1670.6
"KiWiKiD",3.95,3.00,4.20,13.60,1,0,0,1,8,50,41,7,14,1,4,63,30.65,1843
"lron Pyrite",2.08,3.00,6.00,9.50,0,0,2,0,8,40,30,2,13,0,4,51,38.98,1896.3
"SE MaGeRdAnGeR",4.26,5.90,3.40,8.60,0,8,2,0,0,40,26,9,14,2,4,62,135.12,1932.6
"Ohqute",2.72,6.40,5.40,8.30,0,2,0,8,0,40,22,19,16,4,6,54,49.13,1840.2
"Ablazeolive",2.56,6.60,5.40,7.20,1,0,8,1,0,60,24,10,9,5,5,51,56.75,1689
"Ness Wizard",5.90,6.90,2.10,5.50,8,2,0,0,0,70,18,12,12,10,7,46,56.47,1820.9
"Cris",1.95,5.30,6.10,6.60,6,0,4,0,0,30,17,5,10,1,4,59,101.82,1816.6
"PandaTV Xiaoxin",2.50,5.70,5.20,7.30,4,1,5,0,0,60,20,8,20,2,5,45,39.68,1748.5
"Duocek",2.49,4.60,4.10,5.60,0,0,7,3,0,50,19,11,9,2,3,48,20.18,1748.8
"CJE Kramer",4.72,6.50,2.90,7.20,0,3,0,7,0,50,4,14,12,4,3,57,58.58,1787
"Poppers OP",2.75,5.40,4.80,7.80,1,3,3,1,2,50,15,7,12,3,5,52,76.65,1753
"Shiphtur",4.86,6.40,2.80,7.20,1,0,8,0,1,70,30,14,10,4,4,54,55.27,1688.5
"Arcsecond",2.49,8.50,5.70,5.70,0,0,10,0,0,50,12,12,16,4,8,51,51.03,1970.2
"Beasted",4.05,7.20,3.80,8.20,4,4,1,1,0,70,7,18,15,3,6,61,92.37,1777.8
"Contractz",3.63,6.90,4.00,7.60,0,10,0,0,0,70,24,6,10,4,1,58,94.08,1543.2
"OG DoubleG",3.93,4.60,4.10,11.50,2,0,1,3,4,90,27,14,12,2,4,51,54.22,1792.2
"Solarshower",3.88,2.20,3.40,11.00,0,0,0,1,9,40,21,4,15,5,4,63,21.20,1751.9
"Celend",2.76,2.90,4.90,10.60,0,1,7,0,2,40,43,6,13,3,5,50,80.68,1756.4
"Sudzzi",2.26,3.70,4.20,5.80,5,0,5,0,0,50,0,8,5,5,3,45,174.43,1620.2
"keanefo",3.69,5.60,2.60,4.00,6,0,4,0,0,90,16,29,12,9,6,45,21.77,1489.4
