"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"ohim",2.33,0.7,4.6,10,0,1,0,0,9,30,31,0,13,4,4,54,32.25,1906.1
"Silidos",3.29,5.60,3.40,5.60,0,0,1,9,0,80,0,15,13,5,2,51,21.73,1509.9
"KEVlN DURANT",2.47,7.20,5.80,7.10,8,0,2,0,0,40,13,2,18,2,6,46,62.15,2015.6
"Zomp",2.59,4.80,4.60,7.10,1,1,0,6,2,50,18,18,16,1,7,51,44.90,1783.5
"US Economy",2.29,2.50,5.80,10.80,3,0,0,0,7,50,38,4,15,6,4,48,53.17,1919.4
"Chinese Jester",2.14,6.80,5.70,5.40,0,10,0,0,0,50,9,6,18,1,2,49,127.75,1980.9
"Suzikai",1.81,1.30,5.80,9.20,1,1,0,0,8,30,56,3,8,9,3,54,38.32,1930.5
"peterlelol",4.75,2.00,2.80,11.30,2,2,0,0,6,60,26,2,9,2,3,53,109.27,1680.1
"Synotic",1.76,2.00,7.00,10.30,0,1,0,0,9,40,17,2,13,7,4,52,89.28,1704.3
"Knubzyy",2.49,6.40,5.30,6.80,0,0,9,1,0,50,16,11,14,4,4,53,73.67,1903.9
"Suna Shogun Sama",2.85,2.00,4.70,11.40,1,0,0,1,8,50,15,10,16,4,3,57,76.17,1898.8
"BestLucianAfrica",2.19,7.40,7.40,8.80,0,0,2,8,0,70,15,17,16,3,4,53,123.42,1783.7
"Akeelo",3.37,6.10,4.60,9.40,10,0,0,0,0,90,5,10,16,4,5,58,143.32,1795.2
"Pomi",2.52,2.80,5.20,10.30,0,6,0,1,3,30,37,2,10,3,4,55,72.43,1912.9
"GibIe",2.16,5.40,5.00,5.40,5,3,1,1,0,50,0,11,20,0,1,46,52.28,1784.4
"ur garbage",3.30,7.10,4.40,7.40,0,6,4,0,0,60,27,14,12,0,4,56,103.52,1743.6
"singvbb",2.88,3.80,5.10,10.90,0,0,4,2,4,50,32,6,8,1,6,57,45.18,1696
"MomSawMeFapping",2.49,5.10,4.90,7.10,0,7,3,0,0,50,21,7,12,5,5,56,50.53,1854.5
"Havoc 1",2.80,3.50,4.90,10.20,9,0,1,0,0,60,9,8,15,3,9,45,185.78,1906.1
"SirDrakeshine",2.72,4.60,4.70,8.20,0,7,2,1,0,40,22,5,8,4,3,57,89.32,1794.8
"West Coast Carry",2.17,4.10,4.80,6.30,9,1,0,0,0,40,16,5,13,2,2,52,82.60,1609.1
