"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Sice",1.93,5.2,5.6,5.6,3,5,0,0,2,20,9,8,13,0,4,49,130.43,1871.7
"shumai oppa",2.42,5.10,4.50,5.80,3,1,6,0,0,50,40,8,13,6,6,51,53.45,1671.9
"Hey Im Nza",1.72,3.60,5.80,6.40,3,1,0,5,1,30,8,8,13,0,3,48,47.62,1708.2
"Amjc3",4.41,2.60,3.20,11.50,0,1,1,3,5,50,45,14,19,5,5,62,50.32,1774.5
"Mgic",2.59,4.30,3.90,5.80,0,0,7,3,0,60,27,12,9,1,2,48,46.55,1813.8
"Where is Osama",2.30,6.30,5.40,6.10,5,0,0,4,1,60,0,15,15,3,6,51,53.97,1805.9
"Michael creative",3.14,4.70,3.70,6.90,2,1,2,5,0,40,8,10,14,2,3,53,31.27,1669.9
"RMikasBootySlap",2.16,4.70,5.50,7.20,3,0,7,0,0,40,8,7,21,1,5,44,77.20,2061.1
"Ianbearpig1337",6.04,1.40,2.30,12.50,0,0,1,0,9,50,23,5,14,4,6,63,20.37,1726.6
"SoulReaverDraven",1.83,4.00,5.40,5.90,0,0,2,8,0,20,10,7,8,3,5,51,73.68,1875.8
"sporo",2.55,6.30,6.20,9.50,3,0,1,6,0,50,0,11,16,4,3,50,68.65,1878.3
"Ser Veresta",2.64,5.60,4.40,6.00,4,3,1,1,1,50,5,14,11,3,3,50,42.35,1727.8
"Rex Sum",2.14,5.90,5.10,5.00,8,2,0,0,0,40,8,6,14,2,4,51,105.58,1765.9
"Thai",1.88,6.40,6.60,6.00,0,0,8,2,0,60,11,13,10,4,4,53,46.75,1867.3
"Dread Infernal",3.14,3.70,5.00,12.00,1,0,1,0,8,50,27,12,18,2,2,59,69.83,2088.1
"AvoFellBlade",1.90,4.10,5.80,6.90,5,5,0,0,0,60,18,13,16,3,3,40,143.20,1925.9
"DrunkCatalyst",4.16,8.80,5.00,12.00,2,5,2,1,0,60,23,6,17,2,6,64,169.05,2238.6
"Xii Xii Xii",2.51,5.80,5.30,7.50,0,2,7,0,1,50,23,6,14,2,5,54,56.60,1718.7
