"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Myroh",1.41,1,3.9,4.5,0,1,0,0,5,33,9,0,5,2,1,40,45.4,1848.5
"sliverwings1",1.83,2.90,6.00,8.10,6,1,0,0,3,50,16,5,12,3,3,44,28.23,1755.1
"Talon96825",2.57,4.60,5.10,8.50,2,3,0,4,1,50,8,11,17,2,6,51,66.52,1882.4
"Flareons",3.22,3.80,4.10,9.40,3,0,6,0,1,50,33,7,23,2,7,44,100.50,2130.6
"FurNate",3.08,4.10,4.00,8.20,5,0,5,0,0,60,0,8,16,1,5,56,69.12,1822.1
"ItsBrittxo",3.24,3.30,5.80,15.50,1,0,0,2,7,60,35,7,16,3,4,61,44.68,2024.2
"Kevin Is Broken",1.98,5.70,6.20,6.60,2,7,0,1,0,30,0,4,14,2,1,49,124.80,1898
"WangWong",4.62,11.80,4.70,9.90,0,0,1,9,0,80,9,21,22,5,6,65,41.20,1970.1
"Rex the Billy",1.91,3.40,5.80,7.70,7,0,1,2,0,50,0,12,10,2,7,44,93.83,1815.1
"Ccaulder",2.78,2.20,5.00,11.70,0,0,2,2,6,50,0,9,16,3,4,57,140.85,2014.4
"Mewber",2.62,5.90,5.00,7.20,3,0,1,5,1,40,8,9,14,3,3,53,25.52,2059
"WasItSafe",1.81,6.00,7.70,7.90,0,3,5,0,2,40,16,4,17,1,3,51,106.30,1828.2
"Tromo",2.27,4.30,4.90,6.80,5,0,0,5,0,30,10,10,16,3,2,45,89.78,1965
"Phyzl",2.56,7.40,6.20,8.50,0,6,3,0,1,30,18,9,15,1,2,56,105.12,1968.4
"BK Whoppers",3.28,7.40,4.60,7.70,0,0,1,9,0,70,0,20,26,3,4,51,65.58,1979
"shub shawn",2.43,4.80,4.90,7.10,3,6,0,1,0,70,0,20,20,3,3,41,90.13,1767.8
"Catcy",2.37,5.40,6.50,10.00,0,4,4,0,2,20,26,5,14,3,2,55,84.83,2176.3
"I Love All Of U",4.26,6.70,3.80,9.50,4,5,0,0,1,30,5,7,15,4,2,57,404.37,1965.9
"oGinGo",2.84,5.30,4.50,7.50,1,8,0,0,1,50,22,14,16,3,6,52,102.68,2082.2
"Phleet Pheet",3.30,8.00,5.40,9.80,4,3,2,0,1,70,8,11,22,6,4,54,87.68,2147.2
"SexyBoyBulbasaur",2.25,3.80,5.70,9.00,3,0,0,1,6,60,10,5,15,1,6,52,58.55,1826.7
"Acrux",3.02,2.80,5.20,12.90,0,1,0,1,8,40,37,3,16,4,5,66,68.02,2049.3
"SunJianROTK",2.27,7.50,7.00,8.40,6,2,2,0,0,40,0,12,22,2,8,52,34.57,1976.6
"Hiru",1.05,5.30,8.20,3.30,4,0,6,0,0,10,9,11,12,1,1,39,31.58,2008.9
"Jessica Tata",2.59,8.20,5.90,7.10,0,0,3,7,0,30,3,22,19,3,2,55,44.98,2110.5
"Caligmus",2.33,5.60,4.80,5.60,8,1,1,0,0,40,14,15,17,5,5,45,27.08,1887
"Whorehay",2.17,7.70,7.10,7.70,0,8,2,0,0,50,14,9,11,0,3,57,111.83,1732.5
"scthesheep",3.50,4.50,3.60,8.10,0,6,0,4,0,60,3,22,17,1,5,59,108.97,1829.2
"Chxiong",2.67,6.10,6.10,10.20,0,5,2,1,2,70,16,6,17,4,4,52,69.58,1856.5
"EmmanuelElfd",2.48,5.20,6.50,10.90,3,0,1,3,3,50,7,14,11,3,3,50,30.93,1900.2
"Peter worldeater",2.14,3.80,5.00,6.90,0,3,2,3,2,50,11,3,12,4,3,48,90.83,1694.2
"auchenai",4.21,9.40,4.20,8.30,0,1,1,7,1,70,4,20,19,7,6,55,46.73,1856.9
"Boner4StevieD",1.54,5.50,7.00,5.30,2,5,2,0,1,30,4,13,12,2,3,51,105.22,1741.1
"EvilFaraDisE",3.81,2.30,2.60,7.60,0,0,2,3,2,43,15,6,12,1,4,57,50.97,2007.857142857143
"Lee",3.00,1.30,4.40,11.90,0,0,0,2,8,30,14,0,13,2,2,54,24.82,2058.1
"dBeast",2.49,5.80,5.50,7.90,1,2,7,0,0,50,20,7,16,5,4,48,74.57,1928.3
"Solace In Pepes",1.82,3.90,6.20,7.40,2,2,2,0,4,50,11,6,16,1,4,45,61.27,1851.3
"btch i might be",2.36,10.40,7.50,7.30,1,5,2,1,1,50,1,4,17,5,4,54,158.53,2088.3
"Getyourfb",1.51,3.50,7.00,7.10,5,3,0,2,0,10,6,3,6,2,4,44,205.20,1961.9
