"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Lord Zaint",2.61,7.2,6.2,9,1,0,2,6,1,50,27,14,20,3,7,55,49.05,2096
"Hiep The God",3.02,6.60,5.80,10.90,1,7,2,0,0,50,17,3,18,4,3,57,119.38,1923.7
"ArchonRevenant",2.54,5.20,5.20,8.00,0,0,4,5,1,50,4,14,23,10,5,48,38.73,1922.9
"fealx",2.88,6.80,5.10,7.90,0,7,1,2,0,60,12,10,12,4,3,51,114.62,1812.2
"Schleep",3.35,6.00,4.90,10.40,2,1,5,0,2,60,11,10,17,4,5,58,86.23,2013.1
"This is Why",2.27,4.60,5.10,7.00,0,2,3,3,2,20,14,6,14,8,2,53,135.98,1794.4
"the boy never wo",3.19,8.50,6.20,11.30,0,0,4,6,0,50,4,12,20,5,7,55,129.22,2311.4
"Adouphoof",3.06,11.40,6.40,8.20,0,1,1,8,0,80,4,34,18,4,4,60,90.05,1800.9
"Kim Jong Kanye",2.11,6.10,5.40,5.30,6,1,1,2,0,50,14,10,15,4,6,49,309.88,1859.5
"Kidd Klash",3.06,6.50,4.70,7.90,0,1,0,9,0,50,9,10,17,1,7,51,107.73,1962.8
"KING SMALLEY",1.98,5.10,6.10,7.00,0,6,4,0,0,30,0,5,12,0,4,55,49.95,1736
"Dmagex",5.20,7.80,3.00,7.80,2,0,0,8,0,80,0,21,13,3,4,55,57.30,1686.4
"I AM PJ SALT",7.13,6.20,2.30,10.20,0,6,4,0,0,60,2,5,22,4,5,48,211.33,2048.3
"InTheFall",2.00,5.30,5.70,6.10,1,2,5,2,0,60,5,12,24,3,5,43,47.33,2188.8
"ChallengerBronze",3.02,6.40,4.10,6.00,1,3,1,5,0,40,1,14,11,2,2,52,94.83,1874.8
"SkeeterLord",2.10,8.90,7.80,7.50,0,0,3,7,0,40,0,10,27,5,10,56,37.18,2275.2
"ObeseKittenX",2.03,8.10,6.80,5.70,1,1,8,0,0,30,7,5,14,1,5,49,58.63,1900.8
"Iskurr2qt4me",2.61,8.00,5.60,6.60,1,9,0,0,0,60,17,13,17,5,7,56,110.85,1902.7
"SquidsDayOff",3.48,3.00,4.40,12.30,0,0,0,3,7,80,18,5,22,9,7,55,48.20,2151.7
"rafflesz",2.40,5.40,5.30,7.30,3,0,4,1,2,60,20,7,14,3,4,51,113.58,2000.1
"TehNumberSeven",2.91,3.40,4.30,9.10,1,0,1,2,6,30,21,2,18,1,3,50,77.65,2245.7
"RustyBEW",2.20,7.60,6.10,5.80,6,0,4,0,0,60,2,11,15,4,6,46,51.45,1940.4
"SKT T1 Maki",3.08,4.90,3.60,6.20,2,5,1,2,0,40,16,10,13,1,5,50,114.23,1935.6
"Balugaa",4.00,5.80,3.80,9.40,2,3,5,0,0,60,6,6,15,5,3,61,151.42,1875.5
"OK OK OK OK",2.43,2.90,4.40,7.80,6,2,1,0,1,30,19,11,9,6,2,45,184.92,1856.7
"McNabi",3.45,1.60,3.30,9.80,0,0,0,3,7,50,4,12,13,2,1,50,22.58,1646.1
"Call Me Douglas",1.55,4.40,6.00,4.90,3,2,4,0,1,50,9,7,11,6,5,44,55.47,1676.6
"Alzharaii",3.53,6.50,4.30,8.70,0,5,5,0,0,60,8,4,17,0,6,53,58.38,1812.1
