"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Jesus Christ 69",1.89,5.5,5.4,4.7,4,0,6,0,0,50,9,8,18,1,4,43,86.48,1961.6
"Ho Jhin",4.37,8.60,3.80,8.00,5,0,0,5,0,90,2,15,19,2,4,55,71.68,1804.7
"TheeGenderBender",3.41,1.10,3.40,10.50,0,0,0,1,9,30,43,1,9,4,4,57,32.10,1916.6
"ContentNF",2.67,5.30,5.10,8.30,1,5,4,0,0,50,15,2,16,2,3,56,118.42,1938.5
"Mr Lay",2.93,5.50,4.50,7.70,0,0,4,6,0,60,9,8,17,3,7,50,50.67,1891.1
"O 3 O XILIGE",2.11,3.60,7.00,11.20,2,1,0,0,7,70,17,7,22,3,6,50,55.57,1717.5
"Crazy Lance",3.20,5.10,4.00,7.70,8,0,0,0,2,70,6,21,16,5,2,43,46.72,1821.7
"DudeHoldmyCheeto",2.53,0.40,5.80,14.30,0,1,0,0,9,60,41,4,20,2,5,53,88.43,1996.3
"ZeusVV",1.32,4.90,8.20,5.90,7,0,3,0,0,20,10,7,11,2,2,39,29.37,2016.2
"zombie B Bro",2.44,6.10,6.30,9.30,5,0,0,5,0,70,0,20,16,1,7,47,83.10,2072.3
"Best Garen US",3.81,9.10,4.20,6.90,1,2,6,1,0,60,38,9,26,1,4,54,127.37,2062.1
"Gigatitan",3.68,3.40,3.70,10.20,0,7,0,0,3,40,20,7,8,2,4,58,119.97,2028.8
"x Saturn",2.04,5.80,7.50,9.50,0,5,5,0,0,70,8,15,10,0,5,57,67.92,1736.8
"SunthorFTW",2.45,2.20,5.10,10.30,2,0,0,0,8,30,23,4,8,5,3,54,31.32,1640.5
"MoarCowBells",1.76,5.20,6.70,6.60,5,0,0,5,0,40,3,17,17,0,5,42,32.33,2195.1
"Ganked by Dad",1.94,4.50,5.40,6.00,5,0,5,0,0,60,4,15,13,2,3,36,47.77,1788.8
"unchic",1.69,6.30,5.90,3.70,3,5,2,0,0,20,7,6,6,2,1,48,49.62,1488.4
"Dank Plays Man",2.28,3.80,3.90,5.10,4,6,0,0,0,50,20,15,17,5,5,39,188.60,1833.5
"BlackCat74123",2.98,7.50,6.30,11.30,0,2,6,2,0,60,15,14,15,2,1,53,75.65,1995.5
"Clnezl3rC",2.72,6.70,5.40,8.00,0,4,0,6,0,60,0,11,17,3,4,51,54.17,1829.5
"SolidCore",5.77,1.40,2.20,11.30,0,0,0,1,9,50,17,4,13,1,3,56,30.95,1673.5
"nunchunk",4.06,4.70,3.40,9.10,0,4,0,5,1,60,28,12,11,2,3,58,64.02,1799.2
"Yeezy4Prez2020",2.12,3.50,5.70,8.60,3,1,2,0,4,60,29,5,17,6,3,49,35.82,1874.7
"LuckySunnyTao",3.28,2.40,4.60,12.70,5,1,0,0,4,70,24,5,17,1,3,53,74.67,1759.3
"Large Barge",2.08,4.00,5.20,6.80,1,0,0,6,3,30,6,9,11,3,2,55,70.70,1833.8
"Potato Counter",2.00,3.70,5.70,7.70,3,0,0,4,3,40,25,13,12,2,3,45,101.73,1792.8
"windy samurai",1.70,6.50,8.00,7.10,0,3,1,6,0,20,2,8,7,1,0,54,46.18,1866.3
"Skorzen",3.67,4.30,2.10,3.40,2,0,5,3,0,60,1,9,12,3,3,39,41.05,1470.6
"liquidswords89",3.27,2.00,5.50,16.00,0,0,0,1,9,50,31,5,18,4,4,62,47.92,2135.7
"TheGaba",2.87,7.00,5.50,8.80,4,5,1,0,0,70,1,12,24,5,6,55,124.28,2046.8
"1LLIONAIRE",2.57,5.80,5.30,7.80,1,5,4,0,0,40,28,3,18,2,2,49,109.35,1904.1
"Acidpiper",2.15,0.90,5.30,10.50,1,0,0,0,9,40,5,5,12,1,1,44,10.40,1831.3
"Unreal Snoopy",2.03,3.70,6.30,9.10,1,1,1,3,4,50,8,7,13,3,5,55,84.40,1787.3
"Jmask",2.17,4.30,5.90,8.50,0,0,7,3,0,30,5,2,13,1,2,53,65.37,2041.6
"babygiraffes",2.64,3.60,3.30,5.10,7,0,3,0,0,30,5,16,5,1,2,45,48.05,1645.9
"Equalibrium",3.27,8.10,5.50,9.90,4,0,2,3,1,60,24,14,17,1,6,56,42.77,2075.6
"babygiraffes",2.64,3.60,3.30,5.10,7,0,3,0,0,30,5,16,5,1,2,45,48.05,1645.9
