"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Maxarts",1.64,4.9,5.8,4.6,9,0,0,1,0,30,4,11,9,2,2,42,34.87,1697
"Gains Mcgilligan",2.37,7.20,7.10,9.60,0,3,0,4,3,50,23,9,20,2,3,53,79.13,1974.7
"Jungle is fun",1.77,6.20,6.50,5.30,3,3,1,3,0,30,8,17,13,3,5,46,44.37,1904.1
"Sleepy Gengar",3.48,6.90,3.30,4.60,0,1,2,7,0,40,0,11,12,6,3,48,44.92,1844.7
"Ruthless slllim",1.99,7.20,8.00,8.70,0,0,3,7,0,40,1,8,17,5,3,46,27.27,2058.7
"OGC Tilted",2.29,6.40,4.90,4.80,0,1,7,2,0,40,5,14,9,3,4,50,75.60,1968.5
"DennyTheNOOB",2.33,4.20,5.40,8.40,2,4,4,0,0,50,4,12,16,8,3,52,83.32,1909.2
"Ball 1s Not Life",1.61,5.00,6.60,5.60,3,1,4,2,0,30,3,6,10,4,0,45,59.63,1953
"aCyte Dino God",2.39,6.20,5.60,7.20,1,2,0,7,0,50,10,17,15,3,3,52,40.18,1836.5
"Shamie",2.40,2.50,7.20,14.80,0,0,0,0,10,60,1,2,21,3,8,56,76.43,2085.6
"UndesirableNo1",4.35,5.60,3.40,9.20,1,1,7,1,0,80,12,6,19,3,5,52,45.10,1751.9
"Thronis",1.61,8.70,8.70,5.30,0,1,4,5,0,40,4,5,9,2,1,54,48.30,1911.5
"ganked by cat",2.48,5.40,5.40,8.00,0,0,4,6,0,40,1,12,19,3,3,58,67.03,1975.1
"Chunky Evelynn",2.41,4.70,5.60,8.80,1,3,2,0,4,50,15,4,20,0,6,51,51.65,1772.5
"MIC TheDawn",4.19,8.20,3.70,7.30,0,1,9,0,0,60,3,3,19,3,2,58,23.18,1802.5
"watchabacks",1.44,2.00,7.50,8.80,0,2,2,1,5,20,31,1,11,1,3,42,55.87,1946.8
"PrimeSuspects",3.18,7.10,5.60,10.70,0,5,1,4,0,40,10,10,21,3,7,64,94.82,2035.9
"Gucci Cane Nasus",2.69,8.80,6.70,9.20,0,2,0,8,0,70,8,20,22,7,5,55,89.68,2156.9
"For Carthage",2.56,5.30,5.00,7.50,5,1,0,4,0,70,0,14,18,3,5,41,52.55,2082.7
"Ayzhnarr",2.06,10.50,7.20,4.30,1,4,5,0,0,40,0,8,19,4,6,54,89.33,1863.8
"Future Sailor",1.54,3.60,5.90,5.50,0,3,4,1,2,60,9,3,20,2,7,40,57.90,1904.9
"AsianSixty9",1.34,3.70,5.90,4.20,2,0,4,3,1,40,21,5,11,5,3,40,29.62,1815.2
"Lobsterform",2.49,3.10,3.70,6.10,1,0,7,2,0,50,6,9,14,7,1,40,67.70,1565.5
"PhreezeZ",2.87,9.60,5.40,5.90,1,4,3,2,0,60,17,14,19,1,4,58,76.87,1876.8
"manbearpig96",1.59,6.00,6.80,4.80,0,0,7,3,0,20,0,4,7,2,0,52,34.38,1850.2
