"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"orangespriteman",2.05,3.1,8.7,14.7,0,0,0,1,9,50,22,3,19,3,7,45,57.02,2186.1
"xInfluenza",5.15,5.50,3.40,12.00,0,0,1,5,4,30,30,7,14,2,3,63,50.82,1995.1
"KinkyGravini",1.47,2.40,5.50,5.70,3,5,2,0,0,50,2,16,19,3,2,33,166.17,1872.8
"AgentLauraKinney",4.17,3.70,3.50,10.90,0,1,0,2,7,60,14,6,19,0,2,58,28.98,1742.8
"Baihtors",2.08,7.00,7.30,8.20,5,4,1,0,0,40,0,8,10,5,4,54,89.40,2041.4
"Realistic camouf",2.73,9.10,6.40,8.40,0,2,5,3,0,60,5,12,15,2,2,55,35.98,2074.9
"ZXNM",2.90,9.30,7.10,11.30,2,3,3,1,1,60,3,7,22,0,3,52,77.80,2375.3
"zekesnack",2.57,6.30,6.70,10.90,1,8,1,0,0,60,14,8,24,3,5,49,96.70,2139.5
"DD Monk",2.89,3.10,5.60,13.10,1,0,2,1,6,50,20,4,18,1,3,55,98.42,2073.6
"heuh darkness",3.65,4.40,2.60,5.10,3,0,5,2,0,40,7,3,19,2,7,38,70.53,2241.5
"Tanne Frank",2.42,4.40,5.50,8.90,1,1,0,4,4,70,17,7,17,6,3,50,76.97,1792
"Kekilla",2.56,3.40,5.00,9.40,1,3,0,0,6,40,6,5,10,1,1,44,54.20,1903.2
"Wally West",1.76,1.50,5.50,8.20,1,0,0,2,7,0,0,1,8,0,1,49,102.73,1967.1
"Themucher",2.71,4.00,5.20,10.10,0,0,3,2,5,30,21,4,13,1,0,60,26.82,1811.3
"EndLessStory x",4.19,10.60,5.90,14.10,3,0,4,0,3,70,19,12,20,2,5,64,222.48,2124.9
"Valinity",1.73,5.30,7.70,8.00,1,0,3,6,0,30,4,7,10,3,4,47,37.28,2046.2
"Justin109",1.75,12.30,9.50,4.30,10,0,0,0,0,50,3,18,18,4,4,52,33.43,2162.8
"0 LP Brozne V",2.11,3.50,6.40,10.00,2,0,0,3,5,40,13,3,17,0,2,52,55.55,1917.3
"CMETAHA",2.90,4.30,4.80,9.60,5,1,1,1,2,30,0,12,17,4,5,48,54.83,2167.5
"RrabXX",3.39,4.90,3.80,8.00,6,0,0,4,0,50,5,12,22,1,4,46,168.08,1967.6
"Zaratule",3.11,1.60,4.70,13.00,0,2,0,0,8,50,22,3,16,4,4,57,77.38,1896.2
"TempeT YMoney",2.81,8.10,4.70,5.10,5,0,5,0,0,30,0,7,13,0,3,47,105.27,1992.6
"LimeWhale",3.40,1.70,5.00,15.30,0,0,0,0,10,60,30,1,18,1,5,57,63.13,1997.5
"G01db3r6",1.98,3.60,5.30,6.90,3,1,4,0,2,30,2,5,11,4,3,49,120.00,1733.8
"Bdougs",2.40,5.50,6.80,10.80,0,0,5,5,0,70,2,13,29,1,10,48,17.10,2371.2
"TRYND4M3RE",3.58,7.60,3.80,6.00,7,2,1,0,0,80,10,18,20,5,6,45,40.70,1968.1
"HansOnMicok",2.38,4.50,5.50,8.60,0,4,1,0,5,50,0,3,12,1,2,50,79.93,1674.6
"Lesbianism",2.41,0.70,3.70,8.20,0,0,0,0,10,20,0,0,8,1,3,45,37.43,1669.7
"Marfranky",3.00,6.70,5.40,9.50,1,5,1,3,0,50,4,10,15,1,4,54,210.27,1994.1
