"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"omgcrayolamarker",2.14,3.5,6.5,10.4,0,2,2,2,4,30,19,1,18,3,1,52,168.23,1974
"TylerM xDD",1.66,3.80,7.00,7.80,0,3,2,1,4,40,0,5,13,0,1,51,45.50,1811.2
"Alinabot",2.61,6.50,6.20,9.70,5,0,2,0,3,60,10,9,14,8,2,53,78.40,1958.8
"kachinba",2.29,6.30,7.00,9.70,0,0,1,6,3,40,6,10,20,3,4,49,26.02,1977.8
"Zjx Victor",1.69,4.30,7.20,7.90,3,2,0,5,0,20,0,11,10,1,1,47,60.37,1918.4
"pi314159",2.82,6.80,5.50,8.70,4,1,5,0,0,50,6,10,16,2,3,57,68.52,1828.3
"ToastyBagelz",4.03,6.30,3.90,9.40,3,6,0,1,0,50,11,10,16,1,3,55,139.52,2095.9
"Puck689",2.73,6.00,4.80,7.10,3,3,2,0,2,40,4,4,11,2,4,51,66.18,1930.7
"Fryingpanboy",3.41,0.80,4.60,14.90,0,0,0,0,10,80,0,5,26,6,6,51,24.35,2103.8
"mania3x",5.59,10.20,3.20,7.70,0,8,0,2,0,100,2,14,25,0,0,56,176.15,1767.4
"BIG BIG XI",2.45,8.60,7.10,8.80,0,0,5,4,1,50,0,11,17,0,4,56,24.27,2149.9
"MightyMouseMatt",1.60,5.70,8.10,7.30,0,3,4,2,1,20,0,2,13,1,1,42,99.40,2025
"FurryFluffyFoxy",2.54,4.40,4.80,7.80,2,5,0,2,1,60,6,6,18,4,2,46,76.25,1901.4
"DaBaier",4.00,1.80,3.90,13.80,1,0,0,1,8,100,21,11,26,6,3,46,65.00,1878.7
"Finessen God",3.00,8.40,5.80,9.00,6,0,0,4,0,60,4,9,19,3,2,46,99.30,2077
"Pepper Eater",1.92,6.40,7.10,7.20,2,5,2,0,1,30,11,6,18,0,5,49,76.58,2088.1
"wingdagger7",3.23,6.10,3.90,6.50,1,3,6,0,0,50,7,8,11,5,4,47,48.37,1853
"PandaTV XIA",2.33,11.30,8.60,8.70,5,0,5,0,0,40,2,6,12,2,2,55,102.87,2091
"wbh520",2.79,1.20,5.20,13.30,0,1,0,3,6,70,0,8,14,1,3,48,19.83,1934.1
"Vexdra",2.78,5.30,5.10,8.90,0,3,0,6,1,40,8,5,18,2,3,46,48.98,2038
"PaPaPa Feeder",2.78,7.60,6.50,10.50,0,4,1,5,0,40,1,8,17,3,6,59,54.20,2057.4
"Spooky Tooth",3.04,7.60,4.70,6.70,0,0,8,2,0,60,10,11,13,5,1,52,41.30,1797.6
"Snoop Dongg",4.14,1.00,4.40,17.20,0,0,0,0,10,60,10,2,15,4,2,54,217.95,2018.8
"Titlenamehere",2.76,6.10,4.50,6.30,5,0,4,1,0,60,16,20,22,2,5,40,68.50,2126.7
"Magikarpolio",1.53,4.80,6.80,5.60,5,0,4,0,1,20,0,1,10,1,5,46,20.95,2038
"Lulö",1.45,4.50,7.60,6.50,3,0,6,0,1,60,0,4,15,2,3,34,24.37,2067.3
"BosnianxBeast",1.62,7.30,7.40,4.70,5,0,5,0,0,30,0,12,10,0,1,46,28.87,1810.5
"Cody Banks",2.58,5.80,5.20,7.60,1,0,9,0,0,40,15,6,14,1,2,50,38.67,2018.3
"Waw",1.12,5.60,10.60,6.30,0,0,2,8,0,20,0,4,11,0,4,43,21.13,2066.2
"zJessez",1.84,6.80,6.90,5.90,2,1,1,2,4,30,5,13,17,2,2,45,229.93,2111.3
"anaBROLICus",1.98,9.90,9.70,9.30,3,2,3,2,0,50,0,12,23,1,4,52,73.53,2208.3
"krushee",2.64,6.10,5.90,9.50,2,2,0,1,5,50,0,6,19,4,3,49,45.43,1953.5
"778582",2.11,2.20,7.50,13.60,1,1,0,1,7,40,28,5,19,1,4,48,113.78,2067.4
"DoYouEvenVirgin",2.71,2.90,4.10,8.20,0,1,1,0,4,67,3,4,10,0,4,54,60.22,2258.5
"Lee Sin er G",2.60,8.80,6.00,6.80,3,1,6,0,0,50,15,12,15,2,3,47,32.82,2061.8
"halla4allah",4.26,10.30,3.90,6.30,4,0,6,0,0,50,13,9,18,2,2,48,70.43,2054.2
"Wolfslashfox",2.52,8.50,6.20,7.10,0,1,1,8,0,60,7,12,14,4,4,46,49.82,1983.9
"Phroxin",2.84,6.00,6.90,13.60,0,2,0,1,7,60,20,8,24,0,3,57,192.53,2033.7
"souken cat ",1.95,6.20,6.00,5.50,1,2,3,3,1,30,7,8,12,0,3,48,47.28,1859.1
"entarro",3.20,9.00,5.10,7.30,1,4,1,4,0,40,0,11,17,2,4,56,96.98,1980.7
"WillingChase",2.78,6.30,5.10,7.90,3,1,4,2,0,40,0,8,15,3,3,53,28.62,1800.6
"Screw this kid",2.10,1.60,5.10,9.10,0,0,1,5,4,30,16,2,11,0,0,44,66.50,1791.2
"ZxPENTAKILLxZ",1.73,7.20,7.50,5.80,2,1,3,2,2,30,3,9,11,6,4,50,33.35,2090.1
"stealthyjason",3.29,8.40,6.30,12.30,0,0,6,2,2,70,14,11,18,1,5,58,49.47,2034.3
"uthrilla",2.07,6.30,6.90,8.00,0,6,3,0,1,50,4,12,16,2,1,51,115.52,1793.7
"PrismEntity",2.09,1.10,6.50,12.50,0,0,0,0,10,50,12,4,17,2,6,48,37.78,1934.1
"LovableRussian",2.89,4.60,6.20,13.30,0,4,0,1,5,70,6,13,16,2,4,54,147.28,2032.1
"vETv",1.17,4.10,8.10,5.40,5,1,4,0,0,30,2,3,11,3,2,41,15.27,1695.7
"ShoulderToCry",2.93,3.30,4.60,10.20,6,0,1,0,3,50,7,4,16,1,4,48,91.92,1861.8
"DunkinHymens",2.73,4.20,5.10,9.70,0,6,0,1,3,40,2,3,5,1,3,52,67.18,1949.5
"JelloBuns",6.77,3.40,2.60,14.20,7,3,0,0,0,80,12,9,22,2,9,56,88.63,2117.6
"Calfbrah",3.00,7.70,5.50,8.80,6,0,4,0,0,50,9,11,21,2,9,53,63.20,2310
"Polite Heathen",2.24,6.40,5.80,6.60,0,7,1,0,2,40,0,3,8,0,2,49,73.92,2027.3
"OhaiyouUW",3.43,3.90,4.20,10.50,6,4,0,0,0,40,15,7,16,3,4,51,50.35,1973.5
"BLCabeldank",1.93,5.00,6.80,8.10,5,3,2,0,0,40,11,7,14,1,4,45,61.75,2067.1
"GinWuncler",2.79,4.80,5.60,10.80,0,8,1,1,0,50,1,12,23,4,5,60,85.42,1968.3
"SHOCKTOPZZ",3.20,8.00,5.60,9.90,0,5,0,5,0,60,0,18,20,2,6,55,79.97,2118.2
"Graviityy",2.78,7.50,4.10,3.90,8,1,1,0,0,70,8,19,12,6,2,42,66.90,1740.6
"Deft Punk",3.47,6.20,4.50,9.40,0,0,5,5,0,50,0,8,16,4,4,52,54.20,1770.3
"brittanybri",1.90,2.40,7.10,11.10,0,0,0,0,10,30,24,3,14,2,4,47,72.07,2057.4
"EndyX",2.23,9.90,8.60,9.30,2,2,5,1,0,40,3,10,16,4,4,53,62.38,2023.2
