"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"UltraFluffyKitty",2.85,3.1,4.6,10,0,0,0,6,4,50,4,12,147,7,0,9,1,4,45,125464,213225,50220,1678,99524,1879.5
"Ichanoggin",1.87,6.70,7.00,6.40,2,3,5,0,0,30,7, 14, 143, 7, 2, 12,3,1,47, 180140, 240186, 34254, 41.98, 113301,2065.7
"GandalfElFuchsia",2.05,8.60,7.80,7.40,3,1,6,0,0,20,3, 4, 93, 16, 3, 17,1,4,48, 319666, 328827, 149186, 64.72, 149355,2328.4
"IvanYeung0814",2.77,8.10,7.50,12.70,0,5,0,5,0,30,13, 11, 152, 6, 2, 20,0,6,58, 248245, 353220, 90821, 103.72, 140332,2242.3
"Worst SA Player ",2.46,6.10,6.90,10.90,3,0,1,0,6,80,8, 15, 131, 10, 0, 17,1,3,49, 211089, 244808, 34346, 44.38, 117207,1933.7
"JMachicote",3.60,5.90,4.80,11.40,0,7,3,0,0,60,25, 19, 214, 9, 0, 20,4,2,57, 121488, 223655, 34332, 180.90, 122462,2054.8
"IAmTheNightOwl",2.19,7.50,8.10,10.20,0,7,3,0,0,50,9, 8, 106, 7, 1, 17,6,2,48, 195814, 274674, 32665, 87.12, 118192,2021.6
"Ashumawah",1.92,7.60,7.10,6.00,2,0,4,1,3,40,0, 6, 116, 5, 2, 11,1,2,51, 218221, 213118, 39162, 129.55, 112612,1818.7
"MICAHRIFIC",1.62,3.30,7.30,8.50,0,4,1,3,2,60,4, 9, 170, 10, 1, 24,3,4,35, 113061, 222545, 35900, 85.57, 105336,1893.6
"elhombrellama",4.03,4.50,2.90,7.20,6,3,1,0,0,90,13, 5, 121, 7, 0, 19,2,3,36, 121299, 213186, 27901, 101.75, 99061,1682.1
"IndividualxSlip",2.16,4.60,7.70,12.00,3,0,0,1,6,70,1, 7, 211, 13, 2, 15,3,6,45, 130353, 307038, 43192, 25.78, 114663,2058.1
"I Despise TR8RS",3.51,7.10,4.30,8.00,4,1,2,3,0,40,0, 24, 118, 15, 0, 23,1,4,46, 230242, 248700, 29766, 26.93, 124142,2176.5
"dictatortomato",2.38,2.10,4.70,9.10,1,2,0,2,5,30,0, 3, 37, 4, 3, 16,1,1,38, 103764, 174239, 47892, 85.48, 92916,1879.7
"SuperTactical",1.87,5.70,6.20,5.90,3,1,6,0,0,50,0, 4, 80, 4, 5, 14,1,2,34, 179607, 202561, 42627, 39.78, 113211,1990.1
"Alex Sloan",3.22,8.50,5.00,7.60,0,2,0,8,0,100,0, 7, 48, 27, 3, 13,4,4,46, 217612, 176028, 36105, 82.43, 125622,1623.8
"kingjaktomok",2.38,9.10,7.20,8.00,1,3,1,3,2,50,0, 11, 79, 6, 3, 20,2,4,56, 221666, 259875, 47676, 68.30, 124161,1952.4
