"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Halo043",3.23,11.7,7,10.9,4,0,6,0,0,50,0,15,100,10,1,19,2,2,53,288881,233109,18490,6358,136359,2167.5
"Chelliie",2.55,3.30,6.60,13.50,0,3,1,0,6,30,21, 22, 194, 3, 1, 13,1,3,49, 161032, 244044, 61332, 77.82, 116109,2146.4
"Secret Sweater",2.01,6.50,6.90,7.40,1,7,2,0,0,50,0, 14, 62, 7, 2, 18,0,2,39, 139469, 273350, 79214, 104.85, 110568,1868.7
"koreanproo",2.61,8.70,6.60,8.50,5,0,5,0,0,60,0, 1, 77, 9, 0, 23,1,2,45, 237138, 245782, 13123, 96.12, 126220,2129.6
"98 joe",1.66,7.70,10.80,10.20,4,2,2,2,0,60,1, 7, 92, 11, 2, 30,3,5,36, 218202, 305920, 40873, 108.98, 141149,2478.2
"daxrebel182",2.23,2.50,9.00,17.60,0,0,0,1,9,60,12, 25, 264, 3, 3, 22,1,5,47, 235687, 486704, 41796, 176.27, 124782,2353.7
"Combat264",3.05,2.90,6.50,16.90,0,0,1,0,9,50,0, 6, 114, 9, 2, 30,5,3,53, 149159, 191136, 94376, 12.72, 113565,2186.4
"Zola x3",2.93,1.20,4.10,10.80,0,0,0,0,10,30,0, 6, 120, 5, 1, 13,1,1,47, 52601, 154828, 33924, 104.93, 80687,1829.5
"redfire200",2.98,7.00,6.10,11.20,2,1,1,2,4,50,3, 13, 111, 7, 2, 24,3,2,50, 180650, 244759, 74770, 77.33, 120475,2048.8
"SimplyOscar",3.57,8.10,3.70,5.10,0,0,2,8,0,40,0, 9, 51, 11, 2, 11,1,2,49, 147424, 137181, 21943, 16.63, 114352,1931.9
"DuffMasters",2.76,4.50,4.50,7.90,6,3,0,0,0,67,11, 51, 31, 16, 4, 16,1,1,37, 176456, 231928, 44749, 93.23, 118639,2231.4444444444443
"mexicaneaner69",2.73,4.20,6.00,12.20,0,2,0,1,7,50,5, 9, 101, 5, 0, 17,1,4,40, 120768, 261897, 49985, 372.32, 112227,2129.3
"belcoot",1.80,3.70,9.20,12.90,0,0,1,0,9,40,0, 14, 197, 10, 2, 22,1,3,41, 113984, 267972, 57253, 37.07, 116450,2324.8
"gustavarcus",2.86,5.70,5.00,8.60,6,3,0,0,1,60,2, 5, 88, 8, 4, 20,2,4,44, 196784, 350421, 69686, 63.50, 130482,2258.3
"Jeonginator",0.45,2.10,10.20,2.50,4,1,3,1,1,30,0, 3, 21, 7, 0, 13,1,1,18, 68410, 228819, 26441, 54.53, 82139,1778.2
"KlazzifiedKing",2.51,4.70,5.70,9.60,4,1,0,0,5,40,7, 2, 105, 8, 1, 14,3,2,41, 152529, 218329, 71629, 92.63, 105618,1887.2
"cuzzin",2.20,6.60,8.50,12.10,0,2,0,4,4,30,13, 7, 133, 5, 0, 16,0,4,52, 176573, 302655, 46019, 75.48, 120612,2075.6
"MrTheToplyn",2.77,4.10,7.10,15.60,0,0,1,4,5,40,0, 10, 279, 4, 3, 15,0,2,47, 174901, 320828, 40389, 219.62, 130320,2237.8
"Coutgandi",1.77,6.60,8.10,7.70,4,4,1,1,0,50,0, 13, 52, 8, 2, 13,0,0,43, 177690, 314174, 81339, 94.25, 114558,1914.7
"Callisto Jupiter",1.42,5.60,11.00,10.00,0,1,1,3,5,40,0, 5, 75, 6, 0, 16,1,2,46, 151369, 295626, 23859, 58.90, 108818,2077
"suchAthug1249",2.35,6.50,7.20,10.40,1,5,2,1,1,40,0, 6, 99, 9, 2, 18,1,3,47, 205093, 260463, 34716, 108.78, 112589,1981.3
"Xerogodz43",2.83,10.80,8.30,12.70,0,3,1,6,0,50,1, 14, 117, 12, 1, 17,2,4,53, 252141, 297591, 66468, 68.08, 135207,2112.2
"Jmess",2.15,7.30,7.20,8.20,3,0,6,1,0,40,0, 4, 49, 7, 3, 16,1,0,52, 252292, 264084, 43483, 109.05, 112230,1862.9
"thePoIarBear",1.87,2.40,8.50,13.50,3,0,0,1,6,30,9, 16, 118, 9, 0, 5,1,1,47, 142172, 319893, 36327, 101.65, 109363,2109.9
"Caid",2.38,11.40,8.10,7.90,0,7,1,2,0,60,0, 11, 104, 9, 3, 23,0,5,55, 237023, 307539, 70470, 95.47, 152339,2175.9
"NAJPANKAEW",1.75,10.30,10.60,8.20,2,0,4,4,0,40,1, 5, 122, 6, 3, 13,1,2,48, 236196, 279137, 30840, 83.10, 124869,1985.1
"tornado3585",2.48,8.70,7.70,10.40,3,2,0,4,1,50,0, 14, 124, 11, 0, 19,2,3,50, 202574, 295133, 60150, 86.42, 132641,2128.9
"The Honored Teem",3.28,9.40,6.50,11.90,5,1,1,0,3,60,0, 24, 149, 5, 0, 24,1,3,48, 281271, 271550, 37650, 194.75, 136951,2256.4
"alphadog192",2.07,0.30,1.40,2.60,0,0,0,1,2,33,2, 9, 29, 0, 0, 2,1,0,54, 34728, 55774, 8496, 15.92, 22103,1641
"kuckers",2.59,7.20,7.00,10.90,1,1,3,4,1,80,5, 28, 107, 9, 6, 22,3,1,48, 203407, 236132, 30198, 60.13, 115398,1908.9
"charmingthomas",1.93,6.70,7.60,8.00,4,0,3,3,0,40,4, 12, 118, 14, 2, 17,2,5,45, 250084, 271188, 71151, 25.22, 140800,2304.4
"Mexcrusader",2.28,6.70,5.70,6.30,7,3,0,0,0,50,0, 5, 44, 14, 5, 23,4,1,36, 149194, 346973, 43134, 109.80, 121007,2049.7
"Fire40",2.67,12.10,9.40,13.00,2,0,1,7,0,50,0, 18, 165, 14, 2, 22,1,5,53, 331185, 312112, 45272, 86.15, 156281,2342.9
"Centricus",2.23,9.10,9.40,11.90,1,3,4,0,2,20,2, 52, 141, 3, 3, 10,0,0,46, 254541, 323315, 80791, 45.25, 125312,2218.5
