"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"ohim",2.62,1,5.2,12.6,1,1,0,0,8,30,30,57,325,1,0,13,1,1,60,84425,265033,91265,4002,95006,1990.9
"Silidos",2.97,5.70,3.90,5.90,0,0,1,9,0,70,0, 27, 76, 13, 3, 13,3,4,52, 191237, 179113, 24085, 24.60, 124808,1731.6
"KEVlN DURANT",2.60,6.30,4.70,5.90,0,0,1,9,0,60,2, 12, 128, 12, 1, 11,5,3,49, 216871, 184644, 39119, 137.20, 139707,1844.9
"Zomp",1.92,3.50,5.20,6.50,5,0,0,5,0,50,14, 34, 94, 10, 1, 12,3,3,44, 181331, 214990, 31837, 81.62, 118618,1826.7
"US Economy",4.07,4.10,4.30,13.40,4,0,0,0,6,80,39, 81, 188, 6, 0, 15,5,3,58, 131812, 200118, 63704, 44.50, 100138,1704
"Chinese Jester",3.46,8.10,4.80,8.50,0,10,0,0,0,70,13, 76, 51, 6, 2, 21,4,8,57, 160529, 198670, 28906, 118.28, 128992,2002.8
"Suzikai",1.81,1.30,5.80,9.20,1,1,0,0,8,30,56, 90, 329, 3, 0, 8,9,3,54, 77713, 219560, 75430, 38.32, 89485,1930.5
"peterlelol",3.24,2.70,2.50,5.40,2,6,1,0,1,40,13, 30, 91, 6, 0, 8,1,2,45, 94101, 202094, 64492, 84.80, 86262,1474.3
"Synotic",2.95,2.10,3.80,9.10,0,1,1,0,8,60,12, 64, 191, 6, 0, 15,7,3,54, 91745, 158257, 30859, 28.50, 84991,1612.3
"Knubzyy",2.44,4.50,5.20,8.20,0,2,4,2,2,70,10, 38, 113, 7, 2, 14,1,7,51, 174563, 177414, 40545, 83.48, 115714,1839.3
"Suna Shogun Sama",2.53,3.00,5.30,10.40,1,1,0,1,7,60,14, 54, 242, 8, 1, 15,5,4,56, 170222, 258882, 58419, 99.47, 106814,1986.4
"BestLucianAfrica",1.70,5.90,6.40,5.00,0,0,2,8,0,40,13, 35, 103, 12, 2, 11,5,3,45, 188583, 176495, 26340, 75.93, 117392,1765.4
"Akeelo",2.48,5.80,6.20,9.60,9,1,0,0,0,60,2, 17, 117, 5, 2, 15,1,3,62, 210942, 361318, 37071, 201.23, 124337,1923.8
"Pomi",2.50,2.80,4.40,8.20,0,7,0,1,2,40,37, 57, 190, 7, 1, 15,4,2,52, 107480, 229381, 77886, 68.88, 102227,1820.6
"GibIe",3.83,1.00,4.10,14.70,0,0,0,0,10,70,3, 77, 195, 4, 1, 14,1,7,61, 72391, 164358, 70984, 66.08, 98087,1875.5
"ur garbage",3.14,6.00,4.30,7.50,0,4,5,1,0,50,10, 24, 89, 9, 1, 15,1,1,58, 191386, 213186, 65661, 66.77, 117940,1800.6
"singvbb",2.85,7.30,5.50,8.40,3,0,7,0,0,70,24, 41, 137, 9, 1, 21,2,8,57, 230049, 250706, 46538, 75.98, 125401,1827.3
"MomSawMeFapping",2.52,4.60,4.60,7.00,0,6,4,0,0,50,19, 51, 168, 7, 1, 11,4,5,57, 140578, 240162, 60256, 40.67, 104567,1813.7
"Havoc 1",2.22,3.90,5.00,7.20,7,2,1,0,0,30,15, 33, 132, 13, 1, 15,5,3,51, 163169, 337622, 87218, 81.05, 109587,1801
"West Coast Carry",2.22,6.20,5.00,4.90,8,0,2,0,0,50,14, 28, 94, 5, 1, 13,3,3,53, 165023, 240493, 41850, 87.70, 104953,1588.7
