"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Dylan Q Ta",2.13,4.6,5.2,6.5,4,5,0,0,1,40,14,40,144,3,0,15,3,3,58,142939,305266,96022,4204,107532,1779.6
"Sefciuc",4.77,1.20,4.30,19.30,0,0,0,0,10,60,37, 107, 227, 4, 1, 19,2,7,67, 80360, 171045, 70923, 85.20, 107821,2030.6
"Thormeyer",2.61,5.40,3.80,4.50,0,0,1,9,0,50,12, 30, 119, 13, 2, 13,1,3,48, 216494, 166184, 27673, 35.33, 123225,1781.4
"Kiseki No Sedai",2.77,3.60,3.10,5.00,7,0,2,1,0,40,18, 19, 123, 7, 2, 11,4,4,41, 176506, 193843, 36451, 33.47, 111807,1698.9
"Girl ADC xD",3.07,7.80,4.60,6.30,0,0,1,9,0,60,10, 20, 106, 20, 3, 8,1,3,61, 237153, 179881, 31590, 47.98, 133721,1774.2
"Bipolar Shaco",1.79,5.40,6.20,5.70,0,10,0,0,0,40,12, 24, 71, 6, 1, 15,1,2,51, 155927, 213906, 41631, 117.53, 98380,1674
"dueygolf",2.97,3.90,3.90,7.70,0,1,0,8,1,40,17, 30, 109, 6, 1, 13,1,4,53, 135086, 136747, 21460, 53.20, 96455,1565.5
"Ants",3.84,6.10,5.10,13.50,4,1,5,0,0,70,23, 43, 172, 10, 2, 16,3,5,61, 215962, 170638, 27193, 89.77, 128753,2013.9
"FirstChoice",2.81,5.50,4.70,7.70,3,0,5,2,0,40,3, 25, 117, 11, 0, 15,4,4,58, 226092, 180307, 26546, 92.53, 118896,1773.3
"ADC LF LCS TEAM",2.57,6.00,4.40,5.30,0,0,0,10,0,50,13, 31, 109, 24, 1, 15,6,3,48, 171241, 166532, 34209, 67.68, 115120,1741.8
"whatsaward",3.13,3.40,4.00,9.10,0,2,1,0,7,60,14, 38, 180, 4, 3, 12,4,2,50, 103500, 184581, 29555, 50.78, 96574,1676.6
" I E",2.81,6.80,5.70,9.20,0,8,2,0,0,30,29, 45, 159, 7, 2, 15,6,3,59, 192119, 296595, 87232, 101.07, 131637,2009.6
"kyle 8D",4.51,0.70,3.50,15.10,0,0,0,0,10,70,44, 91, 323, 8, 0, 10,1,7,67, 66028, 164479, 78692, 45.98, 94823,1923.8
"Mukatto",2.18,4.50,5.10,6.60,4,0,3,2,1,40,12, 26, 83, 12, 1, 17,2,3,45, 138875, 179366, 18153, 62.42, 98490,1670.2
"Twilly",2.68,4.40,3.80,5.80,5,2,3,0,0,40,1, 21, 48, 10, 3, 10,4,3,47, 176149, 243608, 122636, 79.27, 115282,1869.6
"HotDream",3.17,7.40,4.60,7.20,0,0,2,8,0,50,7, 31, 102, 13, 1, 18,2,7,60, 300592, 271730, 40261, 66.22, 126187,1795.7
"MercRydias",3.42,1.40,4.50,14.00,0,0,0,0,10,60,33, 81, 276, 5, 0, 21,9,9,62, 80747, 161254, 41643, 13.67, 97739,1902.9
"NuthinImpossible",1.64,6.30,7.30,5.70,6,3,0,1,0,20,4, 31, 112, 8, 1, 11,5,4,47, 191995, 265029, 40052, 64.42, 113217,1794.4
"lllllIIIIIlllllI",4.09,5.10,3.20,8.00,2,0,0,7,1,50,11, 30, 130, 12, 2, 10,2,1,56, 162054, 138662, 32424, 59.93, 105757,1706.7
"FappToTheFuture",3.67,1.20,3.90,13.10,0,0,0,1,9,40,23, 59, 252, 2, 1, 12,1,4,51, 70543, 219867, 32112, 88.08, 93436,1841.8
"MykieMaus",3.77,6.00,3.50,7.20,0,0,1,9,0,70,10, 24, 93, 18, 4, 10,2,8,55, 187256, 148210, 30506, 23.88, 125941,1806
"TheRickestRlCK",2.47,6.60,5.70,7.50,0,4,0,6,0,40,15, 23, 90, 18, 3, 11,3,5,52, 189160, 241647, 54773, 67.05, 125814,1760.6
"SoullessInferno",2.18,6.60,6.00,6.50,2,1,1,5,1,20,18, 35, 128, 13, 2, 10,1,5,54, 180697, 192302, 32264, 40.30, 110398,1701.7
"The Playmaker",4.07,9.20,4.50,9.10,0,2,8,0,0,60,0, 38, 83, 20, 4, 24,2,9,59, 295982, 209080, 31725, 47.17, 140931,2120
"Gtx1zzz",2.98,7.70,4.90,6.90,1,3,0,5,1,50,16, 36, 115, 18, 3, 17,4,4,54, 197845, 268119, 69529, 50.40, 130258,2034.3
