"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Sice",2.04,4.9,5.5,6.3,4,4,0,0,2,30,8,57,113,17,4,12,0,4,44,175459,317293,66783,6316,134481,2046.4
"shumai oppa",1.94,4.80,5.30,5.50,2,1,7,0,0,40,40, 36, 134, 6, 0, 13,6,6,49, 154959, 201577, 30480, 55.35, 112499,1722.9
"Hey Im Nza",1.72,3.60,5.80,6.40,3,1,0,5,1,30,8, 41, 121, 8, 1, 13,0,3,48, 136731, 183786, 30217, 47.62, 104128,1708.2
"Amjc3",4.58,1.20,3.30,13.90,0,1,0,1,8,60,67, 94, 309, 4, 0, 17,2,3,64, 69773, 151244, 32306, 19.80, 89780,1769.8
"Mgic",3.51,7.20,4.50,8.60,0,0,1,9,0,60,16, 30, 148, 10, 2, 16,4,4,64, 284145, 188037, 35370, 103.55, 129854,1878.2
"Where is Osama",2.22,5.20,5.80,7.70,1,1,0,6,2,70,0, 61, 107, 11, 0, 16,4,6,50, 190248, 245928, 58511, 30.58, 120314,1855
"Michael creative",3.14,4.70,3.70,6.90,2,1,2,5,0,40,8, 7, 106, 10, 1, 14,2,3,53, 148039, 191322, 31148, 31.27, 107238,1669.9
"RMikasBootySlap",1.35,6.10,7.90,4.60,5,0,5,0,0,50,14, 20, 124, 22, 1, 11,3,6,45, 227468, 233029, 36448, 42.77, 117756,1761.1
"Ianbearpig1337",2.82,2.30,3.40,7.30,0,0,1,2,7,40,34, 56, 191, 5, 1, 13,4,3,54, 80732, 137942, 40197, 29.15, 83984,1648.4
"SoulReaverDraven",3.09,7.90,4.60,6.30,0,0,3,7,0,70,6, 24, 86, 15, 1, 15,4,1,52, 221788, 166727, 22131, 29.13, 131969,1840.4
"sporo",2.55,6.30,6.20,9.50,3,0,1,6,0,50,0, 12, 102, 11, 4, 16,4,3,50, 235199, 240049, 49557, 68.65, 121742,1878.3
