"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Zellgius",4.33,6.1,3,6.9,6,3,0,1,0,70,12,25,162,9,2,24,6,7,63,164101,251003,57622,18991,126323,1870.4
"Spylexlol",1.72,5.90,7.50,7.00,1,6,1,2,0,40,23, 43, 162, 3, 1, 16,3,5,48, 164239, 310061, 97773, 142.98, 121141,1940
"magicalpen",5.00,2.60,2.90,11.90,0,0,0,3,7,60,18, 29, 160, 4, 1, 20,3,3,57, 107855, 180727, 55162, 38.62, 91915,1721
"Hyphy 7o7",1.88,3.30,5.60,7.20,2,2,3,0,3,20,47, 47, 265, 4, 0, 10,3,2,54, 129430, 252470, 49988, 55.37, 101283,1873.9
"7 5",3.34,7.30,4.10,6.40,0,0,1,9,0,70,5, 30, 141, 12, 2, 19,2,5,55, 214499, 152208, 41043, 31.58, 128252,1875.5
"Most1td",1.68,0.60,6.20,9.80,0,0,0,0,10,30,29, 52, 187, 4, 0, 5,3,3,54, 48775, 175665, 40515, 23.00, 75420,1679.6
"Heartlock",2.56,2.30,5.90,12.80,0,3,0,0,7,50,15, 55, 262, 7, 0, 14,2,5,59, 123281, 225651, 40100, 134.63, 97621,1903.4
"roons11",3.08,4.80,3.90,7.20,0,1,4,5,0,30,11, 18, 117, 19, 4, 21,3,5,53, 187861, 198149, 44650, 50.25, 121259,1907.2
"Momo God",1.06,1.70,5.30,3.90,7,0,3,0,0,20,5, 9, 71, 3, 0, 5,2,1,41, 101199, 160587, 16897, 70.10, 76609,1403.3
"GzLong",1.05,2.70,6.30,3.90,5,2,0,2,1,10,23, 39, 123, 5, 0, 10,3,2,37, 103969, 213427, 22510, 83.88, 99525,1801.5
"Yezzun",3.63,9.10,4.00,5.40,0,1,0,9,0,80,7, 27, 107, 16, 4, 17,1,6,55, 225530, 167909, 37052, 92.13, 132917,1680.7
"Bodied",2.93,5.10,4.50,8.10,0,6,0,4,0,40,7, 42, 105, 9, 2, 18,4,7,51, 191186, 242147, 73835, 97.87, 131493,2048.1
"GR8U",3.00,4.50,3.30,5.40,0,0,0,10,0,40,2, 20, 92, 11, 4, 11,4,4,48, 186938, 147571, 27591, 34.15, 117475,1809.8
"Prototype Bot",2.31,4.60,6.10,9.50,0,1,8,0,1,60,8, 32, 117, 7, 0, 11,5,2,52, 155130, 188641, 34504, 75.22, 104914,1700.2
"dagou so cute",1.71,4.00,5.10,4.70,1,5,0,4,0,20,14, 40, 141, 8, 1, 9,2,3,55, 164451, 239053, 64049, 82.80, 103246,1740.9
"team tsm mid",2.11,5.20,6.40,8.30,1,2,0,7,0,60,2, 24, 133, 17, 1, 16,5,5,53, 183772, 237818, 39616, 49.83, 120908,1828.8
"Mahad",3.23,7.00,5.20,9.80,0,0,5,5,0,50,5, 22, 101, 15, 3, 15,2,5,60, 237659, 165817, 25311, 103.00, 126194,1959.9
"Captcha",1.22,3.20,7.20,5.60,4,2,1,1,2,60,3, 31, 133, 11, 1, 13,2,4,34, 150438, 246676, 58856, 35.67, 102799,1776.3
"Rincon",2.11,4.80,5.60,7.00,0,5,1,4,0,40,29, 43, 143, 8, 2, 11,5,3,47, 159036, 227283, 38765, 77.23, 115775,1802
"Exclusive Thot",2.74,4.90,4.60,7.70,6,0,4,0,0,40,8, 28, 104, 12, 2, 13,2,4,53, 262168, 204266, 33429, 58.32, 120266,1897.6
"NeWPreT10",3.58,6.40,3.80,7.20,1,6,3,0,0,60,0, 46, 89, 10, 0, 8,4,1,57, 177544, 260240, 124798, 170.40, 117990,1770.6
"Dabit420",2.00,7.50,6.40,5.30,0,9,0,1,0,30,5, 46, 80, 3, 0, 9,1,2,56, 190468, 288724, 109549, 61.93, 119150,1767.2
"GundayMonday",3.58,3.60,3.80,10.00,5,5,0,0,0,50,28, 61, 208, 6, 1, 16,5,6,53, 151798, 296088, 43299, 111.28, 124919,1989.1
"Ni ma zha 1e ba",2.71,8.80,5.50,6.10,0,0,2,8,0,50,2, 39, 120, 18, 3, 19,2,3,50, 230361, 193711, 34431, 29.03, 138823,1869.5
"JOHN CENA",2.17,8.40,7.10,7.00,2,4,3,0,1,60,44, 53, 90, 6, 1, 16,2,2,54, 219823, 329797, 85587, 72.03, 135775,2005.5
"StateOfSerenity",1.39,3.00,6.10,5.50,8,0,2,0,0,40,16, 2, 72, 7, 0, 13,2,2,43, 150935, 237883, 43977, 65.73, 102841,1709.3
"MwWillyson",2.09,4.50,5.70,7.40,0,0,1,9,0,50,31, 31, 138, 7, 1, 15,2,3,52, 209429, 170247, 28303, 102.28, 111399,1859.4
"Respected Panda",3.67,4.80,3.90,9.50,1,2,0,7,0,40,2, 16, 67, 6, 3, 18,4,3,58, 153923, 176689, 58110, 51.25, 103922,1707.7
"me Blob",2.51,3.20,5.50,10.60,0,1,3,1,5,40,32, 61, 247, 6, 3, 12,6,4,53, 121389, 190526, 30883, 81.42, 105754,1886.9
"iBaymax",2.45,0.70,4.40,10.10,0,0,1,1,8,40,15, 40, 154, 2, 1, 8,5,3,50, 47495, 147961, 34142, 32.12, 76970,1657.6
"UltraZ",2.07,5.90,5.70,5.90,0,2,7,1,0,50,22, 39, 101, 7, 0, 13,1,2,46, 157278, 200230, 27665, 52.97, 118633,1764.3
"Coach Koko",2.33,3.30,4.80,7.90,9,0,1,0,0,60,25, 24, 122, 13, 1, 20,4,5,45, 157968, 257613, 49391, 134.73, 107337,1750.4
"zCrimzon",2.17,5.00,4.60,5.00,0,1,5,4,0,20,15, 14, 102, 9, 1, 13,5,2,47, 183889, 166462, 23363, 26.83, 111491,1713.8
"Imagine Badgers",3.59,9.20,5.10,9.10,0,7,3,0,0,50,10, 43, 118, 12, 1, 17,1,4,61, 236644, 275369, 79925, 90.83, 139133,1900.4
"Slyth3r",3.44,6.00,5.20,11.90,3,6,1,0,0,70,8, 32, 98, 5, 1, 11,3,7,60, 178267, 321350, 62910, 109.77, 131479,1970.4
"Sexybubba",1.82,5.00,6.50,6.80,0,0,5,5,0,50,4, 31, 99, 9, 1, 15,2,4,45, 185674, 156116, 15185, 55.18, 122903,1837.2
"Antrix",1.81,5.60,5.90,5.10,7,0,1,2,0,40,14, 24, 55, 10, 4, 6,0,4,49, 190240, 179991, 21530, 32.52, 103553,1594.6
"XiaoDingDong",2.43,5.70,5.10,6.70,3,7,0,0,0,60,0, 37, 116, 8, 7, 20,1,5,39, 191993, 245710, 67877, 67.73, 132363,1950.2
"Vyzual",3.05,1.30,4.20,11.50,0,0,0,2,8,40,12, 61, 199, 4, 0, 13,1,2,58, 63789, 139769, 36188, 23.47, 83151,1727.1
"Glacite",2.65,8.00,5.40,6.30,0,1,4,5,0,60,1, 7, 62, 8, 0, 14,4,3,58, 206154, 194136, 16938, 28.67, 118873,1656.8
"Wynterfell",4.00,6.10,3.80,9.10,0,0,8,2,0,50,7, 34, 116, 9, 2, 13,1,7,60, 203464, 150411, 16696, 81.50, 119531,1833
"GrashGorett",1.92,3.30,5.30,6.90,10,0,0,0,0,30,7, 18, 123, 6, 1, 8,3,6,44, 153323, 271322, 48594, 85.03, 109387,1883.7
"Ganked By Zeus",2.49,6.20,5.30,7.00,3,0,5,1,1,60,19, 42, 115, 9, 2, 16,6,7,49, 189362, 223647, 60253, 99.87, 128417,1959.3
"sammyuu",2.17,5.10,5.90,7.70,1,3,0,6,0,40,12, 31, 94, 12, 1, 11,4,0,51, 199027, 231006, 43949, 38.70, 118448,1815.9
"why never",2.45,4.10,5.80,10.10,1,2,6,0,1,40,11, 42, 165, 4, 1, 14,1,5,53, 185934, 255678, 58004, 66.33, 122015,2050.3
"Spathika",2.79,3.80,3.90,7.10,8,2,0,0,0,30,9, 71, 140, 5, 3, 8,0,3,52, 171141, 317354, 79757, 97.83, 113784,1842.3
"Sphire",2.77,5.40,4.40,6.80,1,0,4,2,3,50,0, 30, 94, 8, 1, 9,5,6,56, 155993, 187713, 22479, 27.52, 107716,1847.3
"malklopelo",1.51,2.00,7.30,9.00,2,1,0,0,7,30,0, 37, 105, 3, 1, 15,1,5,50, 90751, 298322, 71559, 58.35, 92562,1850.9
"One Punch Cow",2.39,4.20,5.70,9.40,4,3,0,0,3,30,8, 35, 132, 4, 0, 13,4,3,57, 139936, 247526, 62757, 90.55, 102628,1817.9
"Llyv",3.39,1.10,4.60,14.50,0,0,2,0,8,70,56, 85, 278, 5, 0, 18,4,5,58, 78794, 215646, 37244, 73.13, 97566,1899
"Dwaynificent",3.23,7.40,4.30,6.50,0,0,1,9,0,80,5, 21, 90, 29, 3, 19,6,5,47, 216705, 169262, 26675, 88.15, 130746,1713.5
"szefen",2.59,6.50,5.60,8.00,4,3,1,0,2,30,0, 28, 114, 8, 2, 10,1,1,63, 199173, 220866, 49030, 42.18, 121937,1892.2
"Shobek",1.70,8.70,8.60,5.90,8,2,0,0,0,60,1, 13, 105, 14, 3, 20,2,3,46, 228009, 326425, 33910, 78.03, 136092,1949.5
"Barrackyomomma",3.02,8.20,5.60,8.70,0,2,0,8,0,50,4, 39, 136, 16, 4, 16,1,8,63, 245097, 246409, 43546, 67.45, 135668,1993.5
"Feedling",2.33,5.10,5.80,8.40,2,3,2,3,0,40,12, 22, 118, 8, 0, 12,5,5,56, 180247, 241988, 41606, 62.70, 116500,1891.9
"Ni ma zha le ba",2.68,4.90,6.00,11.20,5,0,1,0,4,50,14, 43, 137, 8, 0, 19,3,4,54, 149808, 266692, 42605, 63.22, 111719,1847.7
"FaII in Love",1.63,2.80,4.30,4.20,4,4,2,0,0,30,12, 23, 105, 4, 0, 9,3,0,38, 92488, 209804, 39424, 59.10, 92058,1593.8
"Lubrication",2.54,5.50,5.00,7.20,0,0,4,6,0,40,11, 30, 110, 12, 4, 18,3,7,49, 211107, 184725, 28867, 58.37, 128091,1901.5
"Xackary",2.93,9.20,5.70,7.50,2,1,6,1,0,60,0, 28, 92, 6, 3, 11,4,3,57, 256132, 225202, 27415, 36.90, 127199,1923.3
"LaSt LeGeNdArY",2.27,5.50,5.90,7.90,0,2,0,8,0,40,1, 18, 38, 9, 0, 8,0,3,54, 193291, 195638, 38642, 66.63, 111449,1841.4
"Hold On Till May",2.47,5.00,4.50,6.10,1,4,0,5,0,30,26, 48, 94, 10, 3, 16,2,4,47, 189531, 225046, 61911, 82.27, 117553,1899.4
"loganslowEGO",3.82,1.70,3.80,12.80,0,0,1,1,8,70,16, 42, 163, 1, 1, 16,1,4,52, 83534, 207246, 44547, 53.10, 94210,1844.9
"rochnator",1.97,5.30,5.80,6.10,1,2,6,1,0,30,12, 19, 91, 4, 0, 11,0,0,48, 190417, 198039, 24216, 59.48, 112520,1862.1
"Haynay",3.48,3.40,4.00,10.50,1,1,0,1,7,50,12, 28, 216, 7, 1, 12,2,4,64, 117632, 180122, 46221, 49.00, 91941,1599.2
"Cleansed",4.46,6.60,3.50,9.00,0,4,0,6,0,80,6, 37, 110, 9, 3, 14,2,3,59, 190956, 219297, 45558, 79.57, 125664,1819.9
"7120327",3.27,8.70,4.90,7.30,7,2,1,0,0,70,7, 40, 115, 14, 3, 25,2,5,55, 235702, 275994, 64179, 42.48, 144152,2080.6
"JonathanPham",2.46,2.90,6.70,13.60,0,2,0,0,8,50,8, 27, 206, 9, 3, 10,2,8,55, 101576, 214921, 78127, 52.55, 105781,1928.3
"Monsoonz",3.17,5.00,4.00,7.70,0,2,1,6,1,50,20, 51, 107, 16, 4, 17,4,4,60, 175602, 192670, 48659, 97.90, 117234,1838.3
"looneytuny",3.02,2.20,4.10,10.20,0,1,0,0,9,40,35, 68, 212, 4, 1, 17,3,5,50, 104990, 178086, 28456, 62.30, 99077,1938
"dopa2",3.91,9.20,4.50,8.40,0,2,4,3,1,70,9, 29, 104, 11, 1, 12,6,5,62, 201133, 143277, 21998, 45.12, 118305,1629.2
"Ferret101",2.17,3.90,4.60,6.10,7,3,0,0,0,50,4, 71, 113, 6, 0, 13,2,7,49, 334623, 479097, 80482, 117.97, 108391,1807.5
"Vao",2.62,7.60,6.30,8.90,0,6,4,0,0,50,12, 32, 112, 9, 1, 13,1,4,61, 275041, 275216, 64209, 81.73, 132069,1943.5
"Matos2",3.02,7.20,4.50,6.40,0,7,3,0,0,50,4, 16, 74, 3, 3, 10,1,2,59, 169521, 185722, 41297, 47.65, 113445,1626.2
"NoRegrets",1.63,5.60,6.00,4.20,6,0,4,0,0,50,10, 15, 95, 6, 0, 12,4,1,38, 147233, 183872, 14677, 56.67, 104061,1691.5
"Coray",2.95,1.10,3.80,10.10,0,1,3,0,6,40,29, 45, 186, 2, 0, 12,2,1,55, 91074, 121647, 57457, 91.25, 81845,1559
