"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Myroh",1.41,1,3.9,4.5,0,1,0,0,5,33,9,17,99,0,0,5,2,1,40,35768,120522,30692,2724,50526,1848.5
"sliverwings1",1.83,2.90,6.00,8.10,6,1,0,0,3,50,16, 22, 139, 5, 1, 12,3,3,44, 113007, 223990, 28170, 28.23, 94308,1755.1
"Talon96825",2.04,3.40,4.80,6.40,2,3,1,3,1,50,8, 18, 111, 12, 2, 14,3,5,42, 124987, 202532, 57049, 35.95, 114624,1845
"Flareons",3.22,3.80,4.10,9.40,3,0,6,0,1,50,33, 73, 159, 7, 4, 23,2,7,44, 182169, 182776, 30249, 100.50, 121467,2130.6
"FurNate",2.86,6.30,5.10,8.30,3,0,7,0,0,60,0, 21, 81, 10, 1, 17,1,3,55, 191067, 205837, 27751, 58.43, 122572,1922
"ItsBrittxo",2.83,2.20,6.40,15.90,0,0,0,0,10,60,54, 94, 338, 4, 1, 16,1,3,54, 97698, 224571, 82488, 69.02, 109455,2235.1
"Kevin Is Broken",1.98,5.70,6.20,6.60,2,7,0,1,0,30,0, 16, 121, 4, 0, 14,2,1,49, 163495, 323172, 99165, 124.80, 117305,1898
"WangWong",4.62,11.80,4.70,9.90,0,0,1,9,0,80,9, 26, 133, 21, 5, 22,5,6,65, 310356, 211855, 35603, 41.20, 153689,1970.1
"Rex the Billy",2.29,5.10,6.30,9.30,5,1,2,2,0,50,0, 38, 77, 15, 2, 13,2,8,52, 179274, 272453, 42877, 94.83, 129515,2061.8
"GoldieHYX",3.53,7.60,4.50,8.30,2,0,8,0,0,80,8, 32, 134, 9, 0, 18,1,4,62, 233718, 189819, 31752, 192.93, 124671,1869.9
"Ccaulder",2.03,3.70,6.00,8.50,0,0,3,3,4,30,0, 36, 82, 12, 4, 14,3,5,53, 145326, 161631, 22070, 103.88, 106094,1929.6
"Mewber",3.98,7.30,4.20,9.40,4,0,3,2,1,70,9, 26, 143, 16, 3, 18,5,7,57, 248129, 227771, 44280, 27.03, 132739,2004.9
"WasItSafe",2.00,4.70,8.60,12.50,0,4,2,0,4,50,19, 32, 139, 3, 0, 22,0,5,54, 159243, 326945, 90743, 153.33, 113106,1947
"Tromo",2.48,4.80,6.10,10.30,1,1,0,5,3,40,15, 35, 175, 5, 1, 15,3,3,54, 181492, 246320, 46875, 73.40, 124824,2101.5
"Phyzl",2.71,3.90,4.20,7.50,0,8,1,0,1,50,16, 31, 91, 6, 0, 13,2,5,50, 121245, 227457, 55628, 92.12, 105009,1829
"BK Whoppers",1.77,5.90,7.10,6.70,0,1,2,7,0,20,1, 10, 48, 9, 1, 14,3,3,49, 187328, 184177, 22032, 57.82, 124809,1948.6
"shub shawn",2.59,6.50,6.10,9.30,2,8,0,0,0,70,0, 24, 120, 20, 5, 22,5,6,49, 207363, 285583, 74080, 119.10, 134885,1938.7
"Catcy",2.74,8.00,5.40,6.80,0,6,4,0,0,30,20, 45, 162, 11, 1, 15,2,4,58, 229659, 272142, 83676, 75.30, 136492,2071.5
"I Love All Of U",4.91,6.60,3.40,10.10,4,4,0,0,2,40,6, 46, 124, 8, 2, 19,4,3,58, 159856, 288078, 68677, 411.08, 122008,2007
"oGinGo",2.84,5.30,4.50,7.50,1,8,0,0,1,50,22, 41, 188, 14, 6, 16,3,6,52, 160800, 298794, 98779, 102.68, 129034,2082.2
"Phleet Pheet",3.30,8.00,5.40,9.80,4,3,2,0,1,70,8, 29, 158, 11, 1, 22,6,4,54, 270101, 280227, 55683, 87.68, 142904,2147.2
"SexyBoyBulbasaur",1.87,2.20,6.00,9.00,2,1,0,2,5,40,11, 28, 145, 2, 1, 10,1,3,51, 96566, 185478, 15906, 54.35, 87919,1701.1
"Acrux",3.02,2.80,5.20,12.90,0,1,0,1,8,40,37, 64, 231, 3, 3, 16,4,5,66, 141394, 198675, 44467, 68.02, 106583,2049.3
"SunJianROTK",1.88,6.70,7.40,7.20,5,2,3,0,0,20,0, 24, 109, 7, 1, 20,1,5,51, 208294, 281476, 46037, 46.08, 118229,1948.9
"Hiru",1.23,6.20,8.60,4.40,3,0,7,0,0,20,5, 20, 62, 7, 3, 10,2,3,43, 167149, 225551, 23487, 29.57, 119507,1956.9
"Jessica Tata",2.23,7.80,6.50,6.70,0,0,2,8,0,10,2, 30, 94, 14, 1, 13,2,0,54, 267365, 223910, 36247, 38.80, 144518,2062.9
"Whorehay",2.67,7.00,5.80,8.50,0,1,0,9,0,60,12, 28, 129, 21, 5, 15,7,4,52, 230710, 190002, 43609, 68.63, 128380,1842.3
"scthesheep",2.90,5.80,4.90,8.40,2,5,0,3,0,40,10, 27, 95, 12, 2, 15,3,4,58, 201091, 277886, 65857, 117.53, 119915,1905.7
"Chxiong",2.45,6.50,6.00,8.20,0,7,1,1,1,50,17, 27, 70, 6, 3, 15,5,3,49, 172946, 295309, 101394, 87.10, 126711,1914.5
"EmmanuelElfd",1.92,4.10,6.50,8.40,3,2,3,0,2,50,11, 21, 130, 7, 2, 15,3,3,47, 175993, 276189, 83423, 110.85, 115700,1976.8
"Peter worldeater",2.11,5.00,6.10,7.90,0,0,1,7,2,20,13, 43, 103, 3, 1, 13,2,3,55, 190054, 192791, 29299, 71.82, 112340,1987.8
"auchenai",4.21,9.40,4.20,8.30,0,1,1,7,1,70,4, 20, 109, 20, 6, 19,7,6,55, 233004, 165940, 31928, 46.73, 131748,1856.9
"Boner4StevieD",1.49,3.00,4.30,3.40,5,4,1,0,0,40,3, 21, 62, 10, 0, 9,1,3,43, 114783, 230551, 44662, 101.80, 92541,1523.7
"EvilFaraDisE",3.81,2.30,2.60,7.60,0,0,2,3,2,43,15, 19, 149, 6, 0, 12,1,4,57, 118141, 118879, 26221, 50.97, 83186,2007.857142857143
"Lee",3.00,1.30,4.40,11.90,0,0,0,2,8,30,14, 42, 144, 0, 0, 13,2,2,54, 66508, 170084, 117319, 24.82, 99420,2058.1
"dBeast",2.69,4.50,6.10,11.90,0,2,1,0,7,50,14, 13, 153, 6, 1, 17,3,3,57, 141774, 249120, 50718, 54.17, 107876,1951.1
"Solace In Pepes",1.98,4.30,5.90,7.40,4,3,1,0,2,50,11, 31, 169, 7, 1, 17,2,5,44, 160145, 256232, 41923, 94.17, 112500,1985
"btch i might be",2.45,6.90,6.60,9.30,0,3,2,2,3,60,1, 35, 131, 5, 1, 17,4,3,57, 178412, 310658, 55657, 110.80, 122591,1999.5
"Getyourfb",2.24,4.70,4.90,6.30,2,5,2,0,1,50,12, 48, 102, 7, 1, 8,3,2,48, 134136, 239359, 58675, 80.07, 106410,1801.7
