"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Shubh",2,3.4,6.2,9,2,1,5,0,2,20,12,36,125,7,0,13,2,5,53,161902,240301,52656,4647,107917,1996.9
"xXSmallPenisXx",2.34,6.70,6.20,7.80,1,3,0,5,1,60,4, 20, 123, 16, 2, 12,1,2,50, 207104, 244766, 46057, 45.80, 120863,1838.2
"OpDTichi",2.71,8.10,6.30,9.00,0,0,0,10,0,70,0, 6, 100, 13, 2, 17,1,4,57, 242934, 192104, 31047, 39.67, 128066,1866.1
"Dis Lemon",2.04,4.20,5.60,7.20,3,6,0,0,1,30,7, 46, 143, 8, 0, 10,2,4,50, 144928, 349922, 56584, 128.83, 111977,1999.3
"Hostage Sausage",1.57,4.00,5.10,4.00,0,9,0,1,0,30,0, 14, 93, 7, 2, 15,2,1,34, 122865, 248186, 71910, 97.45, 104555,1811.8
"Dark Wristband",3.33,4.40,3.30,6.60,0,7,2,1,0,30,28, 58, 168, 2, 2, 15,3,3,45, 121055, 229372, 74060, 135.00, 119047,1926.1
"Your True Love",1.90,6.10,8.20,9.50,3,1,6,0,0,40,3, 32, 110, 14, 1, 17,3,5,51, 203457, 302307, 57315, 85.98, 132266,2166.3
"Takes",2.79,6.30,4.70,6.80,0,0,7,3,0,40,8, 16, 140, 6, 2, 17,4,4,59, 226680, 195498, 31136, 46.60, 119698,1980.7
"ONE KICK GUY",2.84,6.50,5.00,7.70,7,0,2,1,0,30,22, 25, 115, 9, 1, 16,0,6,55, 234961, 271676, 35478, 75.90, 125362,2000.3
"Good DirecTor",3.11,9.70,5.30,6.80,1,5,3,1,0,40,10, 13, 117, 8, 2, 16,9,3,64, 235866, 265400, 93352, 113.25, 141864,1888.3
"SteinsGatelol",4.09,9.40,4.40,8.60,0,1,0,9,0,90,2, 13, 87, 11, 1, 21,2,4,62, 208773, 156885, 30686, 28.07, 123719,1671.8
"xIMUDIx",2.53,3.90,5.80,10.80,3,6,0,0,1,30,9, 33, 98, 7, 2, 9,3,2,55, 158184, 295560, 90608, 77.23, 111966,2006.7
"Risdom",1.88,8.50,7.50,5.60,0,3,3,4,0,20,9, 23, 114, 5, 1, 11,1,5,50, 237406, 283789, 46029, 74.55, 133177,2177.7
"Lone Assassin",1.97,5.10,7.70,10.10,0,0,2,2,6,60,1, 9, 108, 10, 3, 18,2,5,51, 150047, 208960, 28306, 48.20, 109458,1828.1
"phillip ondeez",1.96,4.90,6.80,8.40,1,3,0,6,0,60,15, 29, 79, 12, 0, 19,4,2,49, 186822, 228549, 50553, 49.73, 116381,1907.2
"ProxyID",1.38,2.70,3.90,2.70,0,3,2,0,0,20,12, 19, 73, 2, 0, 7,1,1,47, 81343, 112874, 14208, 33.52, 56503,1981.4
"unperfected32",2.05,5.20,6.00,7.10,5,5,0,0,0,50,12, 8, 117, 12, 3, 13,2,3,45, 144500, 328327, 64087, 111.73, 110669,1729.3
"Jz52019",3.35,4.20,3.40,7.20,0,3,7,0,0,90,15, 20, 140, 13, 3, 15,6,8,50, 132541, 197484, 59095, 60.77, 106150,1586
"FunnyMemesTBHFam",2.82,3.80,3.90,7.20,5,4,1,0,0,60,2, 22, 68, 9, 2, 11,1,0,41, 168450, 267521, 65861, 163.77, 106946,1824.5
"Twist of Fate",2.00,4.60,4.90,5.20,2,0,8,0,0,30,10, 25, 101, 11, 1, 15,1,2,51, 225184, 153951, 14394, 55.73, 104301,1699.2
"UrinatingTurtle",2.82,4.30,3.40,5.30,0,0,0,10,0,50,6, 22, 106, 12, 0, 12,4,4,46, 172736, 146747, 28729, 55.97, 113112,1841
"Skankiasaurus",2.41,1.20,5.60,12.30,0,0,0,0,10,30,13, 39, 187, 0, 1, 12,1,0,54, 74823, 197841, 77949, 53.97, 93480,1941.4
"DeathByNinjas",1.43,5.00,8.10,6.60,0,1,0,8,1,30,0, 15, 110, 11, 1, 15,2,2,50, 178934, 213866, 28459, 24.82, 107426,1787.6
"Rauh W Begriff",1.78,5.30,6.70,6.60,5,2,0,3,0,50,2, 13, 90, 16, 2, 18,1,3,46, 210630, 242006, 53121, 71.27, 114477,1861.2
"H8ED Ace",2.81,6.60,6.20,10.80,3,3,1,0,3,70,9, 32, 144, 8, 6, 17,5,8,58, 162177, 323238, 84941, 79.72, 121873,2095.4
"SexyDonnie",2.59,5.80,5.40,8.20,1,1,7,0,1,60,8, 11, 77, 18, 1, 13,3,3,56, 185203, 207991, 37955, 39.22, 121099,1775.9
"PharmerT",2.11,5.40,6.30,7.90,4,2,4,0,0,50,10, 29, 120, 10, 1, 13,0,8,45, 215641, 337228, 58994, 60.78, 127249,2055.3
"DedChixCantSayNo",2.42,6.80,6.40,8.70,0,8,1,1,0,50,0, 47, 119, 5, 3, 14,4,4,54, 201704, 276583, 92465, 110.82, 124672,2056
"Greeener",4.54,2.50,3.90,15.20,0,2,1,0,7,60,24, 59, 235, 4, 1, 18,3,4,53, 131042, 228624, 41971, 46.87, 114625,2048.3
"TheB1ackninja",3.53,5.70,3.40,6.30,2,3,1,4,0,50,3, 39, 138, 10, 3, 15,5,5,52, 243428, 221358, 66723, 127.32, 126360,1947.3
"3LChrist",2.22,6.80,6.50,7.60,0,2,3,5,0,80,5, 33, 90, 17, 7, 22,4,9,50, 206606, 214115, 36260, 57.82, 128467,1948.7
"boxlord",2.61,6.00,5.90,9.40,8,1,0,0,1,50,34, 41, 209, 10, 1, 14,4,4,51, 193416, 326125, 120153, 170.42, 129556,2082.2
"6666666666",2.08,2.30,4.80,7.70,0,5,1,1,3,20,15, 29, 170, 0, 0, 8,2,1,56, 99824, 203828, 51569, 73.37, 84887,1707.8
"Omnipotent Lord",2.08,5.70,6.00,6.80,2,2,3,2,1,30,14, 25, 97, 8, 2, 10,0,2,53, 155642, 202589, 22083, 54.40, 106862,1788.7
"Silver Trash Can",2.72,5.10,6.00,11.20,0,1,1,7,1,50,9, 24, 99, 11, 2, 20,5,4,57, 180844, 209681, 49122, 58.67, 129810,2086.9
"MagicJelly",3.18,8.80,5.10,7.40,0,7,1,2,0,70,5, 37, 129, 10, 2, 12,0,3,55, 221959, 309552, 100714, 78.60, 134624,1864.5
