"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"FascistMoose",1.53,3,6.2,6.5,0,1,2,0,7,20,0,16,106,1,0,9,0,0,45,114874,185209,35397,1333,80497,1713.8
"ADmid is god",2.95,3.60,4.40,9.40,1,0,2,0,7,60,9, 33, 175, 3, 1, 10,2,4,52, 85819, 160312, 23033, 31.58, 87177,1727
"lnsinuate",2.21,4.10,5.60,8.30,5,1,2,1,1,60,11, 14, 128, 12, 0, 19,3,7,44, 187963, 238443, 72231, 29.70, 123236,1904.1
"Mazerus",1.95,5.10,6.00,6.60,0,0,4,6,0,50,0, 30, 128, 17, 2, 15,1,2,44, 214722, 178917, 23771, 45.90, 119629,1937
"Damn Devin",2.45,6.50,6.40,9.20,3,1,0,2,4,30,5, 20, 75, 4, 1, 9,4,4,64, 209260, 225482, 102415, 252.17, 117000,1947.8
"Rootarete",3.04,2.00,4.90,12.90,0,1,0,1,8,30,28, 38, 192, 5, 1, 18,3,4,63, 74989, 255980, 107006, 93.93, 90578,1949.2
"Vichiina",3.33,6.30,4.00,7.00,7,3,0,0,0,60,6, 68, 101, 10, 3, 9,2,4,57, 188202, 183439, 44733, 47.12, 102118,1731.4
"Zcuz",3.44,3.30,2.70,6.00,8,1,0,0,1,70,11, 18, 77, 13, 1, 18,2,4,42, 137434, 174542, 36995, 89.85, 100308,1592.1
"Nuking",2.65,9.90,6.80,8.10,1,4,0,5,0,60,19, 43, 146, 12, 3, 19,4,3,65, 216325, 279120, 63877, 77.12, 131840,1938.9
"Hadok3n",4.46,8.80,4.10,9.50,0,0,0,10,0,70,0, 45, 113, 18, 4, 25,0,6,55, 329389, 202363, 37916, 150.43, 155000,2322.1
