"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"nobody good",3.9,4,2.9,7.3,1,0,0,8,1,70,1,23,86,11,2,16,4,5,50,164868,124412,44608,1871,112934,1670.5
"Bmini",2.44,7.80,6.30,7.60,2,6,0,1,1,20,23, 85, 160, 7, 1, 14,3,7,61, 215032, 347395, 143538, 100.33, 141245,1985.8
"Lutano",3.20,5.90,5.00,10.10,0,1,1,5,3,30,22, 45, 164, 9, 1, 20,8,6,65, 176453, 188117, 31441, 38.57, 119667,1872.3
"BJNA",3.00,5.90,4.80,8.50,4,0,6,0,0,70,23, 36, 173, 14, 5, 13,3,5,58, 197433, 199714, 15921, 52.48, 135590,1887.9
"Bambie",2.65,8.20,6.80,9.80,10,0,0,0,0,60,14, 23, 149, 16, 2, 13,3,7,58, 264662, 326714, 57073, 75.92, 143834,1960.6
"2016",3.04,7.40,4.70,6.90,0,10,0,0,0,40,2, 30, 123, 12, 1, 13,7,4,57, 196555, 255440, 92269, 93.32, 126090,1866.1
"Indian Mama",3.37,5.90,4.30,8.60,3,6,1,0,0,60,5, 27, 114, 13, 4, 14,3,4,56, 183614, 303525, 105211, 185.22, 121729,1801.9
"Rikiimaru",1.82,5.70,6.20,5.60,3,7,0,0,0,40,0, 42, 87, 7, 2, 18,4,3,49, 187308, 268354, 53007, 101.70, 113363,1926.8
"sickosquats",2.47,2.00,4.30,8.60,0,2,0,1,7,40,20, 37, 143, 3, 1, 5,5,4,57, 60055, 141103, 51139, 26.68, 76225,1530.5
"bobababo",4.35,12.70,4.60,7.30,0,2,6,2,0,80,9, 12, 81, 10, 6, 17,1,5,65, 343673, 260595, 48701, 79.70, 149257,1802.1
"neilcheng66",1.49,5.20,6.80,4.90,2,1,6,1,0,20,15, 33, 101, 6, 1, 7,3,3,49, 163306, 193065, 27486, 47.07, 101474,1544.6
"NCS  Social Dog",2.73,4.30,3.70,5.80,6,0,0,4,0,50,17, 14, 108, 4, 0, 9,2,3,50, 175362, 229250, 56498, 115.32, 104390,1731.1
"deps",1.97,3.30,3.50,3.60,0,5,2,0,3,10,14, 25, 94, 2, 0, 4,3,0,59, 80169, 138348, 41506, 60.10, 73643,1332.2
"Aconda",4.66,8.00,3.50,8.30,0,0,0,10,0,70,20, 40, 113, 26, 7, 14,7,7,58, 231068, 162856, 37185, 51.55, 133401,1772.8
"Aluminum Kiwi",2.16,6.70,6.20,6.70,2,0,5,3,0,50,15, 28, 147, 6, 1, 14,2,4,55, 246025, 209117, 30666, 64.90, 128726,1837.5
"YaThatWasABanana",2.33,0.70,4.50,9.80,0,0,0,0,10,30,27, 49, 224, 3, 0, 2,4,2,64, 62823, 128044, 41528, 27.15, 73095,1566.8
"let me out",2.23,4.00,6.20,9.80,7,0,0,1,2,30,26, 37, 135, 1, 0, 6,3,1,54, 155397, 255923, 32947, 74.82, 109298,1762.2
"cant believe",1.72,5.90,6.70,5.60,2,0,6,2,0,20,7, 30, 128, 13, 1, 7,4,2,57, 207973, 215594, 25152, 45.05, 118112,1748.3
"Jummychu",1.72,4.50,6.50,6.70,0,0,0,10,0,30,5, 30, 117, 13, 0, 12,2,2,53, 218136, 193283, 34211, 30.15, 126342,1909.6
"TaIkPlayLove",3.26,5.80,5.00,10.50,0,9,0,0,1,60,21, 49, 160, 5, 0, 5,7,6,64, 144562, 254358, 94650, 105.60, 113256,1700.7
"hcore",4.89,7.80,3.80,10.80,0,3,0,7,0,80,8, 60, 148, 19, 0, 20,4,7,61, 199461, 239355, 45484, 71.60, 132320,1790.7
"Top Lane Retard",2.77,3.60,3.10,5.00,8,2,0,0,0,60,16, 14, 94, 12, 1, 5,2,1,43, 131542, 207037, 58857, 57.70, 91474,1456.8
"DoToT",2.04,5.30,5.70,6.30,4,4,1,0,1,40,7, 25, 130, 10, 2, 14,5,3,49, 203761, 219001, 66133, 110.95, 110289,1594.5
"dhn",2.17,4.80,4.80,5.60,4,2,0,4,0,50,7, 16, 97, 22, 0, 9,5,3,54, 171814, 215712, 36348, 118.60, 107783,1525.1
"Demnis",2.50,5.50,4.00,4.50,2,0,8,0,0,50,24, 27, 109, 7, 1, 8,6,3,52, 158296, 178553, 31757, 79.82, 103571,1572
"Herald 0f Death",2.16,2.40,5.60,9.70,1,0,3,0,6,40,17, 62, 211, 7, 1, 16,1,3,54, 109078, 175408, 23017, 143.02, 91427,1717.4
"HlKASHlKUN",3.05,6.50,4.30,6.60,2,7,1,0,0,60,32, 71, 193, 12, 4, 18,2,5,49, 234004, 189783, 40489, 131.27, 127914,1883.9
"C9 Slim",2.59,5.60,5.10,7.60,0,0,1,9,0,40,7, 28, 94, 13, 2, 9,1,1,55, 224114, 165164, 25715, 29.02, 118309,1767.2
"COSTA RlCA",3.34,0.90,3.20,9.80,0,0,0,1,9,30,9, 72, 276, 1, 0, 8,4,2,57, 50872, 137619, 33490, 35.80, 77067,1681.9
