"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"tryndamere1029",3,7.7,4,4.3,3,7,0,0,0,40,2,20,71,12,0,11,4,5,60,147030,238687,61882,3811,108008,1573.2
"Toxic boys",2.66,4.40,4.40,7.30,2,1,4,3,0,70,5, 33, 69, 4, 1, 13,2,3,46, 146520, 150949, 60248, 30.60, 107076,1640.3
"Batman Superman",3.60,5.90,4.30,9.60,0,4,6,0,0,60,10, 34, 147, 8, 1, 19,2,8,49, 224845, 210437, 39406, 133.47, 137722,2157.2
"Oncovirus",2.95,7.20,5.60,9.30,0,0,7,3,0,40,9, 30, 66, 6, 0, 19,4,3,57, 249298, 224656, 30521, 49.23, 133197,2065.5
"SnipingHobo",2.08,2.00,5.20,8.80,0,0,0,0,10,40,17, 46, 350, 2, 1, 12,3,1,52, 160801, 154860, 14101, 32.08, 100783,1884.7
"secret Champion",1.98,3.90,6.40,8.80,3,0,1,3,3,40,6, 26, 143, 8, 2, 20,3,2,49, 189459, 243539, 43378, 116.45, 115024,1940.1
"Legendury Ad",1.38,4.70,7.60,5.80,0,0,4,6,0,20,7, 9, 66, 6, 1, 10,3,2,47, 183294, 191614, 22713, 23.80, 99567,1690.8
"Mathuehue",1.69,5.30,6.10,5.00,8,2,0,0,0,30,0, 26, 95, 10, 1, 7,1,4,45, 162040, 318430, 58525, 41.15, 116242,1930
"Stoiso",3.33,5.00,4.90,11.30,2,4,0,0,4,50,27, 46, 173, 1, 1, 20,1,6,54, 148653, 256539, 56921, 87.62, 111820,2023.3
"Lord Cman",2.04,3.10,5.20,7.50,2,0,0,2,6,30,4, 12, 95, 3, 0, 14,2,1,49, 119497, 168419, 29551, 41.33, 84548,1625.4
"Inelegant",4.36,5.30,3.30,9.10,0,0,3,7,0,70,15, 18, 125, 8, 5, 12,5,4,58, 193931, 131065, 19731, 39.13, 112702,1737.5
"Rumpel Swoleskin",1.83,4.30,6.00,6.70,3,3,3,0,1,20,11, 17, 122, 11, 1, 14,1,3,48, 163202, 187414, 65964, 60.05, 112407,1909.1
"Lymeh",2.82,4.50,4.50,8.20,7,0,3,0,0,50,15, 26, 120, 9, 0, 14,2,3,59, 181095, 198255, 21369, 53.37, 112666,1694.1
"Miiko",3.09,1.20,4.60,13.00,0,0,0,0,10,40,6, 41, 198, 3, 2, 10,2,3,57, 48876, 149091, 71164, 24.77, 86073,1771.5
