"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Maxarts",1.64,4.9,5.8,4.6,9,0,0,1,0,30,4,22,90,11,2,9,2,2,42,169133,234802,69446,2092,104460,1697
"Gains Mcgilligan",3.35,7.20,4.30,7.20,0,7,0,3,0,60,13, 25, 148, 6, 2, 18,1,7,51, 157966, 270405, 72719, 97.92, 133334,1999.9
"Jungle is fun",1.77,6.20,6.50,5.30,3,3,1,3,0,30,8, 47, 99, 17, 3, 13,3,5,46, 187670, 245143, 38583, 44.37, 127586,1904.1
"Sleepy Gengar",3.48,6.90,3.30,4.60,0,1,2,7,0,40,0, 22, 81, 11, 2, 12,6,3,48, 200763, 163674, 31404, 44.92, 126578,1844.7
"Ruthless slllim",1.99,7.20,8.00,8.70,0,0,3,7,0,40,1, 17, 118, 8, 2, 17,5,3,46, 222932, 236166, 34535, 27.27, 139824,2058.7
"OGC Tilted",2.16,6.40,5.00,4.40,0,1,7,2,0,40,5, 27, 101, 15, 0, 8,5,4,47, 168825, 200046, 29829, 73.50, 123923,1962.2
"DennyTheNOOB",2.83,4.40,5.30,10.60,8,1,0,1,0,60,3, 19, 108, 8, 1, 17,4,6,46, 172963, 268614, 43365, 228.27, 112575,1835.3
"Ball 1s Not Life",1.61,5.00,6.60,5.60,3,1,4,2,0,30,3, 22, 62, 6, 2, 10,4,0,45, 185181, 249578, 31216, 59.63, 117343,1953
"Urf God",2.62,7.40,5.00,5.70,0,2,1,7,0,40,15, 53, 146, 16, 2, 14,6,1,56, 211406, 206623, 44424, 56.68, 126046,1847.3
"Shamie",2.19,2.80,8.50,15.80,1,0,0,2,7,60,3, 33, 316, 1, 0, 19,2,4,64, 174330, 360229, 64161, 132.65, 116402,2259.9
"UndesirableNo1",1.91,4.00,5.60,6.70,1,1,7,1,0,30,2, 41, 95, 1, 1, 15,2,3,48, 181735, 186462, 27264, 35.45, 99441,1744.3
"Thronis",2.37,6.70,6.30,8.20,1,5,0,3,1,50,8, 19, 86, 6, 1, 20,4,5,54, 204434, 263110, 65599, 138.23, 117899,1851.8
"ganked by cat",2.48,5.40,5.40,8.00,0,0,4,6,0,40,1, 21, 110, 12, 2, 19,3,3,58, 224365, 188384, 19986, 67.03, 122178,1975.1
