"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"orangespriteman",1.13,0.6,8.4,8.9,0,0,0,0,10,10,16,42,220,0,1,18,3,0,36,84292,271431,30908,2774,85780,2075.2
"xInfluenza",3.95,6.00,3.70,8.60,0,0,5,5,0,70,22, 6, 88, 14, 3, 14,4,2,53, 183300, 139373, 24447, 60.82, 110106,1636.1
"KinkyGravini",1.86,6.20,5.60,4.20,1,3,5,0,1,30,3, 17, 75, 14, 3, 16,3,0,45, 202087, 155366, 112907, 163.63, 123360,1917.3
"AgentLauraKinney",4.17,3.70,3.50,10.90,0,1,0,2,7,60,14, 29, 137, 6, 3, 19,0,2,58, 77208, 139142, 92444, 28.98, 95288,1742.8
"Baihtors",1.82,6.20,7.90,8.20,5,3,2,0,0,30,1, 25, 28, 11, 1, 9,1,2,53, 229246, 405900, 208917, 99.88, 122048,1977.8
"Realistic camouf",1.52,3.80,6.50,6.10,4,2,2,2,0,50,1, 33, 103, 11, 1, 13,1,3,45, 142602, 205552, 33959, 47.70, 103823,1783.8
"ZXNM",3.78,8.30,4.10,7.20,1,3,1,5,0,70,3, 20, 85, 11, 2, 11,5,4,58, 229972, 236127, 50937, 60.38, 127151,1926.1
"zekesnack",1.61,5.00,7.10,6.40,0,5,4,1,0,50,13, 19, 116, 10, 1, 17,4,5,44, 165888, 228370, 38574, 164.02, 115079,1949.9
"DD Monk",2.97,4.20,3.10,5.00,2,5,0,2,1,60,8, 21, 80, 11, 3, 15,3,3,44, 114338, 174252, 44129, 94.10, 98789,1634.3
"heuh darkness",3.65,4.40,2.60,5.10,3,0,5,2,0,40,7, 19, 131, 3, 2, 19,2,7,38, 222361, 185613, 27468, 70.53, 127385,2241.5
"Tanne Frank",2.70,5.80,5.30,8.50,5,1,0,2,2,80,17, 19, 140, 10, 1, 15,4,4,51, 168236, 300844, 45223, 179.28, 123601,1909.7
"Kekilla",2.68,3.40,4.40,8.40,0,4,0,0,6,40,7, 19, 127, 4, 2, 9,1,1,46, 113197, 210355, 49011, 54.15, 101239,1726.1
"HappyGemmer",1.53,4.80,6.80,5.60,0,1,6,3,0,70,12, 27, 130, 16, 2, 16,3,4,37, 166602, 215816, 17646, 48.65, 127969,1913.8
"Wally West",2.53,2.30,5.10,10.60,2,0,0,2,6,20,0, 36, 228, 3, 0, 15,2,1,51, 109101, 301614, 50305, 111.48, 110910,2066.1
"Themucher",2.22,4.50,6.80,10.60,2,0,2,5,1,50,18, 32, 141, 9, 0, 19,4,1,49, 192649, 271424, 57898, 76.12, 116648,2032.9
"EndLessStory x",2.71,6.30,5.80,9.40,6,0,2,0,2,40,7, 31, 125, 7, 1, 16,2,3,56, 218990, 274943, 32335, 193.43, 122742,2072
"Valinity",1.86,6.40,7.70,7.90,1,0,3,6,0,40,4, 13, 63, 8, 1, 12,3,5,47, 205665, 220391, 22851, 44.58, 133142,2057.2
"Justin109",1.92,12.70,9.20,5.00,9,0,1,0,0,50,3, 29, 144, 15, 3, 23,6,4,48, 345240, 401900, 87186, 32.75, 161261,2245.6
"0 LP Brozne V",2.11,3.50,6.40,10.00,2,0,0,3,5,40,13, 43, 199, 3, 0, 17,0,2,52, 133993, 220953, 40105, 55.55, 107072,1917.3
"CMETAHA",2.90,4.30,4.80,9.60,5,1,1,1,2,30,0, 21, 185, 12, 3, 17,4,5,48, 140612, 302812, 94184, 54.83, 121657,2167.5
"RrabXX",2.70,4.40,4.40,7.50,5,0,0,5,0,30,6, 5, 116, 9, 0, 16,0,3,48, 169476, 184411, 30072, 139.57, 108703,1858.4
"Zaratule",3.11,1.60,4.70,13.00,0,2,0,0,8,50,22, 16, 202, 3, 0, 16,4,4,57, 80370, 235737, 53382, 77.38, 98172,1896.2
"TempeT YMoney",2.33,5.90,5.40,6.70,5,0,5,0,0,40,0, 11, 70, 4, 1, 19,1,2,48, 182184, 205157, 22866, 101.23, 110212,1908.8
"LimeWhale",3.37,1.80,4.60,13.70,0,0,0,0,10,50,31, 31, 240, 1, 0, 16,0,4,56, 73855, 191965, 47322, 61.35, 96453,2023.6
"G01db3r6",2.23,6.90,5.70,5.80,8,2,0,0,0,30,0, 5, 94, 10, 1, 8,0,2,54, 185413, 332370, 24429, 307.82, 111223,1744.2
"Bdougs",2.40,5.50,6.80,10.80,0,0,5,5,0,70,2, 50, 144, 13, 4, 29,1,10,48, 199198, 221912, 41759, 17.10, 138681,2371.2
"TRYND4M3RE",3.56,5.90,3.60,6.90,7,2,1,0,0,80,12, 51, 134, 13, 1, 16,3,5,45, 187745, 310598, 72414, 215.35, 129869,1960.6
"HansOnMicok",2.38,4.50,5.50,8.60,0,4,1,0,5,50,0, 13, 124, 3, 0, 12,1,2,50, 112381, 188013, 24199, 79.93, 89979,1674.6
"Lesbianism",2.41,0.70,3.70,8.20,0,0,0,0,10,20,0, 31, 111, 0, 0, 8,1,3,45, 43201, 114516, 37326, 37.43, 70255,1669.7
"Marfranky",3.00,6.70,5.40,9.50,1,5,1,3,0,50,4, 12, 105, 10, 2, 15,1,4,54, 176484, 297297, 69562, 210.27, 118881,1994.1
"Huntits",2.31,5.50,4.80,5.60,5,1,0,4,0,30,4, 4, 53, 7, 2, 8,0,3,45, 192339, 265959, 38813, 55.30, 119429,1974.8
"TFB0YS",2.40,6.40,5.30,6.30,0,0,8,0,2,60,11, 19, 142, 7, 1, 17,6,4,51, 156143, 191940, 20200, 56.97, 111493,1857.8
"Arizor",5.19,2.60,3.10,13.50,0,0,0,0,10,70,31, 22, 189, 12, 0, 19,4,4,54, 98948, 143738, 34604, 76.45, 101830,1880.8
"Seng",2.28,4.30,5.80,8.90,1,4,5,0,0,60,2, 54, 154, 5, 0, 15,0,3,55, 155836, 227934, 57837, 67.93, 114166,1993.8
"BaneFire344",1.86,5.80,6.40,6.10,2,2,6,0,0,30,1, 28, 112, 7, 1, 12,1,1,45, 207738, 257494, 40112, 52.58, 123913,2102.6
"BoxRavanger",3.26,6.00,5.00,10.30,5,2,0,3,0,60,2, 19, 70, 18, 2, 21,7,3,47, 173395, 241514, 40363, 89.43, 125352,1940.7
"Drakomagnum",2.84,12.40,7.50,8.90,0,5,5,0,0,50,8, 29, 117, 9, 1, 16,1,2,62, 316554, 313810, 69257, 70.68, 150150,2095.9
"Dadmin Cookie",6.67,2.50,2.70,15.50,0,0,3,0,7,60,11, 76, 161, 6, 3, 19,4,5,65, 157390, 133445, 46586, 75.68, 111750,2053.6
"Iravnax",2.50,4.60,5.40,8.90,2,0,2,3,3,30,5, 27, 121, 5, 3, 14,4,2,61, 191091, 199546, 33258, 81.93, 114142,2132.9
