"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"UltraFluffyKitty",2.85,3.1,4.6,10,0,0,0,6,4,50,4,12,147,7,0,9,1,4,45,125464,213225,50220,1678,99524,1879.5,0,0,0,10130,8665,64296,96437,39.5,731,19707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61168,116788,7,184,30513
"Ichanoggin",2.57,7.20,5.80,7.70,4,4,2,0,0,60,13, 68, 131, 13, 1, 13,2,7,44, 199177, 270748, 63657, 92.95, 126875,2107.1,8022,4352,8697,0,0,0,0,0,0,0,52589,33882,44.50,282,5076,75302,110642,48.25,670,14196,71286,126224,1.00,281,44385,0,0,0,0,0
"GandalfElFuchsia",2.05,8.60,7.80,7.40,3,1,6,0,0,20,3, 4, 93, 16, 3, 17,1,4,48, 319666, 328827, 149186, 64.72, 149355,2328.4,7276,12699,3309,0,0,0,0,0,0,0,174042,169600,55.00,1143,58155,115784,110367,56.33,768,77001,29840,48860,0.00,113,14030,0,0,0,0,0
"IvanYeung0814",3.12,8.30,6.90,13.20,1,4,0,5,0,20,13, 10, 153, 7, 1, 19,0,6,61, 264785, 358607, 91125, 96.92, 144232,2313.8,1647,0,10260,11231,0,148343,122018,52.60,952,23811,0,0,0,0,0,6453,30440,42.00,132,9816,109989,206149,1.50,369,57498,0,0,0,0,0
"Worst SA Player ",2.08,5.00,7.20,10.00,2,0,1,2,5,60,8, 18, 128, 9, 0, 11,1,1,51, 184236, 233822, 35778, 40.50, 105697,1894.2,3754,1937,0,3187,10064,28000,22789,8.50,121,2007,9254,13123,26.00,96,542,52500,66926,57.50,357,13713,0,0,0,0,0,94482,130984,8.60,247,19516
"JMachicote",2.63,8.50,6.40,8.30,0,0,5,5,0,30,11, 10, 111, 11, 0, 12,1,1,47, 218383, 210310, 18535, 37.18, 131318,2034.1,0,9388,0,10953,0,148859,125579,50.00,1051,14302,69524,84731,37.40,648,4233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IAmTheNightOwl",3.27,7.40,6.70,14.50,0,2,6,0,2,80,11, 14, 114, 14, 1, 27,3,4,50, 216433, 314177, 69926, 108.65, 127814,2189.2,0,12728,4669,0,4495,0,0,0,0,0,140420,177951,41.50,738,33170,0,0,0,0,0,46511,71237,20.50,61,21438,29502,64989,14.50,122,15318
"Ashumawah",2.43,6.50,5.40,6.60,5,0,5,0,0,70,1, 16, 96, 17, 6, 21,0,4,37, 245083, 279898, 30263, 77.88, 127201,2049.2,10944,9548,0,0,0,0,0,0,0,0,121600,83808,42.60,709,10867,123483,196090,30.80,821,19396,0,0,0,0,0,0,0,0,0,0
"MICAHRIFIC",1.69,3.10,6.80,8.40,1,4,0,3,2,50,4, 10, 175, 8, 1, 23,3,3,36, 114799, 207193, 31776, 102.48, 101853,1881.9,1825,0,7651,5475,3868,29211,65708,24.33,243,9729,0,0,0,0,0,14310,19989,34.00,101,462,47490,86076,5.25,205,17817,23788,35420,7.50,68,3768
"elhombrellama",3.20,4.10,4.10,9.00,7,3,0,0,0,70,12, 9, 134, 9, 1, 18,5,6,41, 145233, 273093, 62267, 189.60, 109758,1916.9,12986,0,6183,0,0,0,0,0,0,0,0,0,0,0,0,98948,172941,42.29,934,41165,46285,100152,0.67,155,21102,0,0,0,0,0
