"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Halo043",2.67,4.1,6.9,14.3,0,0,0,0,10,60,1,15,110,5,0,22,3,6,52,153099,239041,25661,5218,110702,2257.9,0,0,0,0,22579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153099,239041,2.7,529,25661
"Chelliie",2.86,4.30,5.90,12.60,0,3,2,0,5,50,19, 24, 165, 3, 1, 15,1,3,46, 184789, 238823, 69836, 61.87, 116438,2141,0,4401,7476,0,9533,0,0,0,0,0,49547,29336,21.50,186,2130,0,0,0,0,0,78217,116282,1.00,186,28704,57025,93205,3.00,97,39002
"Secret Sweater",2.01,6.50,6.90,7.40,1,7,2,0,0,50,0, 14, 62, 7, 2, 18,0,2,39, 139469, 273350, 79214, 104.85, 110568,1868.7,1533,5070,12084,0,0,0,0,0,0,0,46267,57947,32.50,227,5784,12551,19946,39.00,87,13648,80651,195457,1.14,451,59782,0,0,0,0,0
"koreanproo",2.59,9.10,6.90,8.80,3,0,6,1,0,70,0, 0, 93, 10, 1, 21,1,3,48, 258526, 232040, 11343, 78.03, 127463,2111.5,5916,13414,0,1785,0,18880,20160,35.00,124,0,181762,135244,36.50,860,8249,57884,76636,28.33,369,3094,0,0,0,0,0,0,0,0,0,0
"98 joe",1.66,7.70,10.80,10.20,4,2,2,2,0,60,1, 7, 92, 11, 2, 30,3,5,36, 218202, 305920, 40873, 108.98, 141149,2478.2,11200,3912,4287,5383,0,38977,66802,12.00,244,5714,37938,38919,51.00,239,6013,99184,145571,45.75,562,22737,42103,54628,12.00,29,6409,0,0,0,0,0
"daxrebel182",2.54,2.60,7.90,17.50,0,0,0,0,10,70,11, 20, 275, 7, 1, 23,6,8,47, 120251, 321385, 44123, 92.77, 119759,2191.5,0,0,0,0,21915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120251,321385,8.70,488,44123
"Combat264",3.05,2.90,6.50,16.90,0,0,1,0,9,50,0, 6, 114, 9, 2, 30,5,3,53, 149159, 191136, 94376, 12.72, 113565,2186.4,0,2198,0,0,19666,0,0,0,0,0,8317,22781,43.00,126,1237,0,0,0,0,0,0,0,0,0,0,140842,168355,3.22,306,93139
"Zola x3",2.47,1.30,4.70,10.30,0,0,1,0,9,20,0, 6, 110, 5, 1, 12,1,1,47, 58827, 167861, 34539, 106.70, 84771,1890.6,0,2181,0,0,16725,0,0,0,0,0,10006,23949,24.00,148,2885,0,0,0,0,0,0,0,0,0,0,48821,143912,4.44,199,31654
"redfire200",3.96,4.60,4.60,13.60,0,2,1,5,2,70,1, 16, 155, 1, 1, 22,5,4,50, 164362, 218770, 90025, 66.33, 122066,2182.1,0,1526,4771,11618,3906,92921,109937,22.20,554,52874,9966,12966,61.00,137,1502,0,0,0,0,0,43588,65359,1.00,115,14618,17887,30508,14.50,118,21031
"SimplyOscar",3.57,8.10,3.70,5.10,0,0,2,8,0,40,0, 9, 51, 11, 2, 11,1,2,49, 147424, 137181, 21943, 16.63, 114352,1931.9,0,3280,0,16039,0,128761,114083,42.63,1262,18520,18663,23098,24.00,145,3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
