SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength,topPlayedLength,midPlayedLength,junglePlayedLength,adcPlayedLength,supportPlayedLength,D_ADC,DT_ADC,CS_zeroToTen_ADC,CS_ADC,H_ADC,D_MID,DT_MID,CS_zeroToTen_MID,CS_MID,H_MID,D_TOP,DT_TOP,CS_zeroToTen_TOP,CS_TOP,H_TOP,D_JG,DT_JG,CS_zeroToTen_JG,CS_JG,H_JG,D_SUP,DT_SUP,CS_zeroToTen_SUP,CS_SUP,H_SUP
GladeGleamBright,2.61,6.9,5.7,8,1,6,2,0,1,40,15,33,135,7,0,9,3,4,62,210874,292862,65337,6128,123839,1804.7,2649,3163,10160,0,2075,0,0,0,0,0,32652,36472,63.5,300,3019,36959,47636,72,283,4137,134154,189320,9.67,487,47378,7109,19434,4,16,10803
Kiyoon,1.7,4.5,6.1,5.9,2,6,2,0,0,10,30,44,143,3,0,7,2,2,56,134139,255887,46531,112.35,98801,1741.1,4186,2482,10743,0,0,0,0,0,0,0,16737,23017,53.5,212,1005,34849,59315,42,340,10301,82553,173555,6.17,461,35225,0,0,0,0,0
ChamGyoUuk,1.51,3.1,5.3,4.9,10,0,0,0,0,70,19,28,105,9,2,13,3,0,40,163992,202852,41103,48.55,95230,1465.1,14651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163992,202852,62.7,1479,41103,0,0,0,0,0,0,0,0,0,0
Slooshi8,2.75,6.3,4.4,5.8,0,0,6,4,0,50,12,21,79,15,1,14,6,5,55,221786,184425,29785,60.35,128155,1761.5,0,10901,0,6714,0,78558,74591,66.75,887,11705,143228,109834,77.33,1248,18080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linsanityy,2.47,4.1,3.6,4.8,0,2,8,0,0,30,21,23,132,3,0,8,2,2,54,129542,150658,23754,51.32,92870,1422.4,0,10615,3609,0,0,0,0,0,0,0,106669,91415,72.88,1321,8639,0,0,0,0,0,22873,59243,2.5,165,15115,0,0,0,0,0
KiWiKiD,3.17,1.2,4.8,14,1,1,0,0,8,50,38,60,218,7,1,10,0,3,62,76817,186887,54526,37.37,93865,1830.5,1625,0,1719,0,14961,0,0,0,0,0,0,0,0,0,0,9891,13508,72,216,981,13677,16184,2,63,4055,53249,157195,6,188,49490
lron Pyrite,2.27,3,5.5,9.5,0,0,1,1,8,40,24,94,285,3,1,15,2,6,56,172628,140363,12827,55.27,103071,1831.6,0,1717,0,1562,15037,9595,20526,23,57,3356,20950,10089,95,265,146,0,0,0,0,0,0,0,0,0,0,142083,109748,4.5,389,9325
SE MaGeRdAnGeR,5.54,5.5,2.6,8.9,0,9,0,1,0,60,31,70,134,8,4,16,5,6,65,152023,247528,77624,106.07,117810,1713.2,0,0,15410,1722,0,28640,17146,60,153,3091,0,0,0,0,0,0,0,0,0,0,123383,230382,7.67,810,74533,0,0,0,0,0
TangerineOrange,3.66,4.5,3.2,7.2,0,1,1,6,2,90,31,45,139,17,1,15,5,5,53,169450,146884,56743,54.97,114294,1584.1,0,2403,1352,9317,2769,109423,76687,81.83,1335,11804,43249,30869,80,296,7919,0,0,0,0,0,9662,19147,4,71,6850,7116,20181,2.5,28,30170
Ablazeolive,2.57,6.8,4.6,5,1,0,2,7,0,40,20,61,137,20,2,11,3,6,53,192406,186905,29487,76.87,134138,1841.7,1565,3317,0,13535,0,136211,136845,78.71,1773,21564,37374,40157,68.5,360,7464,18821,9903,76,190,459,0,0,0,0,0,0,0,0,0,0
Ness Wizard,4.57,7.1,2.8,5.7,7,3,0,0,0,60,20,92,149,13,3,12,9,7,46,177731,196708,37792,68.35,151335,1904.2,12727,0,6315,0,0,0,0,0,0,0,0,0,0,0,0,121979,122878,72.71,1746,11986,55752,73830,16,291,25806,0,0,0,0,0
Cris,2.93,4.7,4.4,8.2,5,1,4,0,0,60,19,30,130,15,1,12,4,4,54,211523,238019,35244,77.95,116506,1661.8,9194,6570,854,0,0,0,0,0,0,0,77973,82005,69,807,10026,128090,146514,67,1035,24958,5460,9500,51,5,260,0,0,0,0,0
PandaTV Xiaoxin,2.54,5.7,5,7,3,1,5,1,0,50,17,28,122,6,0,20,1,3,45,181356,227015,45357,56.03,117219,1725.2,5015,9023,1779,1435,0,11131,15264,64,171,2116,107784,100330,74.6,1015,11308,40287,81380,74,632,20314,22154,30041,4,79,11619,0,0,0,0,0
Duocek,2.44,4.4,5.5,9,1,0,9,0,0,60,36,58,192,9,4,13,2,7,55,224425,257403,42703,64.22,138303,2140.6,1518,19888,0,0,0,0,0,0,0,0,215459,243759,72.56,2261,41798,8966,13644,89,157,905,0,0,0,0,0,0,0,0,0,0
CJE Kramer,4.03,6.2,3.4,7.5,0,3,0,7,0,70,9,35,87,18,2,12,4,5,61,182910,176665,39585,86.75,125657,1687.8,0,0,4439,12439,0,148859,122921,71.14,1593,22008,0,0,0,0,0,0,0,0,0,0,34051,53744,8.33,228,17577,0,0,0,0,0
Poppers OP,2.85,7.2,5.2,7.6,1,0,9,0,0,50,17,34,134,4,3,20,7,9,52,307191,218836,36181,79.68,140760,2030.9,1667,18642,0,0,0,0,0,0,0,0,292598,189287,73.11,2070,33533,14593,29549,67,173,2648,0,0,0,0,0,0,0,0,0,0
Arcsecond,1.88,5.3,5.7,5.4,0,2,8,0,0,40,10,55,95,14,2,12,2,4,47,203954,223029,37029,78.98,126950,1893.2,0,14632,4300,0,0,0,0,0,0,0,156682,147285,80.75,1831,13875,0,0,0,0,0,47272,75744,7,179,23154,0,0,0,0,0
Beasted,3,7.1,4.5,6.4,3,5,1,1,0,60,8,44,76,16,2,17,1,7,58,192911,252184,70461,67.78,129118,1770.4,4979,1897,9085,1743,0,18631,29694,67,208,3399,26595,25559,66,244,7295,39804,55808,60.67,605,6259,107881,141123,6.2,448,53508,0,0,0,0,0
Contractz,3.72,5.9,3.9,8.6,1,7,0,0,2,60,31,39,145,5,0,5,4,3,62,169038,268377,86850,161.63,114864,1719.8,2011,0,12020,0,3167,0,0,0,0,0,0,0,0,0,0,22901,28924,64,272,3646,126347,207514,7.14,622,76873,19790,31939,3.5,53,6331
OG DoubleG,3.84,3.3,3.8,11.3,1,1,0,4,4,70,25,51,162,9,2,14,0,4,61,124785,159273,33433,55.63,113476,1783.8,2490,0,764,6977,7607,73920,54400,86.75,989,8038,0,0,0,0,0,20945,25933,72,240,4249,2497,6100,6,35,1664,27423,72840,2.5,71,19482
Solarshower,3.62,1.9,3.4,10.4,0,0,0,1,9,40,24,83,253,4,0,14,4,4,61,61020,186422,42778,19.55,81197,1751.5,0,0,0,804,16711,1085,3716,8,9,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59935,182706,13.11,390,42238
Celend,3.78,4.6,4.1,10.9,0,5,5,0,0,70,33,48,137,4,1,11,1,5,59,179695,212615,45157,56.63,116344,1786.5,0,8909,8956,0,0,0,0,0,0,0,103851,79576,70.8,969,5573,0,0,0,0,0,75844,133039,3.4,337,39584,0,0,0,0,0
Sudzzi,2.08,4.7,5.3,6.3,5,0,5,0,0,30,3,17,111,5,0,11,2,6,50,199111,246461,50374,73.42,122100,1887.1,10761,8110,0,0,0,0,0,0,0,0,86180,85359,73.2,1055,4509,112931,161102,63.2,1271,45865,0,0,0,0,0,0,0,0,0,0
keanefo,2.76,5.8,3.8,4.7,4,2,4,0,0,80,15,21,95,27,1,10,9,6,47,165103,175491,38599,71.23,115250,1487.9,5849,5576,3454,0,0,0,0,0,0,0,75893,55424,72,690,11097,62133,63412,80,764,17581,27077,56655,6.5,132,9921,0,0,0,0,0
Nightblue3,3.43,6.7,4.6,9.1,0,9,0,0,1,80,31,69,205,6,2,15,4,6,59,172491,227325,70566,160.53,123127,1740,0,0,15577,0,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162987,201290,7.56,726,64142,9504,26035,10,52,6424
Nexevis,1.81,4.3,6.2,6.9,1,5,4,0,0,30,32,38,144,3,0,12,2,6,47,169204,278694,58461,112,114194,1942.6,1913,8398,9115,0,0,0,0,0,0,0,86847,97166,67.25,704,9929,12093,32000,57,160,1863,70264,149528,3.2,400,46669,0,0,0,0,0
TwitchTV LOLFILL,2.33,4.1,5.5,8.7,0,0,5,1,4,40,27,63,179,7,0,11,5,5,58,153297,193274,40332,51.25,112772,1873,0,9021,0,2206,7503,34969,30159,62,244,5214,99450,83729,68.8,943,7331,0,0,0,0,0,0,0,0,0,0,18878,79386,6.5,97,27787
Grigne,3.38,5.1,5,11.8,1,6,0,0,3,50,20,36,186,4,2,8,1,6,66,148381,316880,86308,104.5,110829,1766.8,2235,0,9642,0,5791,0,0,0,0,0,0,0,0,0,0,20108,41437,53,182,11528,98678,178331,4.67,500,55614,29595,97112,11.33,113,19166
Allorim,4.42,4.1,3.8,12.7,8,0,2,0,0,70,10,49,127,7,0,10,4,7,59,176229,253240,52664,196.07,123821,1911.2,14416,4696,0,0,0,0,0,0,0,0,32502,51245,75,498,4571,143727,201995,76,1588,48093,0,0,0,0,0,0,0,0,0,0
Qq1035716423me,5.94,1.4,1.6,8.1,0,0,0,3,7,70,27,46,156,9,1,9,6,0,53,45790,80208,19042,14.07,69510,1277.8,0,0,0,3509,9269,20313,30932,33.67,292,5067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25477,49276,2.43,121,13975
