"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"TERA SUP",4.03,4.4,3.5,9.7,5,0,0,2,3,60,20,27,192,9,0,15,1,4,57,155965,265512,69801,5571,112122,1805.9,9761,0,0,2950,5348,32268,21015,74,407,6298,0,0,0,0,0,101084,178359,62.2,1054,56055,0,0,0,0,0,22613,66138,9.67,124,7448
"Silidos",2.69,5.50,4.20,5.80,0,0,1,9,0,60,0, 27, 77, 12, 3, 13,2,4,51, 193568, 180214, 24668, 24.40, 124028,1771,0,1226,0,16484,0,185294,171976,63.44,1786,23277,8274,8238,62.00,125,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEVlN DURANT",1.91,4.50,4.40,3.90,3,0,1,6,0,30,7, 13, 93, 6, 0, 9,2,3,51, 134183, 169418, 36142, 40.52, 99946,1545.6,4701,1517,0,9238,0,86879,92443,67.00,1136,23405,9204,12977,62.00,159,452,38100,63998,56.67,456,12285,0,0,0,0,0,0,0,0,0,0
"Zomp",4.03,6.00,3.90,9.70,1,0,0,9,0,80,12, 37, 116, 28, 7, 22,5,6,59, 236290, 211371, 39660, 70.20, 135693,1853.2,1757,0,0,16775,0,219937,179918,66.33,1949,32365,0,0,0,0,0,16353,31453,49.00,148,7295,0,0,0,0,0,0,0,0,0,0
"US Economy",4.32,3.80,4.10,13.90,3,0,0,0,7,80,43, 90, 239, 6, 0, 15,5,3,59, 129093, 187540, 57912, 37.95, 101490,1752.2,4022,0,0,0,13500,0,0,0,0,0,0,0,0,0,0,45170,45056,63.67,357,5676,0,0,0,0,0,83923,142484,5.29,199,52236
"Chinese Jester",2.52,8.90,6.70,8.00,1,8,1,0,0,50,18, 45, 60, 4, 1, 15,1,4,56, 210605, 201828, 27218, 103.58, 124927,2005.2,1365,3102,15585,0,0,0,0,0,0,0,40803,31445,40.00,204,5930,14404,13129,13.00,39,1682,155398,157254,4.50,492,19606,0,0,0,0,0
"Suzikai",1.81,1.30,5.80,9.20,1,1,0,0,8,30,56, 90, 329, 3, 0, 8,9,3,54, 77713, 219560, 75430, 38.32, 89485,1930.5,1918,0,1610,0,15777,0,0,0,0,0,0,0,0,0,0,18355,35221,69.00,217,7783,6247,24327,9.00,0,4133,53111,160012,5.13,230,63514
"peterlelol",3.26,3.10,3.10,7.00,2,5,1,0,2,40,16, 34, 124, 6, 1, 9,1,3,51, 100123, 219334, 67461, 107.00, 93640,1562,2642,1366,8047,0,3565,0,0,0,0,0,7550,9624,69.00,141,548,15085,33345,62.50,302,1863,61559,130385,8.20,416,55176,15929,45980,14.00,93,9874
"Synotic",2.28,0.60,5.30,11.50,0,0,0,0,10,40,22, 70, 276, 5, 0, 14,6,6,63, 63982, 211949, 25576, 54.07, 85463,1854.2,0,0,0,0,18542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63982,211949,6.90,292,25576
"Knubzyy",2.88,4.30,4.10,7.50,0,0,5,5,0,60,7, 27, 108, 10, 1, 19,2,4,50, 209896, 160118, 27649, 54.43, 114219,1777.5,0,8348,0,9427,0,119516,92287,60.80,932,15072,90380,67831,69.40,930,12577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
