"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Dylan Q Ta",1.8,3.2,4.9,5.6,4,4,1,0,1,30,16,30,133,2,0,14,2,4,54,109405,271893,82545,3905,96935,1693.8,6750,1746,7357,0,1085,0,0,0,0,0,12734,31583,0,20,14431,45637,86049,50,613,10665,49637,143628,0.75,357,55773,1397,10633,8,14,1676
"Sefciuc",2.42,1.40,5.00,10.70,0,0,0,1,9,40,38, 79, 191, 1, 0, 18,8,6,50, 60539, 198567, 24724, 19.43, 89283,1801.7,0,0,0,898,17119,3194,6622,13.00,30,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57345,191945,8.44,325,23687
"Thormeyer",4.16,6.60,3.20,6.70,0,0,2,8,0,70,6, 35, 92, 23, 2, 13,5,5,56, 173321, 138933, 23368, 26.13, 117969,1603.4,0,3732,0,12302,0,133530,102354,70.75,1454,17155,39791,36579,66.50,401,6213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiseki No Sedai",4.57,6.70,3.70,10.20,3,1,5,1,0,30,15, 28, 154, 10, 3, 14,2,7,58, 212534, 254703, 60819, 98.10, 136267,1978.7,7329,8343,1996,2119,0,29215,18779,66.00,228,3058,71523,75169,70.40,940,6695,97750,131500,62.00,692,40327,14046,29255,2.00,107,10739,0,0,0,0,0
"Girl ADC xD",1.82,5.30,6.00,5.60,0,0,1,9,0,30,12, 22, 121, 23, 1, 15,5,1,51, 208902, 199272, 30672, 41.15, 128468,1880.1,0,1844,0,16957,0,186890,174949,73.44,2029,25716,22012,24323,92.00,271,4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bipolar Shaco",1.89,5.50,5.50,4.90,0,10,0,0,0,50,12, 25, 64, 7, 1, 13,1,3,50, 143708, 196945, 36395, 115.02, 97476,1615.1,0,0,16151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143708,196945,4.90,485,36395,0,0,0,0,0
"dueygolf",3.95,4.70,3.90,10.70,1,5,0,4,0,60,18, 62, 124, 13, 6, 24,5,6,57, 232277, 275380, 76581, 86.95, 131537,2084.3,2235,0,10957,7651,0,107711,76662,64.25,929,12792,0,0,0,0,0,28238,39084,60.00,210,14759,96328,159634,2.60,425,49030,0,0,0,0,0
"Slarky",1.91,4.00,5.70,6.90,1,8,1,0,0,30,9, 45, 144, 4, 0, 10,2,4,54, 182778, 319115, 68256, 113.08, 114355,1878.1,1495,1909,15377,0,0,0,0,0,0,0,13564,30920,43.00,185,12053,12072,19531,69.00,166,1235,157142,268664,5.50,499,54968,0,0,0,0,0
"FirstChoice",2.65,5.90,4.60,6.30,5,0,4,1,0,50,3, 25, 106, 12, 1, 14,4,3,53, 209160, 164784, 19511, 74.25, 116802,1705.3,8934,6898,0,1221,0,9402,10895,68.00,126,798,81268,66069,67.00,792,8332,118490,87820,60.40,941,10381,0,0,0,0,0,0,0,0,0,0
"ADC LF LCS TEAM",2.57,6.00,4.40,5.30,0,0,0,10,0,50,13, 31, 109, 24, 1, 15,6,3,48, 171241, 166532, 34209, 67.68, 115120,1741.8,0,0,0,17418,0,171241,166532,63.40,1779,34209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
