"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Lord Zaint",3.79,7.7,4.8,10.5,0,0,2,8,0,70,15,40,114,20,4,20,4,8,59,323612,232261,60904,10292,150332,2191.4,0,6059,0,15855,0,222292,130304,60.13,1645,25757,101320,101957,61,615,35147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hiep The God",2.83,9.50,5.30,5.50,8,2,0,0,0,70,16, 24, 90, 8, 3, 17,4,4,54, 195247, 269936, 70828, 58.65, 123411,1702.4,13033,0,3991,0,0,0,0,0,0,0,0,0,0,0,0,144496,206875,62.38,1302,47356,50751,63061,2.50,181,23472,0,0,0,0,0
"ArchonRevenant",2.15,5.20,5.30,6.20,1,0,4,5,0,50,8, 22, 88, 17, 1, 18,4,3,50, 181196, 182738, 46887, 121.12, 105228,1706.7,1569,6684,0,8814,0,92352,72945,52.00,830,12418,74423,90536,49.50,505,29644,14421,19257,45.00,103,4825,0,0,0,0,0,0,0,0,0,0
"fealx",2.73,6.20,5.60,9.10,0,3,2,5,0,70,10, 56, 145, 17, 1, 23,4,5,54, 230656, 252597, 41338, 100.45, 134781,2099.9,0,5776,5210,10013,0,111133,97217,70.00,1110,11412,87758,86914,74.00,535,15960,0,0,0,0,0,31765,68466,3.67,170,13966,0,0,0,0,0
"Schleep",3.80,4.90,4.10,10.70,8,1,0,1,0,70,9, 37, 130, 20, 1, 22,2,6,55, 184459, 291679, 85588, 137.47, 129760,1998,16164,0,1867,1949,0,13259,15763,71.00,178,4042,0,0,0,0,0,156604,248485,63.63,1641,66289,14596,27431,1.00,72,15257,0,0,0,0,0
"This is Why",2.31,4.30,4.90,7.00,0,2,2,3,3,20,18, 27, 159, 6, 1, 14,7,2,53, 129336, 196518, 43777, 109.13, 96551,1811.9,0,4270,3195,4736,5918,43478,42742,29.33,256,4303,47071,44934,48.00,375,11388,0,0,0,0,0,21651,44300,1.00,108,10636,17136,64542,13.67,147,17450
"the boy never wo",3.19,8.50,6.20,11.30,0,0,4,6,0,50,4, 33, 132, 12, 3, 20,5,7,55, 316553, 230117, 41513, 129.22, 147597,2311.4,0,9349,0,13765,0,198328,114737,57.67,1205,21104,118225,115380,56.50,694,20409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adouphoof",2.70,10.40,6.90,8.20,0,4,0,6,0,60,15, 35, 74, 19, 4, 14,4,3,58, 261420, 278633, 74907, 80.52, 141828,1863.3,0,0,7973,10660,0,176895,134767,71.50,1128,16076,0,0,0,0,0,0,0,0,0,0,84525,143866,7.75,362,58831,0,0,0,0,0
"Kim Jong Kanye",2.56,6.30,5.40,7.50,6,0,4,0,0,50,15, 7, 114, 12, 1, 17,2,3,56, 211525, 255958, 51420, 55.17, 128429,1891.2,11685,7227,0,0,0,0,0,0,0,0,91875,99150,64.00,767,20828,119650,156808,60.67,1239,30592,0,0,0,0,0,0,0,0,0,0
"Kidd Klash",2.31,5.60,6.10,8.50,0,4,0,6,0,30,10, 29, 104, 9, 3, 15,4,4,52, 198794, 222284, 44427, 53.82, 118742,1969,0,0,6884,12806,0,135579,115298,57.83,1069,19490,0,0,0,0,0,0,0,0,0,0,63215,106986,1.75,275,24937,0,0,0,0,0
"KING SMALLEY",2.70,8.00,5.60,7.10,3,6,0,1,0,40,0, 20, 61, 10, 2, 16,2,3,60, 228217, 236705, 52761, 89.55, 128176,1919.9,7086,0,10343,1770,0,17980,22408,54.00,122,2825,0,0,0,0,0,120608,100120,63.33,876,20639,89629,114177,5.50,405,29297,0,0,0,0,0
"Dmagex",2.98,7.20,4.40,5.90,4,0,1,5,0,50,0, 23, 74, 15, 1, 9,0,5,57, 183611, 173174, 26214, 44.82, 114164,1714.8,4963,2438,0,9747,0,127426,77927,65.20,1000,14851,23624,26539,37.00,160,2838,32561,68708,56.00,489,8525,0,0,0,0,0,0,0,0,0,0
"I AM PJ SALT",2.11,3.40,4.60,6.30,0,5,3,0,2,30,6, 16, 80, 4, 2, 10,2,2,58, 110133, 194222, 38609, 80.33, 90494,1657.1,0,5055,7820,0,3696,0,0,0,0,0,44333,53718,41.00,357,5128,0,0,0,0,0,42667,111335,1.60,331,23421,23133,29169,1.50,33,10060
"InTheFall",1.84,4.90,5.70,5.60,0,1,6,3,0,40,1, 47, 143, 6, 3, 23,2,6,45, 211980, 214487, 25681, 74.52, 124495,2076.6,0,11769,2850,6147,0,69641,55993,58.33,603,7902,117870,110239,56.67,993,8714,0,0,0,0,0,24469,48255,0.00,123,9065,0,0,0,0,0
"ChallengerBronze",2.15,3.10,3.40,4.20,6,1,2,1,0,30,0, 13, 83, 12, 1, 9,3,2,34, 149444, 168263, 40027, 25.27, 95865,1701.4,11499,2189,1428,1898,0,11601,10007,55.00,178,1601,8735,14962,36.50,153,1962,116849,122945,60.67,1134,33139,12259,20349,6.00,36,3325,0,0,0,0,0
"SkeeterLord",2.86,12.90,8.00,10.00,0,0,1,9,0,50,0, 30, 64, 20, 4, 18,2,5,62, 356216, 261064, 48718, 35.78, 162909,2213.2,0,2296,0,19836,0,330397,240267,65.00,1990,46375,25819,20797,59.00,151,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ObeseKittenX",2.03,8.10,6.80,5.70,1,1,8,0,0,30,7, 44, 115, 5, 1, 14,1,5,49, 210200, 229019, 21040, 58.63, 124212,1900.8,1759,15246,2003,0,0,0,0,0,0,0,179136,178831,56.75,1422,15788,15062,23575,61.00,167,1292,16002,26613,0.00,100,3960,0,0,0,0,0
"Iskurr2qt4me",2.61,8.00,5.60,6.60,1,9,0,0,0,60,17, 36, 148, 13, 3, 17,5,7,56, 192991, 283290, 69086, 110.85, 141378,1902.7,2015,0,17012,0,0,0,0,0,0,0,0,0,0,0,0,18271,25276,56.00,221,2957,174720,258014,5.33,799,66129,0,0,0,0,0
"SquidsDayOff",2.73,1.60,5.10,12.30,0,0,0,3,7,30,24, 41, 216, 2, 0, 11,0,3,58, 98975, 216440, 84078, 34.67, 97997,1944.8,0,0,0,4033,15415,31472,24519,69.00,440,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67503,191921,6.71,254,81255
"rafflesz",3.14,7.30,5.00,8.40,2,0,5,3,0,70,13, 27, 104, 15, 2, 13,6,4,53, 223161, 192739, 47358, 113.70, 132690,1867.8,2945,9809,0,5924,0,63849,54082,59.33,643,10195,137003,113246,63.40,1083,29550,22309,25411,65.00,353,7613,0,0,0,0,0,0,0,0,0,0
