"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"xXSmallPenisXx",1.8,4.1,6.1,6.9,2,5,1,2,0,20,3,23,132,6,2,11,3,2,45,135632,224644,39242,4311,100159,1764.4,4073,1770,8829,2972,0,25837,26198,64.5,314,3085,17191,9794,68,150,2153,38541,51903,61,327,4930,54063,136749,3.2,320,29074,0,0,0,0,0
"OpDTichi",1.88,7.60,8.10,7.60,0,0,0,6,4,20,9, 14, 108, 7, 0, 12,2,3,53, 214931, 197003, 25810, 35.18, 122717,1951.3,0,0,0,11280,8233,128472,113907,62.17,1077,14340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86459,83096,6.25,221,11470
"Dis Lemon",1.42,4.40,6.60,5.00,4,4,0,0,2,10,3, 21, 156, 5, 2, 8,1,1,47, 168115, 337236, 77385, 99.25, 110057,1989,8374,0,8813,0,2703,0,0,0,0,0,0,0,0,0,0,93833,151598,60.25,888,43871,67866,157071,2.50,286,27992,6416,28567,9.00,59,5522
"Hostage Sausage",1.82,5.60,6.60,6.40,3,7,0,0,0,40,0, 16, 110, 3, 1, 11,3,4,56, 171881, 353451, 81531, 121.37, 122733,2006.2,6981,0,13081,0,0,0,0,0,0,0,0,0,0,0,0,75547,119616,65.00,808,31165,96334,233835,1.29,577,50366,0,0,0,0,0
"Dark Wristband",3.19,4.00,5.70,14.20,1,1,0,0,8,70,33, 72, 289, 6, 1, 20,3,5,56, 139994, 234892, 45140, 49.43, 129136,2397.4,2885,0,2944,0,18145,0,0,0,0,0,0,0,0,0,0,31897,39181,78.00,283,4535,26218,26227,60.00,18,7903,81879,169484,2.75,187,32702
"Your True Love",1.90,6.10,8.20,9.50,3,1,6,0,0,40,3, 32, 110, 14, 1, 17,3,5,51, 203457, 302307, 57315, 85.98, 132266,2166.3,6000,12425,3238,0,0,0,0,0,0,0,110525,163305,52.83,1038,9650,58636,73307,49.67,504,18512,34296,65695,2.00,111,29153,0,0,0,0,0
"Shalltear",2.93,6.20,5.40,9.60,2,0,3,5,0,60,8, 20, 136, 12, 3, 23,1,4,49, 236565, 207830, 37564, 82.00, 130138,2048.3,4245,5349,0,10889,0,114949,100491,65.40,1147,20192,63922,52786,52.67,450,9840,57694,54553,51.00,320,7532,0,0,0,0,0,0,0,0,0,0
"Good DirecTor",3.11,9.70,5.30,6.80,1,5,3,1,0,40,10, 13, 117, 8, 2, 16,9,3,64, 235866, 265400, 93352, 113.25, 141864,1888.3,2157,6300,8648,1778,0,19691,12794,63.00,178,2177,66761,75218,73.00,779,14790,21547,38442,72.00,250,8563,127867,138946,8.40,436,67822,0,0,0,0,0
"SteinsGatelol",3.20,8.30,5.10,8.00,1,0,0,8,1,80,1, 16, 98, 12, 3, 15,2,5,60, 205413, 169486, 26479, 34.95, 116535,1630.8,1548,0,0,13506,1254,189133,133050,62.62,1309,22602,0,0,0,0,0,12806,20431,67.00,156,3319,0,0,0,0,0,3474,16005,10.00,15,558
"xIMUDIx",2.95,5.30,6.00,12.40,4,2,0,4,0,60,2, 26, 117, 10, 2, 13,3,6,54, 195177, 321269, 111516, 272.18, 126851,2022,9485,0,3550,7185,0,55746,79401,43.25,532,24480,0,0,0,0,0,118048,185928,49.50,803,76730,21383,55940,2.00,117,10306,0,0,0,0,0
"Risdom",2.12,9.60,7.30,5.90,0,4,3,3,0,20,12, 30, 130, 5, 1, 15,2,6,49, 267098, 305940, 55933, 102.57, 140738,2263.3,0,6960,9143,6530,0,99391,98549,63.33,710,13623,70606,55723,54.67,497,4619,0,0,0,0,0,97101,151668,5.75,292,37691,0,0,0,0,0
"Lone Assassin",2.57,6.60,7.60,12.90,1,0,0,3,6,80,3, 28, 136, 11, 2, 18,3,5,51, 217110, 222653, 42052, 46.45, 122706,1889.8,2032,0,0,6453,10413,92253,75634,67.33,529,7816,0,0,0,0,0,19816,35916,40.00,87,4120,0,0,0,0,0,105041,111103,3.83,146,30116
"phillip ondeez",2.13,4.90,6.10,8.10,0,4,0,6,0,50,17, 34, 86, 12, 0, 16,4,2,53, 173391, 226348, 56586, 50.72, 112983,1839.6,0,0,7715,10681,0,124708,110907,69.17,1047,18747,0,0,0,0,0,0,0,0,0,0,48683,115441,2.75,316,37839,0,0,0,0,0
"ProxyID",1.38,2.70,3.90,2.70,0,3,2,0,0,20,12, 19, 73, 2, 0, 7,1,1,47, 81343, 112874, 14208, 33.52, 56503,1981.4,0,3861,6046,0,0,0,0,0,0,0,44149,38063,58.00,318,2454,0,0,0,0,0,37194,74811,1.67,219,11754,0,0,0,0,0
"unperfected32",2.05,5.20,6.00,7.10,5,5,0,0,0,50,12, 8, 117, 12, 3, 13,2,3,45, 144500, 328327, 64087, 111.73, 110669,1729.3,8368,0,8925,0,0,0,0,0,0,0,0,0,0,0,0,77200,153372,60.20,862,18201,67300,174955,5.60,300,45886,0,0,0,0,0
"Jz52019",3.90,4.00,3.00,7.70,0,3,7,0,0,100,14, 19, 140, 13, 4, 16,5,9,51, 132172, 208085, 61997, 66.10, 108986,1619.3,0,10503,5690,0,0,0,0,0,0,0,110429,118065,74.00,1133,44599,0,0,0,0,0,21743,90020,4.67,225,17398,0,0,0,0,0
"FunnyMemesTBHFam",3.10,5.50,4.10,7.20,7,1,2,0,0,30,1, 19, 91, 12, 1, 16,4,4,50, 231548, 306954, 84993, 127.27, 118197,2001.5,13911,4824,1280,0,0,0,0,0,0,0,62191,59652,64.50,418,15103,168539,246016,53.14,1298,69712,818,1286,19.00,0,178,0,0,0,0,0
"Twist of Fate",2.25,5.10,5.50,7.30,0,0,7,3,0,30,14, 18, 105, 6, 0, 9,2,1,55, 254064, 176405, 18470, 43.97, 121539,1900.5,0,12955,0,6050,0,72822,63427,66.00,642,8616,181242,112978,68.86,1350,9854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
