"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Reckoning Night",2.33,8,8.5,11.8,0,4,4,1,1,50,5,18,142,9,3,14,0,2,55,267176,270576,34716,7302,133324,2165.5,0,8382,8901,2202,2170,21546,23907,56,216,3532,117992,78569,52.5,666,5411,0,0,0,0,0,119656,142285,5.25,209,22583,7982,25815,19,63,3190
"KismyS",2.74,2.50,6.10,14.20,0,0,0,0,10,50,43, 46, 229, 3, 1, 16,1,2,55, 157248, 213748, 67156, 46.62, 105723,1943.2,0,0,0,0,19432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157248,213748,7.30,538,67156
"iamjordaddy",4.66,8.00,4.40,12.50,0,1,2,7,0,60,5, 14, 102, 16, 4, 18,3,5,60, 297147, 216000, 36717, 66.45, 146491,2201.3,0,4549,2026,15438,0,212038,111021,69.86,1516,25717,67782,75940,48.50,366,2094,0,0,0,0,0,17327,29039,4.00,85,8906,0,0,0,0,0
"ToqsiK",2.69,5.00,4.20,6.30,6,0,0,4,0,50,15, 16, 116, 8, 3, 13,1,3,46, 160142, 156060, 20570, 156.45, 107793,1791.4,10652,0,0,7262,0,71405,62337,60.00,700,11433,0,0,0,0,0,88737,93723,56.67,946,9137,0,0,0,0,0,0,0,0,0,0
"LoLoYo",2.30,6.10,5.60,6.80,0,1,2,5,2,40,2, 17, 140, 6, 0, 12,0,5,52, 167422, 206513, 35951, 23.00, 117217,1930.9,0,2853,2871,9522,4063,82007,100545,47.80,824,7198,29855,23614,53.50,217,431,0,0,0,0,0,23869,40474,8.00,119,14424,31691,41880,7.50,82,13898
"frolicky72",3.43,9.80,4.90,7.00,2,6,0,2,0,50,0, 63, 120, 9, 2, 15,4,7,55, 280478, 276633, 122204, 68.12, 132631,1957.3,4704,0,11528,3341,0,19464,41343,49.50,309,5027,0,0,0,0,0,94528,79713,66.50,380,39983,166486,155577,12.50,411,77194,0,0,0,0,0
"hystrinn",2.06,2.00,5.00,8.30,0,0,1,5,4,40,17, 40, 162, 7, 1, 11,3,0,46, 97577, 165197, 26585, 69.35, 98905,1942.1,0,1771,0,9306,8344,63754,83498,61.20,819,12176,12224,15053,43.00,147,2614,0,0,0,0,0,0,0,0,0,0,21599,66646,6.50,152,11795
"SurvivorD",2.20,1.50,6.60,13.00,0,1,0,0,9,40,5, 57, 236, 0, 0, 16,4,4,58, 77812, 259997, 38966, 64.37, 96790,2015.6,0,0,1670,0,18486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8546,26646,2.00,49,6740,69266,233351,10.11,363,32226
"PuffyRice",3.15,2.10,6.00,16.80,0,0,0,0,10,20,0, 21, 232, 2, 0, 16,1,1,65, 108131, 330139, 34138, 122.00, 110516,2370.8,0,0,0,0,23708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108131,330139,11.50,385,34138
"Drunk Tank",3.21,6.60,3.80,5.60,0,0,10,0,0,30,2, 18, 165, 5, 1, 9,2,3,60, 219272, 194575, 31886, 37.60, 119654,1823.2,0,18232,0,0,0,0,0,0,0,0,219272,194575,70.10,2134,31886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1 ZC",1.84,4.40,5.80,6.30,0,7,2,1,0,30,0, 28, 109, 6, 0, 13,3,2,49, 119687, 215978, 52042, 55.28, 95916,1762.2,0,4318,12043,1261,0,7629,7891,55.00,103,1046,39067,29811,50.00,254,4675,0,0,0,0,0,72991,178276,2.57,433,46321,0,0,0,0,0
"DASH ABSOLUCASLY",1.42,2.70,6.60,6.70,0,6,0,3,1,20,7, 12, 102, 0, 0, 14,0,1,42, 83157, 188355, 44065, 41.40, 92311,1814.8,0,0,10121,6547,1480,42234,57345,46.00,541,7622,0,0,0,0,0,0,0,0,0,0,38997,124388,1.33,327,24421,1926,6622,3.00,5,12022
"CaraMojada",3.84,5.00,3.20,7.30,4,0,6,0,0,50,31, 21, 134, 8, 3, 15,2,3,51, 132751, 165017, 36274, 98.58, 99512,1598.8,6232,9756,0,0,0,0,0,0,0,0,83302,85996,56.67,901,15328,49449,79021,56.00,571,20946,0,0,0,0,0,0,0,0,0,0
"Akú",4.92,6.80,2.50,5.50,0,0,1,9,0,70,4, 24, 102, 27, 1, 15,2,1,51, 182353, 158604, 30991, 39.40, 131172,1706.4,0,1289,0,15775,0,172660,150333,68.22,2129,29098,9693,8271,65.00,138,1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mister Pugglez",2.02,6.30,6.40,6.60,3,0,3,4,0,40,1, 16, 44, 15, 0, 18,2,5,45, 206449, 232693, 34421, 40.72, 136258,2192.1,5440,7806,0,8675,0,98463,92868,57.00,775,12849,61978,73191,38.00,592,7242,46008,66634,56.33,534,14330,0,0,0,0,0,0,0,0,0,0
"Cotton Kandee",2.19,2.80,4.20,6.40,7,0,2,0,1,40,7, 77, 91, 4, 1, 16,4,2,40, 115727, 172209, 20357, 28.32, 96485,1853.1,13091,3796,0,0,1644,0,0,0,0,0,21865,25753,50.00,299,6421,89192,127089,42.43,852,12978,0,0,0,0,0,4670,19367,8.00,27,958
"Samster25",3.04,2.70,5.40,13.70,0,0,0,0,10,80,4, 32, 211, 5, 1, 21,1,6,56, 193160, 229039, 39087, 34.50, 109503,2054.8,0,0,0,0,20548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193160,229039,8.50,405,39087
"Annie Hathaway",2.86,3.70,5.10,10.90,1,5,0,0,4,50,2, 28, 47, 5, 1, 16,2,5,56, 98251, 254900, 62779, 77.30, 112661,1951.1,2073,0,9897,0,7541,0,0,0,0,0,0,0,0,0,0,7531,29466,38.00,181,980,65692,131622,5.20,417,33991,25028,93812,12.75,253,27808
"Likasumboooty",3.11,6.30,4.70,8.30,0,2,0,6,2,60,2, 22, 86, 12, 3, 12,2,4,51, 181121, 181462, 34357, 46.28, 117570,1809.8,0,0,3832,11059,3207,128914,102443,61.00,1141,14635,0,0,0,0,0,0,0,0,0,0,41360,50083,0.50,145,15006,10847,28936,6.50,41,4716
"lego my ekk0",1.85,5.50,7.10,7.60,2,0,5,2,1,60,0, 9, 82, 12, 2, 17,3,3,46, 196829, 225894, 20940, 46.05, 107887,1842.4,4699,7761,0,3995,1969,37312,39206,54.50,393,3599,90812,80592,45.60,578,5767,59943,80966,36.50,277,6672,0,0,0,0,0,8762,25130,5.00,21,4902
"Evbot",1.85,5.50,8.10,9.50,2,3,1,0,4,30,2, 19, 110, 4, 0, 10,2,2,54, 158123, 221232, 37838, 48.32, 110453,1879.6,2991,2689,5523,0,7593,0,0,0,0,0,32066,24268,48.00,251,2003,35589,35826,47.00,235,2434,45260,76583,2.00,214,20512,45208,84555,2.50,87,12889
