"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Inoperable Heart",2.23,6.6,6.2,7.2,2,8,0,0,0,40,23,39,90,10,2,15,1,5,53,180443,357092,100034,4436,122343,1877,4093,0,14677,0,0,0,0,0,0,0,0,0,0,0,0,49777,92197,54,360,27143,130666,264895,8.38,659,72891,0,0,0,0,0
"SIothstronaut",1.44,4.50,5.70,3.70,0,3,6,1,0,10,10, 38, 139, 1, 0, 7,1,0,49, 125427, 187149, 28403, 65.57, 92736,1730.2,0,9570,6220,1512,0,13649,12523,50.00,141,1885,76970,95898,46.00,657,9923,0,0,0,0,0,34808,78728,1.00,237,16595,0,0,0,0,0
"League of Shadow",3.05,2.50,4.10,10.00,1,2,1,0,6,50,25, 82, 202, 5, 1, 15,5,5,53, 93352, 209930, 57664, 53.45, 102148,1861.7,1868,1505,4103,0,11141,0,0,0,0,0,18388,13676,60.00,129,860,16945,22651,67.00,275,8556,17626,52766,6.00,177,19094,40393,120837,5.17,211,29154
"xPLzzZx",3.93,8.00,4.40,9.30,0,4,0,6,0,50,11, 34, 119, 17, 3, 14,3,4,64, 234468, 245432, 65959, 80.20, 130732,2061.5,0,0,9430,11185,0,148139,89579,64.67,1082,17677,0,0,0,0,0,0,0,0,0,0,86329,155853,1.25,290,48282,0,0,0,0,0
"Boat o Goats",6.23,1.60,2.60,14.60,0,0,1,0,9,80,31, 36, 175, 1, 0, 16,5,4,61, 54903, 110519, 167590, 29.38, 93830,1817.9,0,1951,0,0,16228,0,0,0,0,0,21920,28651,67.00,163,12385,0,0,0,0,0,0,0,0,0,0,32983,81868,1.89,64,155205
"Pretender XII",3.14,8.30,4.30,5.20,0,0,1,9,0,30,16, 23, 53, 13, 3, 7,0,3,62, 220012, 185255, 32376, 43.55, 121018,1800.2,0,2336,0,15666,0,198162,158980,68.78,1711,27757,21850,26275,67.00,199,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiamative I XM ",1.87,3.60,6.00,7.60,7,1,0,0,2,30,13, 47, 142, 6, 0, 12,2,4,50, 159267, 256535, 44261, 20.92, 107434,1789.5,12959,0,1860,0,3076,0,0,0,0,0,0,0,0,0,0,118920,197579,53.43,1262,36968,19272,22976,1.00,63,6746,21075,35980,5.00,54,547
"Angelz9",1.80,4.70,5.50,5.20,6,4,0,0,0,30,0, 25, 98, 10, 2, 12,2,1,40, 145501, 239027, 40753, 43.73, 112299,1926.1,11815,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,89149,138074,44.50,1048,19309,56352,100953,0.50,310,21444,0,0,0,0,0
"Morales",4.22,3.10,3.70,12.50,3,2,0,1,4,90,27, 51, 205, 7, 1, 24,4,7,57, 95507, 285842, 76929, 67.80, 109532,1925.7,4942,0,5293,2479,6543,8590,40639,15.00,55,3847,0,0,0,0,0,37902,70547,55.00,461,16032,24408,98599,1.50,179,42230,24607,76057,9.00,111,14820
"Time Jump",2.98,6.90,4.20,5.60,0,2,3,5,0,60,3, 52, 80, 9, 4, 14,1,5,47, 177569, 213880, 42030, 65.25, 123791,1889.3,0,5362,4327,9204,0,96933,79633,54.60,827,14902,50770,52602,66.00,556,3904,0,0,0,0,0,29866,81645,12.00,134,23224,0,0,0,0,0
