"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"tryndamere1029",2.25,9.4,6.3,4.8,2,7,0,1,0,40,0,39,97,5,0,10,3,3,61,183441,250747,53479,5928,120370,1767,2800,0,11918,2952,0,37105,51271,0,86,8079,0,0,0,0,0,15666,31396,63,289,5945,130670,168080,2.43,594,39455,0,0,0,0,0
"Toxic boys",4.35,9.40,4.60,10.60,4,3,0,2,1,60,10, 41, 130, 12, 1, 22,1,4,55, 273063, 288001, 111349, 81.55, 161094,2261.7,8209,0,7484,5037,1887,54949,58318,60.50,489,11086,0,0,0,0,0,122603,117054,68.25,1042,63444,79900,95158,3.33,259,29384,15611,17471,3.00,10,7435
"Batman Superman",2.84,4.40,4.30,7.80,1,4,5,0,0,40,10, 30, 132, 4, 0, 16,3,5,50, 172182, 210649, 37393, 118.92, 121354,2020.9,1853,10343,8013,0,0,0,0,0,0,0,107331,76521,61.80,943,6532,10768,19264,39.00,152,1711,54083,114864,5.50,303,29150,0,0,0,0,0
"Oncovirus",2.95,7.20,5.60,9.30,0,0,7,3,0,40,9, 30, 66, 6, 0, 19,4,3,57, 249298, 224656, 30521, 49.23, 133197,2065.5,0,13521,0,7134,0,93466,64107,62.67,802,12973,155832,160549,58.71,1236,17548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SnipingHobo",2.79,3.10,5.20,11.40,0,0,0,1,9,70,22, 38, 337, 4, 3, 17,0,4,50, 202553, 137228, 13277, 61.72, 110587,1912.4,0,0,0,1118,18006,10894,7560,62.00,94,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191659,129668,4.11,279,11971
"secret Champion",1.66,3.40,7.90,9.70,3,0,1,3,3,20,8, 35, 162, 6, 1, 17,4,1,50, 173873, 252618, 40791, 113.37, 111016,1977.6,5446,2541,0,6132,5657,51921,71653,46.67,484,9571,31988,39827,28.00,253,13970,55202,82589,48.00,534,11272,0,0,0,0,0,34762,58549,5.00,108,5978
"Legendury Ad",1.86,9.40,8.00,5.50,0,0,1,9,0,40,6, 11, 64, 10, 1, 11,0,2,56, 216503, 214009, 28870, 19.40, 119539,1727.2,0,2468,0,14804,0,184269,178102,59.00,1360,25530,32234,35907,63.00,244,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mathuehue",1.60,4.20,5.80,5.10,7,3,0,0,0,30,0, 27, 94, 10, 1, 8,2,4,43, 146678, 314285, 59553, 45.20, 112947,1908.2,12838,0,6244,0,0,0,0,0,0,0,0,0,0,0,0,93332,204701,57.43,1312,33689,53346,109584,3.67,274,25864,0,0,0,0,0
"Stoiso",3.33,5.00,4.90,11.30,2,4,0,0,4,50,27, 46, 173, 1, 1, 20,1,6,54, 148653, 256539, 56921, 87.62, 111820,2023.3,3436,0,9089,0,7708,0,0,0,0,0,0,0,0,0,0,29121,26434,58.00,314,5918,74877,148120,3.25,255,41833,44655,81985,8.50,137,9170
"Lord Cman",2.91,7.70,5.80,9.20,0,8,2,0,0,60,7, 33, 121, 3, 2, 15,1,3,53, 219116, 269664, 69722, 87.93, 130850,2022.7,0,4788,15439,0,0,0,0,0,0,0,77763,49211,59.00,383,4147,0,0,0,0,0,141353,220453,5.87,623,65575,0,0,0,0,0
