"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"xX Kiwisorus Xx",4.23,1.8,3.1,11.3,0,2,0,0,8,40,59,89,368,2,1,20,4,5,58,98012,218741,81555,1677,96150,1989.3,0,0,3841,0,16052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29697,44631,5.5,143,22056,68315,174110,10.25,338,59499
"KimKiKi",2.50,3.70,4.60,7.80,2,2,0,1,5,60,23, 43, 180, 4, 0, 12,3,5,52, 110294, 182017, 30052, 37.88, 95634,1674.8,3263,0,3823,2092,7570,19333,12853,52.00,184,2929,0,0,0,0,0,27434,42538,55.50,354,4277,21441,44737,5.00,172,9815,42086,81889,10.40,193,13031
"DoctorKyo",1.33,4.60,7.30,5.10,0,1,5,4,0,30,0, 11, 91, 12, 3, 14,1,3,49, 159793, 205314, 13533, 16.85, 106395,1710.2,0,8303,1143,7656,0,59115,97272,69.75,828,8555,93624,93542,64.60,808,4726,0,0,0,0,0,7054,14500,33.00,2,252,0,0,0,0,0
"B is for Bait",1.89,4.80,7.20,8.80,3,5,0,0,2,30,18, 58, 169, 2, 1, 6,3,5,54, 177947, 303083, 110032, 100.27, 116041,1976,5745,0,10341,0,3674,0,0,0,0,0,0,0,0,0,0,61394,84884,51.33,523,23235,88472,169067,7.80,409,75702,28081,49132,4.00,50,11095
"Kerreynor",4.14,10.30,5.80,13.70,0,0,8,0,2,60,2, 27, 72, 17, 2, 21,6,5,66, 350613, 191894, 35432, 66.48, 153063,2211.5,0,18394,0,0,3721,0,0,0,0,0,299435,164128,62.75,1541,32623,0,0,0,0,0,0,0,0,0,0,51178,27766,2.50,128,2809
"BlazinVoid",1.72,4.10,6.00,6.20,4,5,0,1,0,20,6, 28, 119, 3, 0, 3,0,2,47, 146315, 297029, 86595, 77.80, 112440,1953.3,7107,0,10605,1821,0,13678,39684,5.00,41,12223,0,0,0,0,0,71035,115729,61.00,778,39602,61602,141616,4.20,382,34770,0,0,0,0,0
"Vicis",3.63,4.60,4.60,12.10,0,0,1,4,5,80,27, 37, 155, 15, 3, 22,4,8,55, 165287, 194368, 36361, 39.27, 116651,1878.1,0,2419,0,7577,8785,86438,73508,70.00,718,15297,27161,29072,69.00,197,2164,0,0,0,0,0,0,0,0,0,0,51688,91788,6.40,128,18900
"solgoon",3.00,4.60,3.90,7.10,5,1,0,4,0,50,2, 27, 143, 9, 0, 21,2,3,46, 156488, 213290, 27567, 86.92, 120051,1899.6,9095,0,1716,8185,0,70981,80898,70.75,873,10062,0,0,0,0,0,75230,111159,58.40,989,11854,10277,21233,1.00,52,5651,0,0,0,0,0
"irnesto",4.30,3.50,2.70,8.10,3,0,7,0,0,60,19, 23, 101, 4, 2, 15,2,4,50, 113739, 156431, 20753, 84.50, 104438,1647.4,4015,12459,0,0,0,0,0,0,0,0,93256,106728,65.86,1190,13178,20483,49703,56.00,355,7575,0,0,0,0,0,0,0,0,0,0
"They Call Me",2.97,5.20,3.90,6.40,3,2,1,4,0,60,7, 38, 98, 14, 3, 14,4,3,46, 136289, 227195, 51769, 50.30, 117921,1849.7,6665,1532,4328,5972,0,33834,46163,63.75,593,8413,13475,8691,76.00,188,1062,60920,109020,54.00,633,16001,28060,63321,0.00,236,26293,0,0,0,0,0
