"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"orangespriteman",2.98,2.2,6.2,16.3,0,0,0,0,10,60,20,54,207,4,1,21,4,4,53,127298,184971,4587,2475,123383,2179.5,0,0,0,0,21795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127298,184971,5.1,600,4587
"xInfluenza",5.68,8.20,3.10,9.40,0,0,0,10,0,70,8, 20, 118, 17, 2, 18,2,4,60, 253806, 181321, 40526, 102.78, 149945,2031.8,0,0,0,20318,0,253806,181321,69.30,2376,40526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KinkyGravini",1.91,5.70,5.50,4.80,1,2,5,1,1,30,4, 17, 77, 13, 3, 15,4,0,46, 200696, 153785, 110561, 152.20, 118761,1882,1580,9308,4178,1297,2457,10255,9432,16.00,50,6538,114453,66715,58.40,942,54728,10030,15372,48.00,131,5506,49317,43624,8.50,174,32259,16641,18642,9.00,90,11530
"AgentLauraKinney",4.17,3.70,3.50,10.90,0,1,0,2,7,60,14, 29, 137, 6, 3, 19,0,2,58, 77208, 139142, 92444, 28.98, 95288,1742.8,0,0,1214,2761,13453,28741,19381,61.50,314,2751,0,0,0,0,0,0,0,0,0,0,3064,17742,0.00,59,9946,45403,102019,1.43,81,79747
"Baihtors",1.93,6.00,6.80,7.10,5,4,1,0,0,40,5, 12, 74, 2, 2, 18,3,3,50, 193510, 302579, 61271, 103.95, 119701,1910.9,8799,1489,8821,0,0,0,0,0,0,0,5283,18131,51.00,105,350,80969,137448,63.60,849,22302,107258,147000,1.50,425,38619,0,0,0,0,0
"Realistic camouf",1.76,8.20,9.10,7.80,1,0,4,5,0,50,6, 22, 125, 20, 3, 15,2,4,51, 222937, 238205, 23807, 68.43, 145851,2165.9,2395,8054,0,11210,0,121929,103335,57.80,1355,16385,82674,96791,49.25,659,5605,18334,38079,46.00,200,1817,0,0,0,0,0,0,0,0,0,0
"ZXNM",3.36,8.10,4.40,6.70,1,2,3,4,0,70,6, 10, 75, 15, 3, 19,2,2,51, 212135, 218882, 53271, 62.87, 123004,1823.3,1986,4917,4322,7008,0,82850,65453,70.50,718,8962,58656,51328,53.67,418,3279,23547,31165,60.00,205,9829,47082,70936,2.00,188,31201,0,0,0,0,0
"zekesnack",1.84,5.20,5.60,5.10,0,10,0,0,0,10,10, 20, 94, 4, 0, 8,2,0,52, 129468, 253870, 88243, 191.88, 103816,1782.5,0,0,17825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129468,253870,3.20,745,88243,0,0,0,0,0
"DD Monk",1.92,3.40,5.30,6.80,6,1,0,1,2,20,10, 15, 107, 6, 3, 13,3,5,43, 148191, 241316, 37351, 53.40, 101226,1801.9,10841,0,2372,1309,3497,8457,8958,73.00,144,709,0,0,0,0,0,99868,147573,53.00,974,22249,19989,38217,0.00,89,7284,19877,46568,11.50,90,7109
"heuh darkness",3.65,4.40,2.60,5.10,3,0,5,2,0,40,7, 19, 131, 3, 2, 19,2,7,38, 222361, 185613, 27468, 70.53, 127385,2241.5,6672,12021,0,3722,0,42254,25558,56.50,337,4371,141278,101266,55.80,1124,19072,38829,58789,48.67,605,4025,0,0,0,0,0,0,0,0,0,0
