"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Nanashi",2.86,5.3,5.9,11.6,2,1,2,1,4,30,17,11,110,2,1,13,0,3,58,170734,250789,42163,6786,111266,2050.3,4348,4106,2840,1573,7636,12624,14353,61,165,1574,37762,45083,55,300,4665,51996,56520,68.5,352,6822,18958,43781,1,101,8583,49394,91052,9,129,20519
"MicroDiamond",0.97,3.70,9.10,5.10,5,0,1,3,1,20,11, 14, 102, 4, 0, 11,1,3,48, 143857, 245853, 38704, 39.68, 91446,1740.4,8455,970,0,6100,1879,67492,76104,59.33,617,8467,1661,3964,30.00,30,140,67772,146733,56.80,625,27793,0,0,0,0,0,6932,19052,8.00,21,2304
"Aetherion",1.68,4.30,6.60,6.80,3,4,0,2,1,20,0, 26, 88, 5, 0, 13,0,3,45, 154597, 272973, 53630, 73.53, 108029,1983.2,6046,0,7964,4109,1713,39642,38665,74.00,459,3257,0,0,0,0,0,54629,102330,50.33,437,24859,55551,112588,1.00,224,23575,4775,19390,10.00,32,1939
"UpsetSloth",2.46,7.40,6.90,9.60,0,7,1,2,0,50,3, 25, 131, 13, 3, 14,3,5,52, 240896, 307533, 86871, 113.57, 132753,2192.5,0,3323,14897,3705,0,56291,31795,60.50,443,7101,53128,46649,34.00,208,5110,0,0,0,0,0,131477,229089,4.00,430,74660,0,0,0,0,0
"Rosen Shock",1.59,9.40,9.50,5.70,2,8,0,0,0,40,1, 36, 102, 12, 6, 13,0,5,51, 284468, 292241, 58187, 108.35, 134703,2049,3782,0,16708,0,0,0,0,0,0,0,0,0,0,0,0,40316,37333,61.50,281,1763,244152,254908,2.62,527,56424,0,0,0,0,0
"Sotofu",3.00,9.00,5.50,7.50,2,0,3,5,0,50,0, 20, 76, 6, 4, 19,2,3,57, 233689, 213475, 45741, 46.52, 125747,1930.9,4064,4901,0,10344,0,127464,123194,58.60,906,32294,56675,48646,61.67,415,1770,49550,41635,60.50,361,11677,0,0,0,0,0,0,0,0,0,0
"TediousStar",1.33,5.60,7.60,4.50,5,5,0,0,0,10,4, 20, 71, 6, 1, 16,2,2,43, 140202, 345629, 45132, 151.87, 119093,2063.1,9576,0,11055,0,0,0,0,0,0,0,0,0,0,0,0,71804,170935,53.80,920,7223,68398,174694,1.00,454,37909,0,0,0,0,0
"Rugved",2.15,7.30,8.90,11.80,2,2,1,1,4,40,3, 40, 160, 5, 2, 18,4,3,61, 216901, 284713, 60145, 74.40, 130763,2032.8,4631,2100,3929,2064,7604,8449,32401,23.00,50,3968,24784,26456,68.00,202,3236,88299,76199,70.50,476,16454,37257,61052,3.00,108,13088,58112,88605,7.25,187,23399
"Jmack13",1.49,3.10,5.10,4.50,3,3,0,2,2,30,0, 22, 88, 10, 0, 12,0,2,35, 116635, 223318, 35792, 68.97, 104464,1937.2,6111,0,5180,3790,4291,34940,27406,60.50,370,3097,0,0,0,0,0,39809,78999,51.67,562,8051,27696,64708,1.33,237,20498,14190,52205,9.50,94,4146
"Loushangdebiaoge",2.23,3.80,6.10,9.80,4,4,1,1,0,40,4, 19, 92, 3, 0, 21,0,3,47, 124338, 282670, 45393, 198.87, 115792,2097.3,7975,1877,9039,2082,0,10393,20215,34.00,118,3389,14768,25165,55.00,152,4530,54137,89739,46.25,605,7845,45040,147551,2.75,315,29629,0,0,0,0,0
"Alexsaur22",2.22,3.00,5.50,9.20,0,0,1,6,3,30,4, 22, 147, 8, 1, 13,1,1,49, 120787, 170157, 64830, 36.58, 102004,1929.6,0,1747,0,10531,7018,79461,96139,63.17,959,16384,18876,16111,64.00,169,1402,0,0,0,0,0,0,0,0,0,0,22450,57907,1.67,41,47044
"DEAD 95",2.34,3.80,7.30,13.30,0,4,0,2,4,40,5, 21, 181, 2, 2, 17,2,4,58, 138465, 276798, 65558, 90.15, 104396,2027.8,0,0,7403,4875,8000,59287,48385,31.50,215,10691,0,0,0,0,0,0,0,0,0,0,38528,116955,2.25,216,36470,40650,111458,9.75,154,18397
"Irish Maiden",1.84,2.60,5.80,8.10,1,0,0,3,6,20,22, 45, 220, 6, 2, 11,2,3,47, 120025, 169041, 59376, 48.32, 95780,1919.8,1981,0,0,5809,11408,48189,50381,48.33,559,6069,0,0,0,0,0,22189,23170,23.00,156,4332,0,0,0,0,0,49647,95490,1.33,79,48975
"Paramexican",2.71,5.70,4.80,7.30,4,3,2,1,0,60,10, 15, 93, 15, 5, 21,4,6,45, 147612, 256563, 62539, 66.57, 122618,1849.1,7706,3918,5168,1699,0,15745,22330,23.00,116,2862,34695,51535,62.00,381,6594,69562,115043,49.75,678,31619,27610,67655,5.00,228,21464,0,0,0,0,0
"Big Barn BEz",2.00,7.90,6.80,5.70,0,4,0,6,0,40,0, 14, 105, 9, 1, 13,1,4,50, 204722, 183162, 28640, 53.28, 124116,1871.6,0,0,7245,11471,0,110354,103775,50.83,1101,14746,0,0,0,0,0,0,0,0,0,0,94368,79387,1.00,328,13894,0,0,0,0,0
"Rura",2.78,4.90,4.60,7.90,2,0,0,8,0,60,1, 24, 98, 20, 4, 25,6,9,46, 195543, 194902, 34203, 33.93, 133970,2129,4444,0,0,16846,0,152945,148763,64.13,1736,28191,0,0,0,0,0,42598,46139,64.00,363,6012,0,0,0,0,0,0,0,0,0,0
"rosborn",2.75,6.30,6.10,10.50,7,0,3,0,0,30,5, 11, 102, 6, 0, 21,4,2,53, 229613, 254524, 45390, 26.97, 120896,1997.5,13665,6310,0,0,0,0,0,0,0,0,69887,61013,55.00,432,7875,159726,193511,60.00,1175,37515,0,0,0,0,0,0,0,0,0,0
"VisionR",2.02,5.30,5.30,5.40,1,3,4,2,0,70,14, 19, 54, 11, 3, 12,5,4,39, 171194, 172690, 27690, 159.63, 119025,1644.7,1749,6314,5230,3154,0,26802,31522,74.50,422,2768,78367,57826,64.25,721,7297,16230,17281,71.00,206,1332,49795,66061,17.00,265,16293,0,0,0,0,0
"Blomnqvist",2.70,8.50,5.30,5.80,2,0,2,6,0,50,7, 17, 67, 18, 5, 16,4,4,55, 205265, 216289, 41780, 101.28, 126817,1896.2,4627,3309,0,11026,0,127536,91378,67.17,1087,16171,31203,31487,67.00,305,4026,46526,93424,62.50,401,21583,0,0,0,0,0,0,0,0,0,0
"That1Teacher",2.23,1.30,5.60,11.20,0,1,0,1,8,40,16, 21, 184, 1, 0, 8,2,5,44, 68187, 221770, 99901, 99.02, 95370,1914.8,0,0,2032,1186,15930,4885,14752,45.00,68,9145,0,0,0,0,0,0,0,0,0,0,9676,37061,14.00,54,13162,53626,169957,7.37,259,77594
"LuckeCharms",2.11,5.20,5.60,6.60,0,2,2,6,0,40,6, 12, 89, 9, 3, 15,5,1,54, 142476, 183064, 32474, 33.28, 99183,1664.2,0,3318,3581,9743,0,91203,99529,56.17,873,16303,28523,31221,57.00,261,1489,0,0,0,0,0,22750,52314,1.00,127,14682,0,0,0,0,0
"bambooforest12",3.60,6.40,4.20,8.70,2,8,0,0,0,70,3, 17, 89, 15, 1, 18,8,4,56, 176647, 305807, 112623, 113.85, 125514,1786.4,3680,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,37529,72471,76.00,418,30468,139118,233336,4.63,625,82155,0,0,0,0,0
"Megarice",1.97,2.00,6.40,10.60,1,0,0,1,8,50,9, 19, 199, 8, 0, 12,3,2,47, 94240, 233239, 24463, 38.08, 98372,1902,1774,0,0,1793,15453,11168,17933,65.00,206,1136,0,0,0,0,0,14077,15501,23.00,128,1117,0,0,0,0,0,68995,199805,11.38,364,22210
"Pandilly",3.32,6.20,4.70,9.40,0,8,2,0,0,50,1, 44, 156, 6, 0, 15,3,1,52, 148867, 287756, 80318, 198.80, 127160,2109.9,0,4192,16907,0,0,0,0,0,0,0,34207,45041,40.00,265,7565,0,0,0,0,0,114660,242715,2.13,651,72753,0,0,0,0,0
"YourMothersDildo",2.02,5.70,6.10,6.60,5,2,0,2,1,50,14, 22, 109, 12, 3, 23,1,3,38, 190266, 269666, 50128, 110.65, 129457,2208.1,9633,0,4785,5249,2414,53008,38495,55.00,516,8113,0,0,0,0,0,95587,116124,46.00,835,12526,33965,76677,3.00,157,21613,7706,38370,6.00,38,7876
"oneironautz",3.12,1.90,3.40,8.70,0,1,1,1,7,20,29, 54, 276, 1, 0, 14,1,0,54, 77347, 131815, 144043, 68.58, 92896,2039,0,2908,1315,1389,14778,9636,8648,65.00,161,1883,34682,23109,66.00,287,3940,0,0,0,0,0,2774,13100,2.00,45,3271,30255,86958,2.00,123,134949
"Wrestle",2.47,5.60,5.90,9.00,2,1,1,4,2,60,6, 10, 114, 12, 1, 15,4,6,47, 148378, 241300, 53617, 49.05, 118418,1951.2,4394,1403,1781,7908,4026,62716,77258,54.75,702,10611,13671,9937,77.00,133,2043,49380,80062,36.00,400,3788,12760,23447,6.00,72,11566,9851,50596,6.50,78,25609
"Deadly Melon",2.85,4.00,4.70,9.40,6,4,0,0,0,50,0, 21, 118, 4, 1, 12,4,3,54, 159396, 235896, 61127, 203.72, 112135,1791.8,9620,0,8298,0,0,0,0,0,0,0,0,0,0,0,0,85113,94146,65.83,937,13865,74283,141750,7.00,409,47262,0,0,0,0,0
"Prevo",2.29,2.00,5.90,11.50,0,0,0,0,10,50,19, 45, 169, 5, 0, 16,3,4,56, 103922, 179023, 22012, 60.68, 99163,1996.2,0,0,0,0,19962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103922,179023,2.70,217,22012
