"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"CheeseburgerJake",2.31,5,5.2,7,2,0,3,5,0,30,10,5,133,4,2,12,2,3,48,148384,164387,19855,1928,102266,1761,3156,4683,0,9771,0,89574,98902,49.2,702,13586,35687,38441,60.33,393,3987,23123,27044,45,285,2282,0,0,0,0,0,0,0,0,0,0
"dramoonzer",2.59,2.10,4.90,10.60,3,0,0,0,7,40,8, 20, 197, 5, 0, 16,1,2,51, 74320, 198629, 43242, 48.53, 93550,1943,5151,0,0,0,14279,0,0,0,0,0,0,0,0,0,0,34641,66334,43.67,355,10670,0,0,0,0,0,39679,132295,6.29,143,32572
"Elucide",3.22,5.90,4.60,8.90,5,1,3,0,1,50,27, 36, 136, 15, 1, 20,2,5,55, 202904, 238291, 58499, 171.27, 125221,2016.8,10408,6276,2205,0,1279,0,0,0,0,0,76121,45588,56.33,632,4314,95900,141643,60.00,1029,44224,28251,41208,8.00,68,9227,2632,9852,8.00,23,734
"beauxbeltran",1.42,3.20,6.00,5.30,5,0,3,2,0,30,3, 4, 56, 3, 0, 13,1,4,39, 180592, 191245, 15082, 47.63, 109022,1918.4,9778,5670,0,3736,0,36896,41179,55.50,369,5511,56154,51392,63.33,657,3462,87542,98674,60.80,928,6109,0,0,0,0,0,0,0,0,0,0
"Terracubist",2.30,1.40,6.30,13.10,0,1,0,0,9,40,15, 30, 186, 6, 0, 17,0,4,43, 93280, 204228, 20197, 66.20, 105397,2088.4,0,0,1814,0,19070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8913,26746,8.00,62,4285,84367,177482,6.44,393,15912
"imperialchina",3.03,1.10,3.40,9.20,0,0,0,0,10,60,0, 22, 144, 1, 0, 18,5,7,42, 59950, 136728, 19496, 34.58, 90127,1895.7,0,0,0,0,18957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59950,136728,4.20,224,19496
"Kin",2.64,7.50,6.40,9.40,1,0,1,7,1,50,4, 28, 101, 15, 1, 15,1,4,59, 257609, 205878, 43847, 32.20, 134601,2118.7,2897,2301,0,13870,2119,149258,109996,59.00,1294,19051,31261,24608,54.00,179,4248,61761,54110,46.00,207,12184,0,0,0,0,0,15329,17164,0.00,17,8364
"HeadGam3z",5.37,2.20,2.70,12.30,0,0,0,1,9,50,6, 34, 203, 4, 0, 15,2,5,52, 112243, 180846, 37883, 82.45, 100326,1964.1,0,0,0,1688,17953,15720,8582,12.00,70,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96523,172264,8.56,384,37684
"Sube",2.57,6.60,6.00,8.80,0,0,4,6,0,50,0, 12, 111, 11, 0, 18,3,2,49, 222092, 206730, 29390, 46.05, 132144,2086.1,0,8756,0,12105,0,132847,115229,67.50,1105,18888,89245,91501,58.25,761,10502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knight Japollo",2.21,1.90,7.80,15.30,0,0,0,1,9,40,0, 15, 110, 8, 0, 23,2,1,55, 117549, 283812, 42161, 28.30, 93428,1932.2,0,0,0,2346,16976,9384,39201,18.00,62,5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108165,244611,10.67,345,36780
"Materium",2.53,4.20,3.80,5.40,7,3,0,0,0,70,10, 16, 91, 13, 4, 17,2,0,38, 168593, 324006, 51501, 116.45, 122503,1903,13181,0,5849,0,0,0,0,0,0,0,0,0,0,0,0,141031,228905,66.71,1540,26210,27562,95101,6.33,226,25291,0,0,0,0,0
"Psygeese",2.61,7.10,5.70,7.80,2,0,7,1,0,60,0, 9, 88, 11, 1, 14,5,6,53, 221629, 212817, 27769, 106.23, 115553,1790.1,4363,11601,0,1937,0,31709,22953,60.00,187,2494,127244,123310,55.29,1018,8722,62676,66554,68.00,461,16553,0,0,0,0,0,0,0,0,0,0
"sexy trash",1.32,3.90,7.30,5.70,0,0,4,5,1,20,0, 7, 111, 6, 1, 12,0,1,43, 157710, 155295, 18741, 30.37, 100848,1743.7,0,6183,0,9899,1355,105002,92466,57.60,850,10146,43869,48823,53.00,529,1925,0,0,0,0,0,0,0,0,0,0,8839,14006,3.00,21,6670
"Zyji",1.59,3.80,6.40,6.40,1,3,0,3,1,25,0, 8, 114, 4, 2, 4,1,4,48, 97032, 181925, 34717, 27.03, 82987,1845.75,1694,0,5075,5588,2409,44110,60457,49.00,375,10626,0,0,0,0,0,14427,18276,44.00,110,1932,28808,68585,8.67,131,13921,9687,34607,3.00,19,8238
"AngryBird63",2.27,9.20,7.80,8.50,9,0,1,0,0,40,9, 16, 115, 7, 1, 9,0,2,52, 249880, 354039, 39814, 320.33, 152838,2310.5,20458,2647,0,0,0,0,0,0,0,0,33398,39596,74.00,265,3528,216482,314443,58.56,2213,36286,0,0,0,0,0,0,0,0,0,0
"TheAceOfCraze",3.84,5.30,3.80,9.30,4,1,0,0,5,30,19, 63, 92, 7, 0, 15,4,3,58, 121216, 189502, 57807, 45.57, 105439,1905.1,8146,0,1743,0,9162,0,0,0,0,0,0,0,0,0,0,80135,93061,56.25,780,24428,10778,22537,5.00,68,5297,30303,73904,6.60,132,28082
"EstrellaLand",2.75,8.60,5.20,5.70,0,1,6,3,0,60,14, 21, 123, 11, 1, 16,2,4,52, 233519, 171662, 26724, 43.88, 130270,2001.2,0,11179,2840,5993,0,38180,49630,48.33,491,10429,154758,91260,58.83,1025,12078,0,0,0,0,0,40581,30772,3.00,101,4217,0,0,0,0,0
"Kim Jong Rodman",2.72,3.90,4.70,8.90,0,3,0,7,0,40,11, 17, 112, 9, 0, 10,1,1,51, 125570, 182166, 27367, 63.93, 105010,1863.1,0,0,6617,12014,0,83986,84547,53.14,1139,16398,0,0,0,0,0,0,0,0,0,0,41584,97619,0.67,154,10969,0,0,0,0,0
"JoshyyD",2.58,8.40,5.90,6.80,3,0,1,6,0,30,0, 12, 76, 12, 0, 13,3,1,59, 242128, 219013, 38795, 43.12, 127360,1910.9,5602,2304,0,11203,0,158822,104584,63.33,1155,20797,45917,28842,67.00,207,4029,37389,85587,57.00,534,13969,0,0,0,0,0,0,0,0,0,0
"Bielskis1",2.40,6.90,6.20,8.00,8,2,0,0,0,40,13, 12, 123, 6, 1, 13,1,4,44, 237851, 290417, 58571, 64.22, 128725,2161.9,18256,0,3363,0,0,0,0,0,0,0,0,0,0,0,0,207579,244552,60.13,1428,41375,30272,45865,0.00,114,17196,0,0,0,0,0
"AABBCC",1.60,5.00,6.80,5.90,6,4,0,0,0,30,8, 15, 99, 3, 1, 12,4,3,53, 157977, 254007, 41870, 94.90, 98447,1806.5,9927,0,8138,0,0,0,0,0,0,0,0,0,0,0,0,88128,137979,41.17,623,14275,69849,116028,3.50,243,27595,0,0,0,0,0
"PandaEcstasy",1.23,3.80,8.10,6.20,0,4,2,4,0,20,0, 14, 51, 7, 1, 10,5,2,43, 168377, 222866, 53688, 101.93, 101698,1850.2,0,4738,6496,7268,0,65938,72719,56.00,632,7947,65401,40067,39.50,297,2710,0,0,0,0,0,37038,110080,2.75,210,43031,0,0,0,0,0
"CUTLAZ",3.59,10.20,4.90,7.40,0,7,0,3,0,60,5, 21, 110, 19, 7, 23,1,4,60, 244743, 286379, 74177, 96.37, 146980,2053.1,0,0,14595,5936,0,83439,41459,62.33,629,8176,0,0,0,0,0,0,0,0,0,0,161304,244920,5.86,561,66001,0,0,0,0,0
"EDG baron",3.52,9.40,5.20,8.90,0,1,0,9,0,70,25, 36, 149, 15, 2, 16,1,9,59, 276115, 198548, 41329, 70.67, 143399,1941.5,0,0,1588,17827,0,266614,175668,69.67,1902,36264,0,0,0,0,0,0,0,0,0,0,9501,22880,4.00,67,5065,0,0,0,0,0
"xXoX iAkOuL XoXx",3.25,8.70,5.60,9.50,5,4,0,0,1,40,12, 31, 108, 16, 3, 14,0,2,55, 249903, 366251, 92202, 61.98, 142523,2227.2,10212,0,9674,0,2386,0,0,0,0,0,0,0,0,0,0,127356,167724,54.40,964,43937,113004,171147,7.25,246,43491,9543,27380,11.00,58,4774
"Tricky n Such",2.55,6.70,5.50,7.30,2,0,1,7,0,40,0, 11, 45, 6, 1, 20,4,4,51, 188907, 246907, 36852, 51.13, 131132,2172.7,5876,1978,0,13873,0,131844,127964,57.43,1507,17617,16640,20875,53.00,131,2364,40423,98068,54.00,432,16871,0,0,0,0,0,0,0,0,0,0
"Saddong Hussein",2.13,7.10,6.10,5.90,0,0,3,7,0,40,0, 16, 82, 14, 2, 13,1,0,46, 186866, 172523, 37498, 40.98, 117100,1858.9,0,6124,0,12465,0,117497,109142,54.14,1198,19897,69369,63381,48.67,468,17601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKT Bang 1",2.01,6.00,7.50,9.10,2,2,5,0,1,50,18, 7, 120, 7, 0, 13,1,3,52, 205611, 223225, 40105, 75.05, 106601,1864.9,3044,9752,3246,0,2607,0,0,0,0,0,133743,102693,41.80,621,16136,30017,47771,54.50,225,7013,19424,41237,1.00,116,16052,22427,31524,1.00,33,904
"kbreeezy",2.21,7.80,6.70,7.00,1,1,2,5,1,60,1, 17, 128, 13, 1, 16,3,3,46, 223129, 253925, 45212, 61.58, 132056,1941.6,1792,3077,2216,10250,2081,127010,131552,61.00,993,26726,42697,36614,67.50,294,3045,16380,28968,71.00,186,2572,28253,39783,4.00,92,11333,8789,17008,3.00,14,1536
"FG Lynx",1.56,9.70,10.30,6.40,3,4,2,1,0,40,0, 14, 52, 7, 2, 17,2,2,52, 268341, 346386, 55333, 268.82, 124982,1983.3,6039,4089,7646,2059,0,20440,25131,53.00,147,3599,50488,45439,52.00,342,13046,111418,118598,41.33,384,13791,85995,157218,2.50,222,24897,0,0,0,0,0
"Gustii",2.89,4.20,5.40,11.40,1,6,0,0,3,50,6, 18, 118, 7, 0, 12,0,3,53, 152611, 298303, 73196, 174.52, 117714,1997.9,1213,0,12873,0,5893,0,0,0,0,0,0,0,0,0,0,8970,9086,46.00,144,2333,114215,212927,1.50,540,62593,29426,76290,6.33,140,8270
"Bonbonagaz",2.36,4.70,5.50,8.30,0,0,2,4,4,50,21, 18, 111, 13, 2, 16,3,3,44, 201234, 186601, 30546, 75.12, 118595,1945.5,0,4808,0,7109,7538,47801,63627,41.00,603,13264,66142,52403,60.00,546,8233,0,0,0,0,0,0,0,0,0,0,87291,70571,9.75,367,9049
"Noobsnack",1.81,7.70,7.50,5.90,3,1,1,5,0,80,0, 4, 86, 26, 8, 20,3,1,54, 259213, 201745, 27442, 20.83, 123672,1763.6,5395,1757,1360,9124,0,164092,107338,53.80,952,15915,25688,12166,54.00,147,1441,62539,65024,57.67,600,9658,6894,17217,49.00,2,428,0,0,0,0,0
"Goronfighter",3.49,7.80,4.90,9.30,2,2,1,4,1,50,13, 20, 136, 17, 4, 12,1,3,54, 195500, 219067, 57927, 123.80, 120396,1914.6,4508,1920,4330,6873,1515,76895,40211,61.50,663,6482,27248,21829,47.00,97,921,40540,66072,43.00,279,17824,43342,74242,2.50,165,30967,7475,16713,8.00,23,1733
"Sally N Adolphs",2.50,5.80,7.00,11.70,0,2,3,5,0,40,3, 17, 131, 9, 2, 12,2,4,54, 284075, 229789, 32208, 96.58, 140602,2415.5,0,8315,2972,12868,0,152848,131990,56.00,1001,21917,112129,75046,56.00,604,9690,0,0,0,0,0,19098,22753,22.50,4,601,0,0,0,0,0
"crywolfx",2.00,3.90,5.80,7.70,1,3,4,2,0,30,16, 15, 117, 10, 1, 18,3,4,49, 123179, 213943, 41916, 51.93, 98042,1826.4,1913,7805,5517,3029,0,16320,26513,41.50,227,3545,67139,79205,42.25,535,1855,15141,23896,45.00,146,2139,24579,84329,1.67,194,34377,0,0,0,0,0
