"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"kawaii chan xo",2.6,3.6,4.2,7.3,0,0,1,5,4,50,13,8,17,5,4,38,46.62
"TwerkingSloth",2.96,3.20,5.70,13.70,4,0,0,1,5,50,2,11,15,2,1,50,124.87
"Francis4",2.25,2.10,2.00,2.40,4,0,0,0,1,40,5,6,7,2,2,33,32.40
"The Weenie Hut",2.91,5.10,5.40,10.60,8,2,0,0,0,70,13,16,23,1,6,49,109.08
"Makhabre",3.14,1.60,5.80,16.60,0,0,0,1,9,60,0,3,14,2,0,58,43.68
"DramaQueen101",2.85,3.80,4.60,9.30,0,1,2,4,3,40,0,5,14,2,4,50,36.50
"buttstuffxxx",2.45,4.80,4.90,7.20,5,0,2,0,3,50,12,7,13,2,3,43,44.13
"chueneng",2.18,8.80,7.10,6.70,3,0,0,7,0,60,4,13,14,1,3,51,53.40
"OSX Faith",2.82,4.00,6.10,13.20,1,0,0,3,6,40,52,8,24,1,6,48,108.22
"TheLeaguesKnees",3.78,7.70,3.70,6.30,2,0,4,2,0,63,0,12,15,0,2,52,49.23
"ShocKy527",1.89,7.70,8.70,8.70,1,1,0,4,4,30,4,16,9,4,4,59,75.12
"Shikix3",2.18,5.50,5.70,6.90,5,0,5,0,0,50,0,9,16,6,2,44,14.32
"Yougotcheezed",2.52,9.00,6.50,7.40,0,1,9,0,0,60,9,10,23,2,2,49,32.90
"Kuong13",3.93,1.90,4.10,14.20,0,0,1,1,7,67,19,2,17,1,1,61,32.40
"Sandriea",2.17,4.50,6.00,8.50,0,1,5,3,1,40,9,4,20,2,2,48,22.33
"UbeTube",1.90,2.70,5.80,8.30,0,0,3,1,6,50,10,6,18,1,2,47,24.18
"ancient ghost",1.61,1.40,6.60,9.20,0,2,0,1,7,20,5,3,9,2,1,49,89.78
"shuttupandplayy",2.86,3.60,7.30,17.30,0,0,0,2,8,60,33,7,32,0,6,52,152.63
"God Of Scrubs",3.35,3.80,4.00,9.60,4,6,0,0,0,70,20,9,20,1,3,46,192.97
"Eantheman",1.76,8.00,9.00,7.80,0,3,2,5,0,20,2,6,19,3,2,53,61.95
"dannybo17",1.59,4.80,9.50,10.30,1,3,1,1,4,50,0,3,16,2,3,49,32.47
"Conga",2.32,6.90,6.90,9.10,0,7,0,3,0,30,0,5,22,6,2,53,86.22
"calvinator73",2.12,9.30,7.60,6.80,5,3,2,0,0,40,1,11,19,3,3,51,191.37
"SilentSaiyan",1.67,2.00,7.30,10.20,0,0,0,0,10,30,10,5,13,2,4,47,20.37
"Namonai",2.44,2.40,7.30,15.40,0,0,0,0,10,40,2,6,14,3,5,53,30.82
"Kaderade1313",1.61,1.70,7.90,11.00,1,1,0,1,7,40,7,5,12,1,5,50,115.33
"RubberDingus",2.09,7.10,6.40,6.30,0,0,0,10,0,60,0,14,18,4,5,48,30.85
"Dr Mandrew",2.43,4.40,4.90,7.50,5,4,0,0,1,40,4,15,14,0,3,47,85.03
"Brosbice",3.51,10.00,4.90,7.20,3,0,1,6,0,70,17,15,19,3,2,54,62.03
"jimmy hahahhan",1.41,7.80,9.70,5.90,4,1,3,1,1,50,6,8,21,2,5,45,112.95
"Aleini",2.50,6.70,5.80,7.80,5,0,2,3,0,30,13,6,17,1,4,53,43.67
"WOLFHAVEN42",3.38,3.60,5.00,13.30,1,0,0,0,9,90,0,10,19,5,4,43,45.17
