"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"kawaii chan xo",2.6,3.6,4.2,7.3,0,0,1,5,4,50,13,16,156,8,1,17,5,4,38,170470,163781,17942,2797,120288,2163.9
"TwerkingSloth",1.49,4.80,6.30,4.60,1,9,0,0,0,30,3, 14, 108, 9, 1, 6,0,4,39, 145580, 326935, 106880, 105.58, 118897,1932.9
"Francis4",1.97,2.40,3.00,3.50,4,0,0,0,2,33,7, 8, 86, 6, 2, 8,2,2,36, 71894, 157662, 43433, 36.98, 64365,1932.6666666666667
"The Weenie Hut",2.55,3.70,4.00,6.50,7,1,2,0,0,60,14, 12, 110, 9, 2, 17,1,5,37, 136207, 244634, 44826, 135.72, 119232,2035.7
"Makhabre",3.14,1.60,5.80,16.60,0,0,0,1,9,60,0, 14, 210, 3, 0, 14,2,0,58, 128682, 241357, 43887, 43.68, 106383,2091.3
"DramaQueen101",2.47,5.30,5.30,7.80,0,0,1,7,2,40,0, 8, 105, 5, 1, 18,0,5,49, 128070, 159371, 21731, 24.63, 101428,1839.5
"buttstuffxxx",2.45,4.80,4.90,7.20,5,0,2,0,3,50,12, 12, 117, 7, 2, 13,2,3,43, 167033, 235653, 58080, 44.13, 102952,1835.3
"chueneng",1.90,7.20,6.80,5.70,4,1,0,5,0,50,4, 13, 120, 14, 1, 9,0,4,43, 217032, 247420, 57567, 26.07, 123678,1955
"OSX Faith",2.82,4.00,6.10,13.20,1,0,0,3,6,40,52, 48, 254, 8, 2, 24,1,6,48, 151053, 250643, 75783, 108.22, 131669,2354.2
"TheLeaguesKnees",3.78,7.70,3.70,6.30,2,0,4,2,0,63,0, 9, 73, 12, 3, 15,0,2,52, 201973, 146888, 21856, 49.23, 101973,1986.875
"ShocKy527",1.89,7.70,8.70,8.70,1,1,0,4,4,30,4, 29, 145, 16, 1, 9,4,4,59, 226780, 239098, 30134, 75.12, 124733,1896.5
"Shikix3",2.43,6.70,6.10,8.10,4,5,1,0,0,70,0, 12, 57, 23, 6, 21,2,5,49, 157289, 287731, 59875, 52.70, 126707,2029
"Yougotcheezed",2.75,8.40,6.10,8.40,0,3,0,7,0,50,5, 5, 86, 9, 0, 12,1,2,54, 205441, 226895, 43435, 76.58, 117392,1842.8
"Kuong13",3.93,1.90,4.10,14.20,0,0,1,1,7,67,19, 29, 182, 2, 2, 17,1,1,61, 81747, 180817, 18836, 32.40, 84838,1866.888888888889
"Sandriea",2.17,4.50,6.00,8.50,0,1,5,3,1,40,9, 14, 110, 4, 1, 20,2,2,48, 156078, 173277, 51654, 22.33, 99613,1899.3
