"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"kawaii chan xo",2.59,5.5,4.6,6.4,0,0,0,6,4,40,11,19,138,8,3,15,4,2,45,170191,166821,18929,4144,117657,1998.2,0,0,0,12943,7039,130768,98663,49.5,1253,13282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39423,68158,5.75,146,5647
"TwerkingSloth",2.10,4.60,4.20,4.20,2,8,0,0,0,40,3, 5, 88, 11, 4, 7,2,2,37, 125288, 267000, 91578, 105.12, 108570,1688.5,3822,0,13063,0,0,0,0,0,0,0,0,0,0,0,0,48393,62691,70.50,457,15514,76895,204309,2.38,612,76064,0,0,0,0,0
"Francis4",1.97,2.40,3.00,3.50,4,0,0,0,2,33,7, 8, 86, 6, 2, 8,2,2,36, 71894, 157662, 43433, 36.98, 64365,1932.6666666666667,7546,0,0,0,4050,0,0,0,0,0,0,0,0,0,0,52685,107987,50.00,664,37655,0,0,0,0,0,19209,49675,10.50,72,5778
"The Weenie Hut",2.55,3.70,4.00,6.50,7,1,2,0,0,60,14, 12, 110, 9, 2, 17,1,5,37, 136207, 244634, 44826, 135.72, 119232,2035.7,15743,2717,1897,0,0,0,0,0,0,0,15342,21458,70.50,276,10892,114827,202378,57.14,1446,30272,6038,20798,8.00,45,3662,0,0,0,0,0
"Makhabre",3.14,1.60,5.80,16.60,0,0,0,1,9,60,0, 14, 210, 3, 0, 14,2,0,58, 128682, 241357, 43887, 43.68, 106383,2091.3,0,0,0,2594,18319,24358,39474,18.00,72,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104324,201883,9.44,426,41653
"DramaQueen101",2.75,6.50,5.20,7.80,3,7,0,0,0,70,1, 17, 99, 13, 2, 21,1,3,48, 140188, 324493, 42487, 137.72, 112997,1980.2,6645,0,13157,0,0,0,0,0,0,0,0,0,0,0,0,52377,92488,34.67,367,5105,87811,232005,2.00,366,37382,0,0,0,0,0
"buttstuffxxx",2.45,4.80,4.90,7.20,5,0,2,0,3,50,12, 12, 117, 7, 2, 13,2,3,43, 167033, 235653, 58080, 44.13, 102952,1835.3,10460,3392,0,0,4501,0,0,0,0,0,40437,29316,54.00,264,1499,99721,162408,47.80,833,49206,0,0,0,0,0,26875,43929,5.67,51,7375
"chueneng",1.89,5.90,6.60,6.60,5,2,0,0,3,60,5, 11, 130, 9, 2, 15,3,5,40, 153521, 280871, 70226, 34.82, 114116,1886.4,9419,0,4393,0,5052,0,0,0,0,0,0,0,0,0,0,88131,151359,49.40,838,40099,36344,71791,10.00,164,21939,29046,57721,9.67,164,8188
"OSX Faith",2.82,4.00,6.10,13.20,1,0,0,3,6,40,52, 48, 254, 8, 2, 24,1,6,48, 151053, 250643, 75783, 108.22, 131669,2354.2,1666,0,0,7345,14531,82353,61849,58.67,687,8653,0,0,0,0,0,14818,25652,51.00,162,8331,0,0,0,0,0,53882,163142,4.83,155,58799
"TheLeaguesKnees",3.78,7.70,3.70,6.30,2,0,4,2,0,63,0, 9, 73, 12, 3, 15,0,2,52, 201973, 146888, 21856, 49.23, 101973,1986.875,2805,8065,0,5025,0,72387,52778,59.50,449,11507,99392,68079,55.25,644,8209,30194,26031,53.00,223,2140,0,0,0,0,0,0,0,0,0,0
"ShocKy527",1.89,7.70,8.70,8.70,1,1,0,4,4,30,4, 29, 145, 16, 1, 9,4,4,59, 226780, 239098, 30134, 75.12, 124733,1896.5,1929,0,1431,8106,7499,144975,109075,57.25,803,18379,0,0,0,0,0,23369,23215,40.00,173,1936,9458,11707,65.00,15,462,48978,95101,5.00,121,9357
"Shikix3",2.26,5.50,6.20,8.50,0,5,4,1,0,60,0, 11, 45, 7, 2, 14,2,1,48, 172629, 234034, 38498, 118.20, 112809,1891.6,0,7942,9123,1851,0,21474,17511,64.00,193,1204,78035,83767,46.50,542,13272,0,0,0,0,0,73120,132756,5.80,302,24022,0,0,0,0,0
"Yougotcheezed",2.66,7.70,5.80,7.70,0,2,0,8,0,50,3, 10, 83, 12, 2, 14,1,2,50, 196841, 218430, 45672, 60.53, 117149,1887.7,0,0,3755,15122,0,171824,148430,56.50,1276,25634,0,0,0,0,0,0,0,0,0,0,25017,70000,3.50,125,20038,0,0,0,0,0
"Kuong13",3.93,1.90,4.10,14.20,0,0,1,1,7,67,19, 29, 182, 2, 2, 17,1,1,61, 81747, 180817, 18836, 32.40, 84838,1866.888888888889,0,2091,0,1757,12954,7984,16853,29.00,45,1609,19588,20905,44.00,123,2657,0,0,0,0,0,0,0,0,0,0,54175,143059,11.57,256,14570
"Sandriea",2.17,4.50,6.00,8.50,0,1,5,3,1,40,9, 14, 110, 4, 1, 20,2,2,48, 156078, 173277, 51654, 22.33, 99613,1899.3,0,9709,1262,5449,2573,25138,50800,32.00,267,37815,94741,81624,40.40,502,4447,0,0,0,0,0,1394,16238,0.00,44,8757,34805,24615,6.00,100,635
"Ancient Ghost",2.50,13.50,10.10,11.70,2,2,6,0,0,50,11, 12, 140, 13, 3, 24,1,9,62, 378909, 409593, 74288, 117.35, 167793,2533,5000,14520,5810,0,0,0,0,0,0,0,236081,176449,44.83,1017,31232,90810,103066,51.50,397,27872,52018,130078,2.50,111,15184,0,0,0,0,0
