"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"kawaii chan xo",2.29,5.4,5.1,6.3,0,0,0,6,4,40,8,18,123,7,3,13,4,2,48,152021,161160,17108,3835,110025,1891.3,0,0,0,11874,7039,112598,93002,50.67,1135,11461,74046,41,30,31,3,11,52,0.47,2.4,50,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39423,68158,5.75,146,5647,35979,13,21,32,5,7,71,0.5,2.14,25,806
"TwerkingSloth",2.10,4.60,4.20,4.20,2,8,0,0,0,40,3, 5, 88, 11, 4, 7,2,2,37, 125288, 267000, 91578, 105.12, 108570,1688.5,3822,0,13063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48393,62691,70.50,457,15514,27456,12,11,12,0,0,13,0.31,2.18,50.00,1437,76895,204309,2.38,612,76064,81114,34,31,30,3,5,75,0.40,2.06,37.50,4870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Francis4",1.97,2.40,3.00,3.50,4,0,0,0,2,33,7, 8, 86, 6, 2, 8,2,2,36, 71894, 157662, 43433, 36.98, 64365,1932.6666666666667,7546,0,0,0,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52685,107987,50.00,664,37655,46462,20,17,11,3,3,39,0.27,1.82,50.00,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19209,49675,10.50,72,5778,17903,4,13,24,4,5,47,0.55,2.15,0.00,999,
"The Weenie Hut",2.55,3.70,4.00,6.50,7,1,2,0,0,60,14, 12, 110, 9, 2, 17,1,5,37, 136207, 244634, 44826, 135.72, 119232,2035.7,15743,2717,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15342,21458,70.50,276,10892,18349,10,2,7,2,0,18,0.34,0.00,100.00,117,114827,202378,57.14,1446,30272,90397,25,36,52,10,11,82,0.41,2.14,42.86,7157,6038,20798,8.00,45,3662,10486,2,2,6,2,1,10,0.22,4.00,100.00,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Makhabre",3.14,1.60,5.80,16.60,0,0,0,1,9,60,0, 14, 210, 3, 0, 14,2,0,58, 128682, 241357, 43887, 43.68, 106383,2091.3,0,0,0,2594,18319,24358,39474,18.00,72,2234,12830,5,12,15,0,1,28,0.59,1.67,0.00,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104324,201883,9.44,426,41653,93553,11,46,151,0,13,182,0.57,3.52,66.67,2071,
"DramaQueen101",2.96,6.50,5.40,9.50,2,7,1,0,0,70,0, 18, 129, 7, 2, 27,1,2,50, 170842, 412263, 65159, 158.02, 128469,2237,4012,2304,16054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28740,53456,10.00,44,6684,15383,14,8,16,0,0,14,0.75,0.00,100.00,1128,35556,55856,41.00,219,1849,23005,12,8,18,0,3,20,0.46,3.75,100.00,352,106546,302951,2.57,445,56626,90081,39,38,61,0,15,95,0.47,2.63,57.14,8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"buttstuffxxx",2.45,4.80,4.90,7.20,5,0,2,0,3,50,12, 12, 117, 7, 2, 13,2,3,43, 167033, 235653, 58080, 44.13, 102952,1835.3,10460,3392,0,0,4501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40437,29316,54.00,264,1499,20527,15,13,10,2,3,21,0.41,0.00,50.00,220,99721,162408,47.80,833,49206,60106,25,27,40,6,6,66,0.45,2.41,40.00,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26875,43929,5.67,51,7375,22319,8,9,22,4,3,30,0.41,3.33,66.67,466,
"chueneng",2.17,4.90,6.50,9.20,3,0,2,0,5,50,5, 13, 134, 5, 1, 11,4,3,49, 150942, 228432, 42901, 31.05, 100063,1796,5077,3506,0,0,9377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44291,36545,46.00,234,2250,19348,16,16,13,0,3,23,0.63,0.00,0.00,378,50959,73649,44.67,435,23452,32821,17,18,19,1,2,22,0.38,2.00,66.67,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55692,118238,8.40,239,17199,47894,16,31,60,4,8,89,0.52,2.45,60.00,870,
"OSX Faith",3.16,4.00,5.80,14.30,2,0,0,2,6,40,57, 43, 252, 9, 2, 22,1,7,51, 139807, 243742, 85195, 119.10, 128712,2275.7,3732,0,0,4826,14199,58623,39235,58.00,448,6271,31578,16,8,24,6,3,33,0.57,5.00,50.00,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24595,54327,50.00,284,13766,23415,11,8,10,10,3,30,0.27,2.63,50.00,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56589,150180,5.50,130,65158,73719,13,42,109,41,37,189,0.58,2.90,33.33,5690,
"TheLeaguesKnees",3.78,7.70,3.70,6.30,2,0,4,2,0,63,0, 9, 73, 12, 3, 15,0,2,52, 201973, 146888, 21856, 49.23, 101973,1986.875,2805,8065,0,5025,0,72387,52778,59.50,449,11507,35230,27,14,24,0,4,27,0.58,3.64,100.00,461,99392,68079,55.25,644,8209,50479,39,17,29,0,3,38,0.53,0.00,50.00,967,30194,26031,53.00,223,2140,16264,11,6,10,0,2,8,0.41,3.50,50.00,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
