"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"kawaii chan xo",413,2.29,5.4,5.1,6.3,0,0,0,6,4,40,8,18,123,7,3,13,4,2,48,152021,161160,17108,3835,110025,1891.3,0,0,0,11874,7039,112598,93002,50.67,1135,11461,74046,41,30,31,3,11,52,0.47,2.4,50,3029,16.67,1.67,4,0,296.77,1553.8,-19.38,29.42,61.07,0.22,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39423,68158,5.75,146,5647,35979,13,21,32,5,7,71,0.5,2.14,25,806,0,1,1.75,-0.05,269.38,1653.85,-0.14,2.44,39.45,0.18,0.15
"TwerkingSloth",540,2.10,4.60,4.20,4.20,2,8,0,0,0,40,3, 5, 88, 11, 4, 7,2,2,37, 125288, 267000, 91578, 105.12, 108570,1688.5,3822,0,13063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48393,62691,70.50,457,15514,27456,12,11,12,0,0,13,0.31,2.18,50.00,1437,50.00,2.00,2.50,1.65,466.60,1681.70,50.60,61.35,114.35,0.22,0.23,76895,204309,2.38,612,76064,81114,34,31,30,3,5,75,0.40,2.06,37.50,4870,0.00,1.00,3.13,-0.08,358.30,2897.63,25.90,15.89,65.53,0.21,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Francis4",400,1.97,2.40,3.00,3.50,4,0,0,0,2,33,7, 8, 86, 6, 2, 8,2,2,36, 71894, 157662, 43433, 36.98, 64365,1932.6666666666667,7546,0,0,0,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52685,107987,50.00,664,37655,46462,20,17,11,3,3,39,0.27,1.82,50.00,1220,0.00,1.50,2.00,0.02,407.38,2352.90,2.12,12.52,22.85,0.20,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19209,49675,10.50,72,5778,17903,4,13,24,4,5,47,0.55,2.15,0.00,999,50.00,0.00,0.00,0.85,235.10,880.20,-1.65,-27.33,49.25,0.16,0.10,
"The Weenie Hut",518,2.55,3.70,4.00,6.50,7,1,2,0,0,60,14, 12, 110, 9, 2, 17,1,5,37, 136207, 244634, 44826, 135.72, 119232,2035.7,15743,2717,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15342,21458,70.50,276,10892,18349,10,2,7,2,0,18,0.34,8.50,100.00,117,0.00,0.50,4.50,0.95,433.15,0,9.50,92.50,0,0.20,0.16,114827,202378,57.14,1446,30272,90397,25,36,52,10,11,82,0.41,2.14,42.86,7157,0.00,1.14,2.00,0.60,415.70,1649.14,-26.83,-95.33,70.62,0.20,0.17,6038,20798,8.00,45,3662,10486,2,2,6,2,1,10,0.22,4.00,100.00,869,0.00,1.00,2.00,0.00,316.40,1150.50,0.00,0.00,0.00,0.17,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Makhabre",466,3.14,1.60,5.80,16.60,0,0,0,1,9,60,0, 14, 210, 3, 0, 14,2,0,58, 128682, 241357, 43887, 43.68, 106383,2091.3,0,0,0,2594,18319,24358,39474,18.00,72,2234,12830,5,12,15,0,1,28,0.59,1.67,0.00,550,0.00,0.00,0.00,0.00,277.80,983.20,-14.10,-13.50,-109.70,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104324,201883,9.44,426,41653,93553,11,46,151,0,13,182,0.57,3.52,66.67,2071,0.00,0.33,0.67,0.28,281.70,1822.00,-8.49,26.52,-12.06,0.16,0.11,
"DramaQueen101",703,1.94,4.90,6.40,7.50,2,2,1,3,2,50,0, 12, 116, 6, 0, 15,5,4,42, 124018, 226918, 26281, 41.73, 102762,1913.6,3639,2034,3750,6092,3621,45242,58168,48.67,397,10546,37327,26,22,29,0,7,28,0.47,2.50,66.67,266,0.00,2.67,3.00,0.07,253.60,1238.25,-7.52,35.42,-52.83,0.20,0.14,20019,17736,57.00,116,1929,10280,2,9,11,0,1,9,0.54,1.44,0.00,82,0.00,0.00,0.00,0.30,390.70,1045.30,-73.80,-5.20,-180.30,0.18,0.20,27959,41388,51.00,255,1943,19597,9,8,7,0,1,21,0.31,2.00,50.00,185,0.00,1.00,2.00,0.20,406.60,1909.60,51.10,-24.90,-120.10,0.18,0.17,23992,68592,2.00,86,5519,17776,9,17,6,0,0,19,0.38,0.88,0.00,1836,0.00,1.00,1.50,-0.85,248.65,1631.20,-48.05,-142.25,-23.70,0.18,0.15,6806,41034,10.50,58,6344,17782,3,8,22,0,3,39,0.42,3.13,100.00,135,0.00,0.50,1.50,0.85,280.95,1564.30,-6.92,-10.73,105.05,0.15,0.04,
"buttstuffxxx",442,2.45,4.80,4.90,7.20,5,0,2,0,3,50,12, 12, 117, 7, 2, 13,2,3,43, 167033, 235653, 58080, 44.13, 102952,1835.3,10460,3392,0,0,4501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40437,29316,54.00,264,1499,20527,15,13,10,2,3,21,0.41,1.92,50.00,220,50.00,3.00,2.00,-0.50,419.00,2301.80,-64.05,116.80,-110.00,0.20,0.26,99721,162408,47.80,833,49206,60106,25,27,40,6,6,66,0.45,2.41,40.00,1962,0.00,1.20,3.00,-0.86,409.22,1899.83,-24.36,-26.86,4.47,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26875,43929,5.67,51,7375,22319,8,9,22,4,3,30,0.41,3.33,66.67,466,0.00,1.33,2.00,0.27,278.17,0,6.03,43.45,0,0.16,0.14,
"chueneng",560,2.28,6.40,6.70,8.90,0,0,2,6,2,60,6, 17, 126, 9, 1, 13,1,2,47, 175010, 205421, 29644, 16.40, 114093,1917,0,3444,0,11401,4325,101259,110463,55.00,1036,17109,71191,42,39,36,5,12,63,0.41,2.00,50.00,506,16.67,1.67,3.17,0.00,306.88,1423.82,4.05,-32.23,-39.81,0.21,0.19,47105,34441,47.00,246,3524,20455,17,13,13,0,1,23,0.58,2.31,50.00,139,0.00,2.00,4.50,0.10,439.60,2211.20,35.25,-82.90,-65.20,0.21,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26646,60517,6.50,75,9011,22447,5,15,40,1,4,40,0.54,3.00,100.00,339,0.00,0.50,1.00,-0.48,304.60,1030.40,-35.77,-64.08,65.45,0.16,0.12,
"OSX Faith",465,3.04,3.60,5.20,12.20,2,0,0,3,5,40,52, 27, 209, 11, 2, 21,2,6,48, 139485, 209603, 65329, 73.85, 120370,2108.3,3732,0,0,6953,10398,74681,57370,56.00,617,8481,43949,20,15,33,11,3,50,0.56,3.53,33.33,1518,33.33,2.33,2.67,0.07,305.83,1144.70,16.62,53.88,-9.20,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24595,54327,50.00,284,13766,23415,11,8,10,10,3,30,0.27,2.63,50.00,382,0.00,1.00,5.50,0.20,371.20,2062.00,-59.25,-81.60,-270.20,0.18,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40209,97906,5.80,95,43082,53006,5,29,79,31,21,129,0.53,2.90,40.00,2531,0.00,0.20,0.60,-0.27,265.28,1056.95,-17.48,47.86,-13.93,0.17,0.09,
"TheLeaguesKnees",400,3.78,7.70,3.70,6.30,2,0,4,2,0,63,0, 9, 73, 12, 3, 15,0,2,52, 201973, 146888, 21856, 49.23, 101973,1986.875,2805,8065,0,5025,0,72387,52778,59.50,449,11507,35230,27,14,24,0,4,27,0.58,3.64,100.00,461,0.00,3.50,6.00,0.47,358.50,1283.45,45.07,-85.17,101.47,0.22,0.24,99392,68079,55.25,644,8209,50479,39,17,29,0,3,38,0.53,4.00,50.00,967,0.00,2.25,4.50,0.57,448.55,2188.10,52.50,79.97,-134.65,0.21,0.27,30194,26031,53.00,223,2140,16264,11,6,10,0,2,8,0.41,3.50,50.00,1526,0.00,1.00,5.00,0.95,474.85,0,138.30,47.55,0,0.20,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
