"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"AlexanderRinaldi",2.58,6.8,5.7,7.9,9,1,0,0,0,50,5,12,10,1,2,56,121.37
"SeungW0n",3.22,2.10,4.60,12.70,0,0,1,2,7,40,9,2,13,1,2,51,70.85
"PurpDevil",1.83,5.60,6.00,5.40,6,2,2,0,0,70,1,11,17,3,4,40,56.95
"envul",2.49,5.60,5.50,8.10,0,8,1,1,0,20,8,4,14,0,3,49,141.55
"Shayapig",1.97,7.70,7.10,6.30,2,7,0,1,0,60,1,23,22,1,1,43,141.43
"Infinitos",2.42,1.90,5.70,11.90,1,1,0,1,7,60,21,1,21,2,6,47,57.03
"aidsbot",2.07,6.10,5.90,6.10,0,4,6,0,0,50,9,13,14,1,2,44,67.20
"RPGamerC",2.90,7.40,6.10,10.30,0,0,1,5,4,70,0,18,18,0,4,54,19.08
"GamingPegasus",3.33,8.50,4.20,5.50,0,6,4,0,0,50,2,7,17,5,3,53,74.30
"SpiritxWolf",2.33,7.40,6.90,8.70,0,3,1,6,0,50,2,13,18,3,8,51,80.75
"A bittersweet li",2.52,6.70,5.20,6.40,0,2,0,8,0,50,19,20,17,2,6,44,65.37
"Foxx3",2.41,8.70,6.90,7.90,0,5,5,0,0,60,7,8,13,1,2,58,51.73
"YoGirlThrowNeck",1.76,6.20,9.30,10.20,1,0,5,4,0,80,0,14,25,6,8,45,22.40
"AeroFW",2.90,5.20,5.90,11.90,0,0,1,5,4,40,1,8,19,3,3,60,81.62
"fatblackNdirty",1.64,3.90,8.40,9.90,0,5,4,0,1,40,0,3,19,1,0,52,73.05
"spk956",3.31,3.60,4.20,10.30,0,0,2,0,7,89,0,9,18,4,8,46,34.80
"Asher Edge",1.39,5.20,7.20,4.80,6,2,2,0,0,30,11,2,13,0,2,39,126.80
"Amerogata",2.27,1.70,7.70,15.80,0,0,0,0,10,50,6,1,13,0,2,59,57.37
"Axeamaniac",1.36,3.00,5.90,5.00,7,0,3,0,0,30,1,8,12,1,1,34,130.42
"mastameadows",2.16,6.40,5.70,5.90,6,0,0,4,0,60,1,20,14,4,2,45,63.70
"Broberry",2.37,7.80,6.20,6.90,0,7,3,0,0,60,0,11,14,1,0,51,79.62
"SYK93",2.21,6.00,5.70,6.60,7,0,1,2,0,30,6,13,16,1,2,40,43.77
"Squeakel",3.75,2.70,5.50,17.90,0,0,0,0,10,60,22,5,16,3,1,61,66.10
"PokemonAF",1.81,4.80,7.80,9.30,4,6,0,0,0,30,3,3,15,2,1,42,73.05
"ArcSpectre",2.42,9.10,6.40,6.40,8,0,2,0,0,50,5,16,11,1,2,45,40.08
"swagturtles25",2.16,6.60,6.40,7.20,3,0,4,2,1,40,9,8,13,2,1,49,60.30
"SuddenSusan23",2.78,3.40,3.20,5.50,7,0,3,0,0,50,3,23,17,2,4,35,160.50
"Mathillas",2.09,6.50,7.50,9.20,0,0,6,2,2,60,0,10,16,4,6,51,62.07
"Legend Warrior2",2.73,5.70,5.50,9.30,6,2,0,1,1,50,6,8,17,0,4,51,107.70
"TR 8R",1.89,6.50,7.50,7.70,10,0,0,0,0,40,24,13,10,1,2,54,57.42
"StealthySquirrel",1.21,4.30,7.70,5.00,6,0,4,0,0,40,2,13,13,0,0,40,54.62
"Mistrtux",2.53,6.60,5.30,6.80,2,0,4,4,0,50,3,19,23,0,6,47,50.75
"AtomicFartODeath",2.71,4.00,5.20,10.10,4,0,0,0,5,67,9,7,20,0,4,45,51.38
"Thanhefell",2.25,5.10,7.10,10.90,3,2,1,0,4,70,11,12,17,1,7,43,187.28
"ConchyJoeGames",1.98,5.30,5.40,5.40,0,0,0,10,0,50,0,9,13,2,1,42,18.68
"FlyingTongue",2.85,2.50,4.70,10.90,1,3,2,1,3,50,7,4,13,6,3,45,84.38
"Maidsturnmeon",1.79,6.90,6.60,4.90,0,0,8,2,0,40,0,5,10,4,0,51,98.77
"Man murder",2.61,3.40,5.70,11.50,0,0,0,0,10,70,2,2,13,5,6,45,42.22
"ProbablyDrunken",2.94,7.60,5.10,7.40,1,0,0,9,0,60,4,18,18,5,2,49,69.35
"CIR ZionH",4.06,6.70,3.40,7.10,7,2,1,0,0,80,2,14,21,6,3,43,63.83
"Figured",1.99,4.70,6.80,8.80,0,0,6,4,0,50,12,7,17,3,4,45,85.13
"High6rade",2.44,5.30,4.80,6.40,9,0,1,0,0,30,9,18,12,1,5,40,25.10
"swarmhosts",2.82,7.70,6.70,11.20,0,5,0,5,0,60,0,17,14,3,2,54,66.72
"SupaPeach",2.20,3.60,5.50,8.50,0,4,1,3,2,30,5,3,15,1,1,47,85.73
"PhamtonHunter",2.35,6.30,6.50,9.00,0,0,0,7,3,40,0,15,15,0,3,56,18.02
"CCarmine4445",1.87,2.10,8.30,13.40,0,1,0,1,8,50,14,3,21,4,6,45,112.78
