"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"AlexanderRinaldi",2.57,6.4,5.6,8,8,1,0,0,1,50,4,10,10,3,1,58,117.78,1969.4
"SeungW0n",3.22,2.10,4.60,12.70,0,0,1,2,7,40,9,2,13,1,2,51,70.85,1936.4
"envul",2.49,5.60,5.50,8.10,0,8,1,1,0,20,8,4,14,0,3,49,141.55,2190.9
"Shayapig",2.19,8.70,7.00,6.60,2,7,0,1,0,50,2,11,18,1,1,45,125.12,2027.1
"Infinitos",2.88,2.20,5.70,14.20,0,1,0,1,8,80,19,3,26,4,10,48,36.98,2030.6
"aidsbot",1.82,5.00,7.40,8.50,3,1,5,1,0,30,6,14,12,0,4,48,111.42,2003.9
"RPGamerC",2.90,7.40,6.10,10.30,0,0,1,5,4,70,0,18,18,0,4,54,19.08,2109.2
"GamingPegasus",2.85,8.10,4.60,5.00,0,4,6,0,0,40,2,5,18,6,3,54,63.93,1891.9
"SpiritxWolf",2.85,9.50,6.00,7.60,0,4,1,5,0,60,0,7,20,3,2,52,95.78,2092.9
"A bittersweet li",3.97,5.70,3.10,6.60,0,2,1,7,0,40,22,13,13,2,1,52,57.25,1858.6
"Foxx3",2.41,8.70,6.90,7.90,0,5,5,0,0,60,7,8,13,1,2,58,51.73,1965.3
"YoGirlThrowNeck",1.47,3.80,9.30,9.90,2,0,0,5,3,30,3,7,15,1,3,43,38.67,2093.2
"AeroFW",2.90,5.20,5.90,11.90,0,0,1,5,4,40,1,8,19,3,3,60,81.62,2040.5
"fatblackNdirty",1.94,9.60,8.20,6.30,2,8,0,0,0,70,0,9,18,2,3,49,133.42,1961.9
"spk956",3.31,3.60,4.20,10.30,0,0,2,0,7,89,0,9,18,4,8,46,34.80,1956.111111111111
"Asher Edge",1.39,5.20,7.20,4.80,6,2,2,0,0,30,11,2,13,0,2,39,126.80,1797.6
"Amerogata",2.27,1.70,7.70,15.80,0,0,0,0,10,50,6,1,13,0,2,59,57.37,1873.9
"Axeamaniac",1.19,4.50,8.30,5.40,6,4,0,0,0,50,0,17,12,2,4,35,72.45,2013.5
"mastameadows",1.76,6.80,6.70,5.00,4,0,0,6,0,40,0,18,13,3,2,45,32.35,1903.4
"Broberry",2.75,6.40,5.20,7.90,4,6,0,0,0,40,0,8,13,2,1,53,135.62,1886
"SYK93",2.14,6.00,5.60,6.00,7,0,1,2,0,30,6,14,15,1,2,39,42.70,1923.6
"Squeakel",3.46,3.40,5.90,17.00,0,0,0,0,10,50,21,5,15,2,0,64,77.82,2015.7
"PokemonAF",1.81,4.80,7.80,9.30,4,6,0,0,0,30,3,3,15,2,1,42,73.05,2041.7
"ArcSpectre",2.85,8.20,5.50,7.50,4,0,2,1,3,50,7,11,11,1,1,52,34.00,1781.9
"swagturtles25",2.15,6.30,6.10,6.80,4,0,2,4,0,40,6,13,12,5,1,45,55.58,1848.4
"SuddenSusan23",2.35,2.40,3.70,6.30,5,0,5,0,0,30,5,10,10,2,3,39,146.13,1947.5
"Mathillas",2.09,6.50,7.50,9.20,0,0,6,2,2,60,0,10,16,4,6,51,62.07,2051.5
"Legend Warrior2",4.15,4.80,3.40,9.30,2,5,0,0,3,50,16,14,15,3,2,57,109.68,1878.3
"TR 8R",1.89,6.50,7.50,7.70,10,0,0,0,0,40,24,13,10,1,2,54,57.42,2119.6
"StealthySquirrel",1.21,4.30,7.70,5.00,6,0,4,0,0,40,2,13,13,0,0,40,54.62,1813.7
"Mistrtux",2.32,3.60,3.40,4.30,1,5,0,4,0,40,0,6,12,2,3,33,47.63,1832.6
"AtomicFartODeath",2.71,4.00,5.20,10.10,4,0,0,0,5,67,9,7,20,0,4,45,51.38,2131.222222222222
"Thanhefell",2.25,5.10,7.10,10.90,3,2,1,0,4,70,11,12,17,1,7,43,187.28,2184.9
"ConchyJoeGames",2.11,6.60,6.50,7.10,0,7,0,3,0,30,4,6,17,2,6,46,81.77,2261.6
"FlyingTongue",2.93,4.70,5.50,11.40,0,4,1,0,5,50,10,1,18,3,4,52,144.15,2158.6
"Maidsturnmeon",2.25,7.00,6.30,7.20,0,0,4,6,0,50,0,5,20,4,1,46,104.40,2174.9
"Man murder",2.10,4.40,6.10,8.40,0,0,0,0,10,50,11,1,10,3,8,44,44.43,1790.6
"ProbablyDrunken",2.81,7.70,5.90,8.90,1,1,0,8,0,60,4,16,20,5,3,49,65.72,2137.6
"CIR ZionH",3.04,9.60,5.50,7.10,1,4,5,0,0,70,2,19,18,11,6,55,68.67,1734.1
"Figured",2.94,7.00,5.30,8.60,0,0,3,7,0,50,5,12,9,0,5,54,34.50,2096.5
"High6rade",2.57,6.80,6.80,10.70,6,0,3,0,1,50,11,19,22,1,8,49,42.80,2310.1
"swarmhosts",2.70,7.70,6.70,10.40,0,6,0,4,0,60,0,17,14,3,1,53,85.78,2061.1
"SupaPeach",2.34,3.10,5.30,9.30,0,3,1,4,2,30,2,6,15,1,0,41,79.33,1980.5
"PhamtonHunter",2.35,6.30,6.50,9.00,0,0,0,7,3,40,0,15,15,0,3,56,18.02,1960.6
"CCarmine4445",1.87,2.10,8.30,13.40,0,1,0,1,8,50,14,3,21,4,6,45,112.78,2128.3
