"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"AlexanderRinaldi",2.91,6,5.3,9.4,7,1,0,0,2,50,4,13,77,8,0,10,3,2,60,198565,262074,47888,7051,113507,2011.6
"SeungW0n",3.22,2.10,4.60,12.70,0,0,1,2,7,40,9, 18, 157, 2, 0, 13,1,2,51, 109907, 231831, 31574, 70.85, 97472,1936.4
"PurpDevil",1.82,5.50,6.60,6.50,4,4,2,0,0,50,0, 5, 51, 9, 2, 14,4,3,39, 178752, 254442, 44720, 72.55, 118393,1949.3
"envul",2.49,5.60,5.50,8.10,0,8,1,1,0,20,8, 35, 114, 4, 2, 14,0,3,49, 165190, 370970, 80791, 141.55, 120118,2190.9
"Shayapig",2.19,8.70,7.00,6.60,2,7,0,1,0,50,2, 12, 99, 11, 6, 18,1,1,45, 224628, 395057, 75729, 125.12, 132356,2027.1
"Infinitos",3.02,2.50,4.90,12.30,0,0,1,1,8,80,16, 29, 201, 5, 3, 26,3,10,50, 113571, 201715, 24618, 26.32, 106301,2063.6
"aidsbot",2.56,6.90,6.30,9.20,2,1,6,1,0,60,8, 17, 191, 12, 6, 16,4,7,49, 214201, 326949, 46401, 56.85, 138360,2154.4
"RPGamerC",2.90,7.40,6.10,10.30,0,0,1,5,4,70,0, 8, 81, 18, 4, 18,0,4,54, 182683, 232473, 32151, 19.08, 130698,2109.2
"GamingPegasus",2.63,7.20,4.30,4.10,0,4,6,0,0,40,2, 18, 105, 6, 3, 16,6,2,51, 169848, 193524, 33142, 61.20, 107322,1817.5
"SpiritxWolf",2.10,4.60,6.30,8.60,0,5,0,2,3,20,4, 4, 123, 5, 2, 6,1,0,51, 149258, 233653, 83284, 47.57, 108345,1986.3
"A bittersweet li",2.23,4.50,4.00,4.40,0,7,0,3,0,30,19, 19, 144, 3, 0, 10,0,0,42, 122222, 170629, 31690, 93.12, 101303,1897.1
"Foxx3",2.41,8.70,6.90,7.90,0,5,5,0,0,60,7, 8, 62, 8, 4, 13,1,2,58, 180564, 262346, 57699, 51.73, 125394,1965.3
"YoGirlThrowNeck",1.74,4.90,7.80,8.70,7,0,1,1,1,70,4, 6, 107, 9, 2, 20,2,3,43, 179594, 274731, 66298, 19.93, 110451,1940.3
"AeroFW",3.39,6.70,5.90,13.30,0,0,1,5,4,50,1, 28, 102, 8, 3, 22,3,5,63, 233821, 248356, 114566, 97.60, 130808,2162.6
"fatblackNdirty",1.43,5.30,8.30,6.60,2,6,2,0,0,50,0, 4, 117, 5, 1, 14,2,1,41, 178453, 257731, 72652, 100.40, 112313,1895.5
"spk956",3.31,3.60,4.20,10.30,0,0,2,0,7,89,0, 25, 209, 9, 4, 18,4,8,46, 115533, 207482, 32374, 34.80, 97935,1956.111111111111
"Asher Edge",1.49,5.40,7.00,5.00,6,2,2,0,0,30,12, 6, 99, 2, 2, 13,0,2,41, 157666, 207979, 21922, 127.37, 98787,1778.5
"Amerogata",2.27,1.70,7.70,15.80,0,0,0,0,10,50,6, 21, 250, 1, 1, 13,0,2,59, 85003, 180335, 154738, 57.37, 94836,1873.9
"Axeamaniac",1.75,6.30,6.80,5.60,6,0,0,4,0,70,1, 6, 78, 25, 7, 22,3,8,33, 178206, 262120, 46239, 57.33, 128474,1979.3
"mastameadows",2.23,6.80,6.60,7.90,5,0,1,4,0,50,0, 3, 71, 25, 5, 17,4,1,47, 251757, 241551, 44244, 63.62, 127967,1950.4
"Broberry",2.45,6.20,5.50,7.30,6,4,0,0,0,40,0, 13, 84, 9, 0, 12,2,1,49, 186169, 307341, 66714, 120.15, 112269,1839.2
"SYK93",2.14,6.00,5.60,6.00,7,0,1,2,0,30,6, 47, 90, 14, 1, 15,1,2,39, 177337, 249236, 49350, 42.70, 110916,1923.6
"Squeakel",3.46,3.40,5.90,17.00,0,0,0,0,10,50,21, 43, 188, 5, 3, 15,2,0,64, 140981, 219097, 116858, 77.82, 108007,2015.7
