"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"AlexanderRinaldi",3.96,6,4.9,13.4,5,2,0,0,3,60,4,12,84,9,0,11,3,2,62,199594,290043,50619,7537,118134,2029.8,10468,0,3381,0,6449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136086,152080,47.8,746,17952,63898,41,30,62,4,4,29,0.59,3.43,60,4039,30691,60999,0,145,18831,21457,15,12,12,0,0,10,0.59,2.25,0,1343,32817,76964,9.33,106,13836,32779,4,7,60,0,8,45,0.68,9.14,100,2155
"SeungW0n",3.62,4.00,3.40,8.30,1,4,0,5,0,50,1, 14, 89, 5, 0, 18,2,3,50, 157665, 211472, 46083, 101.30, 118259,1986.7,2071,0,7493,10303,0,77878,80139,59.20,1007,13668,61724,21,20,35,1,10,45,0.48,2.80,40.00,2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12799,34056,45.00,141,13835,10142,0,6,8,0,0,6,0.35,1.33,0.00,1338,66988,97277,1.25,297,18580,46393,19,8,40,0,4,38,0.56,7.38,75.00,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PurpDevil",2.71,11.80,8.00,9.90,0,2,2,6,0,50,2, 18, 107, 8, 5, 17,2,6,56, 327551, 267645, 48566, 68.18, 155102,2186.1,0,3325,4982,13554,0,206231,154525,57.50,1240,21561,92668,63,51,58,1,13,53,0.55,2.37,33.33,2282,66811,43341,51.50,281,4142,28681,33,12,19,0,1,17,0.69,0.00,100.00,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54509,69779,8.00,135,22863,33753,22,17,22,1,4,37,0.48,2.59,50.00,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"envul",2.49,5.60,5.50,8.10,0,8,1,1,0,20,8, 35, 114, 4, 2, 14,0,3,49, 165190, 370970, 80791, 141.55, 120118,2190.9,0,4052,15889,1968,0,8116,22620,13.00,43,2935,8860,4,3,7,2,1,13,0.41,3.67,0.00,115,29494,47677,61.00,321,12297,24523,13,7,6,3,3,37,0.47,0.00,0.00,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127580,300673,3.13,507,65559,86735,39,45,68,3,31,64,0.51,2.38,25.00,8121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Shayapig",2.19,8.70,7.00,6.60,2,7,0,1,0,50,2, 12, 99, 11, 6, 18,1,1,45, 224628, 395057, 75729, 125.12, 132356,2027.1,4498,0,14544,1229,0,8639,8542,57.00,108,1038,6061,3,4,0,0,0,5,0.38,0.75,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59955,105836,49.50,348,14893,26843,19,16,12,2,0,27,0.45,1.94,50.00,734,156034,280679,1.57,589,59798,99452,65,50,54,0,12,67,0.45,2.38,57.14,6773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Infinitos",3.04,2.40,4.50,11.30,0,0,1,1,8,80,15, 30, 189, 5, 3, 25,4,9,49, 105280, 188067, 23581, 28.65, 100671,1960.2,0,1973,0,1858,15771,14553,9710,70.00,175,1912,12141,4,2,7,1,0,11,0.41,5.50,100.00,0,20772,15571,44.00,136,798,10084,8,9,1,1,1,14,0.64,0.00,0.00,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69955,162786,10.50,295,20871,78446,12,34,105,13,29,164,0.49,3.44,87.50,1661,
"aidsbot",2.47,7.10,6.80,9.70,1,2,6,1,0,60,9, 17, 205, 13, 6, 16,5,7,49, 214931, 344691, 51677, 65.03, 137989,2157.2,2343,11136,5812,2281,0,19797,32596,18.00,89,7401,13366,1,7,19,2,1,20,0.50,2.86,0.00,483,126401,126717,56.83,996,11738,75805,53,28,40,5,6,81,0.51,0.00,83.33,930,31211,53646,57.00,198,9826,14803,5,8,17,0,0,18,0.52,2.75,0.00,178,37522,131732,2.00,230,22712,34015,12,25,21,2,10,86,0.41,1.32,50.00,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"RPGamerC",2.90,7.40,6.10,10.30,0,0,1,5,4,70,0, 8, 81, 18, 4, 18,0,4,54, 182683, 232473, 32151, 19.08, 130698,2109.2,0,2490,0,11635,6967,109294,117377,61.00,1067,11534,75947,40,32,53,0,4,35,0.53,2.91,60.00,493,35837,27044,47.00,138,6869,19067,20,5,7,0,1,12,0.61,0.00,100.00,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37552,88052,10.75,143,13748,35684,14,24,43,0,3,34,0.52,2.38,75.00,343,
"GamingPegasus",2.51,7.00,4.30,3.80,0,3,7,0,0,30,2, 17, 103, 6, 2, 14,5,1,51, 165119, 185469, 29681, 55.40, 102976,1784.9,0,13210,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132571,124092,43.71,953,13756,75234,50,28,33,0,13,73,0.49,0.00,28.57,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32548,61377,0.67,176,15925,27742,20,15,5,2,4,30,0.58,1.67,33.33,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SpiritxWolf",2.82,5.70,3.90,5.30,0,1,1,7,1,40,2, 8, 104, 10, 1, 9,1,2,53, 148161, 153812, 35438, 30.30, 106257,1744.5,0,1773,2478,11618,1576,89026,75126,58.14,1230,12772,72285,36,19,30,0,3,65,0.51,3.47,28.57,423,16860,15626,64.00,106,2855,10561,7,5,5,0,1,12,0.46,0.00,100.00,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37009,47432,1.00,103,18932,17140,13,9,12,0,3,18,0.68,2.78,100.00,924,5266,15628,7.00,13,879,6271,1,6,6,2,1,9,0.44,1.17,0.00,85,
"A bittersweet li",3.13,8.00,4.50,6.10,0,6,0,4,0,60,20, 23, 143, 16, 5, 21,2,1,45, 152548, 190349, 35135, 109.07, 128892,1864.4,0,0,10358,8286,0,78550,58777,59.25,878,7738,59510,36,12,27,4,4,58,0.43,5.25,100.00,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73998,131572,7.67,368,27397,69382,44,33,34,16,19,85,0.46,2.36,33.33,3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Foxx3",2.41,8.70,6.90,7.90,0,5,5,0,0,60,7, 8, 62, 8, 4, 13,1,2,58, 180564, 262346, 57699, 51.73, 125394,1965.3,0,9661,9992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120326,100026,54.20,803,7395,65683,61,42,33,4,4,32,0.61,0.00,60.00,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60238,162320,0.40,369,50304,59711,26,27,46,3,4,30,0.54,2.67,60.00,2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"YoGirlThrowNeck",1.45,6.60,8.70,6.00,0,1,4,5,0,40,0, 14, 66, 7, 2, 18,1,3,45, 164068, 218983, 22864, 13.72, 109793,1923.6,0,7321,1938,9977,0,73286,108146,53.40,725,13975,54240,26,39,30,0,6,35,0.44,1.44,20.00,208,63801,86909,39.75,419,3317,40447,26,42,21,0,8,25,0.40,0.00,50.00,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26981,23928,11.00,60,5572,15106,14,6,9,0,0,6,0.61,3.83,100.00,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"AeroFW",2.40,8.10,7.00,8.70,2,2,1,4,1,40,0, 27, 63, 13, 4, 18,4,4,59, 253842, 284206, 77466, 87.77, 135934,2108.8,3465,2479,4008,9104,2032,155319,118736,52.25,704,30331,64418,41,29,41,0,17,24,0.62,2.83,75.00,2792,27113,27956,60.00,170,1466,14908,8,10,10,0,2,12,0.50,0.00,0.00,160,27635,47512,60.00,270,2528,18790,9,15,6,0,6,8,0.36,1.00,0.00,684,40067,70649,1.50,172,27601,29579,23,8,14,0,1,10,0.65,4.63,50.00,1389,3708,19353,3.00,12,15540,8239,0,8,16,0,1,9,0.89,2.00,0.00,241,
"fatblackNdirty",4.38,4.40,3.70,11.80,0,9,1,0,0,50,0, 11, 120, 2, 1, 15,2,3,58, 158435, 235456, 51690, 124.10, 103964,1800.1,0,2055,15946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31726,10345,45.00,131,1583,13626,8,2,28,0,1,12,0.77,0.00,100.00,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126709,225111,1.56,628,50107,90338,36,35,90,0,10,108,0.55,3.60,44.44,7185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
