"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"AlexanderRinaldi",425,3.96,6,4.9,13.4,5,2,0,0,3,60,4,12,84,9,0,11,3,2,62,199594,290043,50619,7537,118134,2029.8,10468,0,3381,0,6449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136086,152080,47.8,746,17952,63898,41,30,62,4,4,29,0.59,3.43,60,4039,0,1.6,4.6,-0.5,390,1519.98,-44.24,-33.32,63.95,0.2,0.25,30691,60999,0,145,18831,21457,15,12,12,0,0,10,0.59,2.25,0,1343,0,1,2,-0.15,369.95,2196.9,61.4,34,-130.1,0.23,0.2,32817,76964,9.33,106,13836,32779,4,7,60,0,8,45,0.68,9.14,100,2155,0,0.33,1,0.03,279.37,1298.6,9.72,-24,76.45,0.16,0.11
"SeungW0n",577,3.62,4.00,3.40,8.30,1,4,0,5,0,50,1, 14, 89, 5, 0, 18,2,3,50, 157665, 211472, 46083, 101.30, 118259,1986.7,2071,0,7493,10303,0,77878,80139,59.20,1007,13668,61724,21,20,35,1,10,45,0.48,2.80,40.00,2799,0.00,1.00,2.60,-0.10,266.94,1638.97,-38.18,3.60,-98.73,0.21,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12799,34056,45.00,141,13835,10142,0,6,8,0,0,6,0.35,1.33,0.00,1338,0.00,0.00,0.00,-0.50,428.20,1203.20,-89.40,-113.90,-155.30,0.17,0.14,66988,97277,1.25,297,18580,46393,19,8,40,0,4,38,0.56,7.38,75.00,1941,0.00,1.50,3.25,-0.07,341.42,2105.70,30.13,-46.35,74.55,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PurpDevil",452,2.90,9.90,6.80,9.80,2,1,4,3,0,40,5, 10, 80, 9, 1, 20,0,3,54, 279832, 259855, 31950, 59.60, 135032,2024.4,4418,9274,1782,4770,0,83499,52345,59.33,470,7471,36518,31,15,35,1,3,15,0.65,4.40,66.67,925,66.67,2.67,3.33,-0.13,321.17,0,44.82,128.58,0,0.24,0.36,105505,107628,46.00,608,11829,53244,39,35,26,3,5,43,0.52,1.86,0.00,566,0.00,2.25,3.75,-0.63,402.63,1269.92,-60.75,26.37,2.30,0.21,0.24,57367,75405,48.00,337,6349,28725,13,16,28,0,2,12,0.42,2.56,50.00,1401,0.00,1.50,3.50,-0.40,424.45,1361.60,19.10,-17.75,35.05,0.20,0.20,33461,24477,14.00,119,6301,16545,16,2,9,1,0,10,0.63,12.50,100.00,684,100.00,2.00,11.00,1.00,396.80,0,165.40,290.10,0,0.26,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"envul",322,2.49,5.60,5.50,8.10,0,8,1,1,0,20,8, 35, 114, 4, 2, 14,0,3,49, 165190, 370970, 80791, 141.55, 120118,2190.9,0,4052,15889,1968,0,8116,22620,13.00,43,2935,8860,4,3,7,2,1,13,0.41,3.67,0.00,115,0.00,1.00,2.00,0.00,266.90,932.80,-37.55,-2.00,-77.60,0.18,0.09,29494,47677,61.00,321,12297,24523,13,7,6,3,3,37,0.47,2.71,0.00,257,0.00,3.00,4.00,1.50,460.60,1151.20,85.00,-115.20,-134.90,0.21,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127580,300673,3.13,507,65559,86735,39,45,68,3,31,64,0.51,2.38,25.00,8121,0.00,1.38,2.25,0.13,313.41,1403.25,-9.42,-29.01,-62.47,0.20,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Shayapig",300,2.19,8.70,7.00,6.60,2,7,0,1,0,50,2, 12, 99, 11, 6, 18,1,1,45, 224628, 395057, 75729, 125.12, 132356,2027.1,4498,0,14544,1229,0,8639,8542,57.00,108,1038,6061,3,4,0,0,0,5,0.38,0.75,0.00,0,0.00,1.00,2.00,-0.30,294.20,0,-46.90,-132.10,0,0.22,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59955,105836,49.50,348,14893,26843,19,16,12,2,0,27,0.45,1.94,50.00,734,0.00,3.00,3.50,-0.30,403.85,1390.20,-0.85,-84.60,14.35,0.20,0.25,156034,280679,1.57,589,59798,99452,65,50,54,0,12,67,0.45,2.38,57.14,6773,0.00,2.43,4.29,-0.11,350.64,1837.70,29.29,92.99,38.74,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Infinitos",417,2.84,1.50,5.50,14.10,0,0,0,0,10,40,21, 27, 178, 3, 0, 14,2,3,55, 88009, 230477, 30188, 51.33, 94148,1993,0,0,0,0,19930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88009,230477,9.80,452,30188,94148,15,55,141,21,27,178,0.55,2.84,40.00,3080,10.00,0.30,0.70,0.54,275.58,1358.47,24.12,39.30,5.21,0.16,0.10,
"aidsbot",200,2.16,7.70,6.70,6.80,0,2,8,0,0,60,7, 16, 191, 11, 6, 15,6,5,48, 204143, 309625, 40193, 59.22, 132233,2083.6,0,15024,5812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166621,177893,57.62,1376,17481,98218,65,42,47,5,6,105,0.51,2.67,62.50,1242,12.50,1.88,4.00,1.39,418.20,2217.97,-32.10,76.60,33.82,0.22,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37522,131732,2.00,230,22712,34015,12,25,21,2,10,86,0.41,1.32,50.00,2311,0.00,0.50,2.00,0.05,328.30,1222.85,-7.45,-16.60,-77.85,0.20,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"RPGamerC",376,2.90,7.40,6.10,10.30,0,0,1,5,4,70,0, 8, 81, 18, 4, 18,0,4,54, 182683, 232473, 32151, 19.08, 130698,2109.2,0,2490,0,11635,6967,109294,117377,61.00,1067,11534,75947,40,32,53,0,4,35,0.53,2.91,60.00,493,0.00,2.20,3.80,0.00,309.28,1277.48,35.77,27.03,-3.11,0.22,0.21,35837,27044,47.00,138,6869,19067,20,5,7,0,1,12,0.61,5.40,100.00,309,100.00,5.00,6.00,0.00,439.10,1445.00,0.00,0.00,0.00,0.23,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37552,88052,10.75,143,13748,35684,14,24,43,0,3,34,0.52,2.38,75.00,343,0.00,0.75,2.00,1.13,277.02,1477.25,48.49,-41.12,-102.47,0.17,0.12,
"GamingPegasus",332,2.51,7.00,4.30,3.80,0,3,7,0,0,30,2, 17, 103, 6, 2, 14,5,1,51, 165119, 185469, 29681, 55.40, 102976,1784.9,0,13210,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132571,124092,43.71,953,13756,75234,50,28,33,0,13,73,0.49,2.96,28.57,2049,0.00,1.14,4.86,-0.37,400.44,1830.83,8.89,-35.63,57.22,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32548,61377,0.67,176,15925,27742,20,15,5,2,4,30,0.58,1.67,33.33,1275,0.00,1.00,3.67,-0.03,270.20,2588.80,-36.37,-26.80,-117.90,0.24,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SpiritxWolf",311,2.22,5.20,4.60,5.00,4,0,0,6,0,40,0, 6, 93, 14, 1, 16,5,3,42, 168579, 200989, 31967, 55.88, 115035,1927.4,7670,0,0,11604,0,108725,112342,54.67,1023,20529,75846,38,25,42,0,3,58,0.48,3.20,50.00,522,0.00,1.50,4.17,-0.17,302.37,1334.86,18.23,46.38,-0.82,0.22,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59854,88647,46.75,615,11438,39189,14,21,8,0,3,35,0.28,1.05,25.00,2831,25.00,0.75,2.50,-1.00,395.40,2032.10,-34.30,-99.65,-32.90,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
