"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Faded Spirit",2.8,5.9,5,8.1,0,4,1,4,1,50,0,6,17,3,2,50,42.28
"PrisonWine",3.31,2.50,4.50,12.40,1,0,0,0,9,50,0,3,13,0,4,47,28.38
"MEGAZAK14",1.84,5.70,7.00,7.20,4,6,0,0,0,40,6,18,16,6,3,50,114.87
"Habanaroan Heat",1.81,8.20,9.10,8.30,0,2,8,0,0,60,10,11,22,4,6,44,74.67
"limani171",1.57,3.10,5.40,5.40,0,0,1,7,2,10,0,5,19,3,3,35,17.22
"Manetharen",1.99,8.20,8.10,7.90,4,0,6,0,0,50,0,13,23,1,5,51,23.27
"a0ra",5.87,2.60,3.00,15.00,0,0,2,0,8,70,31,2,10,2,4,59,47.82
"xXGalezXx",2.08,7.40,7.60,8.40,2,7,1,0,0,70,4,9,21,6,4,45,186.63
"Elaantar",2.43,2.20,5.30,10.70,1,0,0,0,9,30,0,5,14,2,2,48,78.08
"TorontoQQbear",2.00,4.20,8.20,12.20,0,0,1,3,6,60,12,5,16,2,3,51,21.20
"serjohnsea",3.74,6.60,4.60,10.60,0,8,2,0,0,80,1,3,17,1,2,51,210.80
"TommyGunzdtd",3.90,2.20,4.00,13.40,0,3,0,0,7,50,0,2,18,3,1,51,92.20
"Leniford",3.04,2.30,5.00,12.90,0,0,3,0,7,60,37,5,10,2,2,50,58.43
"TKN Ezekiel",1.94,5.00,6.20,7.00,3,2,1,2,2,40,3,10,10,2,0,46,98.60
"dedicatestar",4.13,2.40,4.50,16.20,0,0,0,2,8,70,2,7,18,3,2,56,45.70
"WillSmiff6969",2.53,4.40,4.90,8.00,5,3,1,0,1,40,0,14,14,0,4,42,146.98
"Auduro",1.84,1.90,4.30,6.00,3,2,0,0,5,20,0,6,5,0,0,33,23.97
"SexyKnees",3.87,4.30,3.80,10.40,5,0,2,0,3,40,29,8,12,2,3,49,198.45
"SwimInMyPoole",1.43,3.90,8.10,7.70,0,2,6,2,0,50,5,8,24,3,1,34,20.72
"xxmochomanxx",1.95,8.50,8.50,8.10,0,2,6,2,0,40,3,4,12,1,2,54,52.28
"cyclops34",2.00,3.70,5.80,7.90,3,6,1,0,0,40,0,6,23,3,3,41,151.75
"Aashur",2.31,5.80,6.40,9.00,7,0,2,1,0,40,4,4,14,3,2,44,338.15
"Lily Eledwhen",3.54,9.00,4.80,8.00,6,1,2,0,1,40,16,13,14,1,6,47,206.52
"WonderSack",2.57,7.00,6.50,9.70,7,3,0,0,0,60,6,22,24,5,6,44,249.32
"Juandavid95",3.21,6.60,4.70,8.50,5,0,2,2,1,60,11,17,18,3,2,41,33.25
"mojojojo1515",2.00,2.40,7.00,11.60,1,0,0,1,8,30,5,6,15,3,1,44,37.77
"SpreadEmCheeks",1.44,4.00,8.50,8.20,1,2,2,2,3,40,1,7,14,3,3,42,50.02
"SnapTekken",1.95,5.00,6.30,7.30,3,6,1,0,0,30,0,0,12,0,3,45,92.20
"Brumpelstiltskin",2.90,5.10,4.90,9.10,3,0,4,0,3,20,1,4,14,0,2,50,31.35
"WcwCxArmy",1.05,4.00,9.90,6.40,0,1,6,3,0,40,0,11,14,5,4,36,29.17
"Spawn of Geese",4.03,1.90,4.00,14.20,0,1,0,0,9,40,12,3,18,0,2,51,34.58
"demonshamrock",2.97,8.80,6.20,9.60,0,0,6,4,0,20,0,5,13,1,4,60,58.95
"JustQ33",1.67,1.60,7.50,10.90,4,0,0,0,6,20,11,1,15,4,1,47,116.98
"Tubs XII",2.80,6.00,6.40,11.90,0,2,1,7,0,80,16,8,20,3,4,49,62.97
"StealthySquid",2.71,5.40,6.80,13.00,3,0,2,1,4,60,16,13,21,4,3,50,113.37
"KoadRill",3.03,3.90,6.20,14.90,0,1,0,3,6,60,8,6,18,3,3,51,109.50
"SoundOfViolence",2.71,9.10,6.80,9.30,7,0,2,1,0,40,0,9,15,3,3,52,92.82
"Treints",2.93,7.10,5.50,9.00,3,7,0,0,0,30,0,14,11,0,0,55,179.47
"jdmsqueek",3.81,5.10,3.60,8.60,5,1,0,4,0,70,9,14,18,3,5,45,151.97
"chucho421",1.53,4.10,9.20,10.00,1,4,1,0,4,40,6,4,21,1,4,39,99.80
"leekOfLagend",3.72,3.70,3.60,9.70,0,0,1,5,4,60,0,3,12,1,1,54,72.30
"Pray2YoMama",2.90,3.10,6.00,14.30,0,0,2,1,7,60,8,7,21,1,4,50,39.02
"xx251000",3.02,6.90,5.00,8.20,3,1,4,2,0,50,0,16,17,2,1,48,83.27
"crustation112",2.56,8.70,7.20,9.70,0,6,3,1,0,50,1,20,20,1,1,59,84.05
"bloodred king",2.71,5.30,5.80,10.40,4,2,1,2,1,70,0,10,15,3,2,44,64.98
"dodgertown2015",3.45,1.90,3.80,11.20,0,1,0,0,9,40,1,2,11,2,3,56,56.20
"Mikeandnike1",2.84,6.60,5.10,7.90,0,0,3,7,0,60,2,14,22,4,4,48,107.93
