"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Faded Spirit",2.8,5.9,5,8.1,0,4,1,4,1,50,0,14,117,6,3,17,3,2,50,160528,206517,56704,2537,110378,1802.1
"PrisonWine",3.31,2.50,4.50,12.40,1,0,0,0,9,50,0, 8, 94, 3, 1, 13,0,4,47, 106662, 293316, 46283, 28.38, 94206,2043.1
"MEGAZAK14",1.94,9.00,6.70,4.00,1,2,4,3,0,70,2, 6, 97, 20, 3, 16,3,1,41, 183322, 212572, 33281, 48.55, 118151,1725.9
"limani171",2.75,4.40,4.80,8.80,0,0,0,8,2,60,1, 12, 126, 12, 2, 21,0,4,43, 142909, 152241, 33509, 13.72, 115245,1997.9
"Manetharen",2.03,6.70,7.60,8.70,5,1,4,0,0,60,0, 20, 109, 11, 0, 22,1,4,50, 227510, 243048, 16189, 24.65, 109964,1911.1
"a0ra",3.77,1.20,4.00,13.90,1,1,0,0,8,60,25, 21, 152, 1, 0, 11,2,2,52, 74471, 138707, 98234, 44.62, 87742,1839.2
"xXGalezXx",1.83,6.50,7.80,7.80,1,8,1,0,0,60,4, 22, 85, 6, 3, 19,4,3,46, 177797, 346933, 139558, 184.83, 119861,2002.5
"Elaantar",2.43,2.20,5.30,10.70,1,0,0,0,9,30,0, 23, 190, 5, 0, 14,2,2,48, 102364, 220206, 21038, 78.08, 95183,2000.7
"TorontoQQbear",3.09,3.50,5.70,14.10,0,0,0,1,9,70,31, 20, 150, 5, 6, 18,4,2,56, 153664, 160241, 97332, 13.73, 110458,1964
"serjohnsea",1.30,5.20,8.70,6.10,2,7,0,1,0,20,0, 16, 101, 4, 1, 11,1,2,49, 136922, 275828, 55576, 125.38, 101119,1778.8
"TommyGunzdtd",5.31,1.70,3.60,17.40,0,0,0,0,10,70,0, 19, 152, 8, 2, 18,1,2,51, 89658, 193836, 52377, 34.43, 109231,2048.6
"Leniford",3.04,2.30,5.00,12.90,0,0,3,0,7,60,37, 20, 180, 5, 4, 10,2,2,50, 111777, 193980, 21391, 58.43, 93687,1894.3
"TKN Ezekiel",2.19,4.80,6.90,10.30,1,0,2,5,2,40,7, 25, 141, 8, 1, 14,2,1,43, 188103, 243828, 51998, 43.17, 122738,2156.9
"dedicatestar",2.89,1.80,6.20,16.10,0,1,1,0,8,50,3, 22, 139, 3, 3, 13,1,4,53, 90004, 157514, 20672, 60.72, 100124,1886
