"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Faded Spirit",2.31,7,6.5,8,0,3,5,2,0,60,1,6,123,6,4,14,0,2,45,197824,220219,37452,3049,123693,1946,0,10012,4752,4696,0,47072,47827,68,462,7022,110221,117760,57.6,987,4817,0,0,0,0,0,40531,54632,3,132,25613,0,0,0,0,0
"PrisonWine",3.31,2.50,4.50,12.40,1,0,0,0,9,50,0, 8, 94, 3, 1, 13,0,4,47, 106662, 293316, 46283, 28.38, 94206,2043.1,2432,0,0,0,17999,0,0,0,0,0,0,0,0,0,0,23261,44481,23.00,149,465,0,0,0,0,0,83401,248835,6.89,285,45818
"MEGAZAK14",1.55,6.40,7.30,4.90,5,5,0,0,0,40,5, 10, 110, 14, 2, 16,1,0,43, 181055, 344842, 88737, 92.57, 112216,1877.4,8883,0,9891,0,0,0,0,0,0,0,0,0,0,0,0,80838,150000,56.40,773,26460,100217,194842,1.00,344,62277,0,0,0,0,0
"Habanaroan Heat",2.11,5.10,7.50,10.70,1,5,4,0,0,60,14, 21, 170, 7, 3, 23,3,5,45, 188279, 305938, 57543, 123.73, 124512,2157,1957,8715,10898,0,0,0,0,0,0,0,76832,87337,49.25,580,8207,13321,27228,33.00,72,5458,98126,191373,3.60,343,43878,0,0,0,0,0
"limani171",2.22,3.20,5.00,7.90,0,0,0,10,0,30,0, 10, 112, 10, 4, 14,1,3,44, 143639, 147012, 23684, 21.22, 114098,2031.5,0,0,0,20315,0,143639,147012,59.10,1670,23684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manetharen",2.03,6.70,7.60,8.70,5,1,4,0,0,60,0, 20, 109, 11, 0, 22,1,4,50, 227510, 243048, 16189, 24.65, 109964,1911.1,8739,9019,1353,0,0,0,0,0,0,0,125797,106819,32.25,451,8437,93260,115582,43.20,595,5800,8453,20647,12.00,23,1952,0,0,0,0,0
"a0ra",2.79,3.70,7.30,16.70,0,0,2,0,8,60,25, 22, 262, 4, 3, 27,2,5,55, 185777, 242172, 30023, 117.22, 123633,2371,0,5959,0,0,17751,0,0,0,0,0,87366,59183,54.00,388,7346,0,0,0,0,0,0,0,0,0,0,98411,182989,5.38,211,22677
"xXGalezXx",1.82,6.80,7.80,7.40,2,7,1,0,0,50,3, 19, 79, 7, 2, 22,5,2,46, 184676, 352516, 140897, 151.25, 122711,2094.1,4576,1987,14378,0,0,0,0,0,0,0,21647,32392,39.00,114,3086,38041,66912,45.50,314,19871,124988,253212,1.43,558,117940,0,0,0,0,0
"Elaantar",2.54,2.50,5.00,10.20,1,0,0,0,9,30,0, 23, 189, 6, 0, 14,2,2,48, 109216, 207165, 18460, 63.60, 96759,2006.2,1215,0,0,0,18847,0,0,0,0,0,0,0,0,0,0,3938,13369,37.00,80,0,0,0,0,0,0,105278,193796,6.78,302,18460
"TorontoQQbear",3.00,3.50,5.00,11.50,0,1,0,1,8,60,36, 8, 134, 6, 2, 18,2,2,51, 141661, 118442, 51735, 26.62, 96143,1920.6,0,0,2123,1639,15444,7128,9058,23.00,67,524,0,0,0,0,0,0,0,0,0,0,14303,17776,2.00,0,12630,120230,91608,3.88,225,38581
"serjohnsea",3.34,3.80,6.40,17.60,0,0,0,5,5,60,0, 6, 122, 5, 0, 22,3,3,55, 116359, 333505, 136501, 62.03, 116610,2029.7,0,0,0,9143,11154,50270,143739,15.40,336,53843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66089,189766,10.00,337,82658
"TommyGunzdtd",2.57,1.60,4.90,11.00,0,2,0,0,8,40,0, 5, 143, 5, 1, 10,3,2,48, 73567, 206453, 57960, 41.48, 94533,1945.9,0,0,3907,0,15552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26676,57387,0.00,102,4472,46891,149066,5.00,233,53488
"Leniford",3.04,2.30,5.00,12.90,0,0,3,0,7,60,37, 20, 180, 5, 4, 10,2,2,50, 111777, 193980, 21391, 58.43, 93687,1894.3,0,6209,0,0,12734,0,0,0,0,0,57617,55461,40.67,316,3851,0,0,0,0,0,0,0,0,0,0,54160,138519,7.86,210,17540
"TKN Ezekiel",1.95,5.50,8.30,10.70,4,1,1,3,1,30,11, 40, 126, 14, 4, 17,2,3,46, 240984, 304928, 49226, 108.60, 138756,2373,10629,1256,1601,8503,1741,118086,107364,28.67,585,20413,6233,10202,53.00,93,166,97167,138229,38.50,813,17337,15543,25796,6.00,44,3284,3955,23337,11.00,54,8026
"dedicatestar",3.05,2.10,5.90,15.90,0,0,0,0,10,60,4, 51, 178, 4, 1, 20,1,7,55, 62290, 179277, 38896, 61.68, 115349,2215,0,0,0,0,22150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62290,179277,1.20,240,38896
"WillSmiff6969",3.17,5.40,5.40,11.70,0,4,3,0,3,40,0, 20, 108, 3, 1, 19,0,2,52, 140731, 293885, 49676, 103.15, 124836,2355.9,0,6816,9961,0,6782,0,0,0,0,0,53052,66138,43.33,403,10245,0,0,0,0,0,60102,150208,2.75,196,22421,27577,77539,7.67,64,17010
"Auduro",2.66,4.40,5.80,11.00,2,4,0,1,3,60,0, 7, 132, 11, 5, 17,1,3,38, 154916, 295434, 87426, 47.97, 127280,2281.5,3245,0,8669,1945,8956,16007,21690,41.00,108,2700,0,0,0,0,0,12997,47073,42.50,227,15100,44899,155437,1.00,269,64536,81013,71234,1.67,300,5090
"SexyKnees",3.52,3.80,3.30,7.80,8,0,1,0,1,40,24, 10, 158, 11, 3, 13,2,4,43, 143630, 202235, 18397, 197.30, 113107,2018,17442,1217,0,0,1521,0,0,0,0,0,5420,4726,59.00,128,380,133302,180866,46.00,1503,16417,0,0,0,0,0,4908,16643,9.00,27,1600
"SwimInMyPoole",2.17,4.90,5.30,6.60,0,0,1,9,0,50,2, 18, 61, 14, 2, 23,3,5,39, 148070, 197691, 35807, 13.83, 120275,1990.2,0,2003,0,17899,0,127229,176649,43.44,1445,32978,20841,21042,50.00,140,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
