"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"Faded Spirit",3.31,5.9,3.9,7,3,2,4,1,0,70,2,6,109,14,3,17,2,3,48,189115,199043,38821,3794,119190,1911.6,5446,7419,3599,2652,0,19613,27127,55,204,5206,14635,4,5,17,0,2,17,0.48,4.2,100,1607,85028,72288,61.25,761,5475,48281,28,14,28,0,2,47,0.52,0,75,406,56096,54556,61.67,587,7554,34653,15,11,16,1,1,24,0.5,2.82,66.67,1513,28378,45072,2,107,20586,21621,12,9,9,1,1,21,0.39,2.33,50,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PrisonWine",3.31,2.50,4.50,12.40,1,0,0,0,9,50,0, 8, 94, 3, 1, 13,0,4,47, 106662, 293316, 46283, 28.38, 94206,2043.1,2432,0,0,0,17999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23261,44481,23.00,149,465,13829,10,9,8,0,0,7,0.42,2.00,0.00,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83401,248835,6.89,285,45818,80377,15,36,116,0,8,87,0.47,3.64,55.56,1500,
"MEGAZAK14",1.55,6.40,7.30,4.90,5,5,0,0,0,40,5, 10, 110, 14, 2, 16,1,0,43, 181055, 344842, 88737, 92.57, 112216,1877.4,8883,0,9891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80838,150000,56.40,773,26460,50581,20,33,18,3,7,47,0.37,1.15,40.00,1458,100217,194842,1.00,344,62277,61635,44,40,31,2,3,63,0.46,1.88,40.00,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Habanaroan Heat",2.67,6.90,6.40,10.20,1,4,5,0,0,80,18, 19, 153, 6, 2, 23,1,3,51, 198962, 271911, 44667, 106.37, 127276,2047.9,2686,9528,8265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106242,102920,48.20,764,11511,60751,40,28,42,11,7,73,0.53,0.00,100.00,450,27447,38291,54.00,206,3234,15909,6,9,9,1,2,20,0.36,1.67,100.00,185,65273,130700,5.25,262,29922,50616,23,27,51,6,10,60,0.54,2.74,50.00,5747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"limani171",2.22,3.20,5.00,7.90,0,0,0,10,0,30,0, 10, 112, 10, 4, 14,1,3,44, 143639, 147012, 23684, 21.22, 114098,2031.5,0,0,0,20315,0,143639,147012,59.10,1670,23684,114098,32,50,79,0,10,112,0.44,2.22,30.00,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Manetharen",2.03,6.70,7.60,8.70,5,1,4,0,0,60,0, 20, 109, 11, 0, 22,1,4,50, 227510, 243048, 16189, 24.65, 109964,1911.1,8739,9019,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125797,106819,32.25,451,8437,52800,31,36,54,0,13,48,0.58,0.00,75.00,692,93260,115582,43.20,595,5800,50780,33,32,25,0,6,53,0.40,1.81,60.00,660,8453,20647,12.00,23,1952,6384,3,8,8,0,1,8,0.73,1.38,0.00,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"xXGalezXx",1.82,6.80,7.80,7.40,2,7,1,0,0,50,3, 19, 79, 7, 2, 22,5,2,46, 184676, 352516, 140897, 151.25, 122711,2094.1,4576,1987,14378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21647,32392,39.00,114,3086,10040,5,10,8,1,2,8,0.48,0.00,0.00,823,38041,66912,45.50,314,19871,24745,12,19,9,2,0,8,0.47,1.11,0.00,2687,124988,253212,1.43,558,117940,87926,51,49,57,0,17,63,0.45,2.20,71.43,5565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Elaantar",2.54,2.50,5.00,10.20,1,0,0,0,9,30,0, 23, 189, 6, 0, 14,2,2,48, 109216, 207165, 18460, 63.60, 96759,2006.2,1215,0,0,0,18847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3938,13369,37.00,80,0,7150,3,3,4,0,0,4,0.26,2.33,100.00,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105278,193796,6.78,302,18460,89609,22,47,98,0,23,185,0.50,2.55,22.22,3012,
"TorontoQQbear",2.34,3.30,6.10,11.00,0,0,1,1,8,40,25, 16, 153, 2, 2, 11,1,2,49, 141883, 174853, 31631, 55.18, 94344,2007,0,2201,0,2244,15625,13911,25540,16.00,40,3936,11732,6,4,13,0,1,37,0.49,4.75,100.00,140,14945,15958,46.00,154,2307,11706,3,3,9,2,3,14,0.35,0.00,100.00,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113027,133355,3.63,257,25388,70906,24,54,88,23,12,102,0.51,2.07,25.00,2871,
"serjohnsea",1.96,2.30,7.40,12.20,1,0,0,6,3,30,0, 6, 110, 3, 0, 17,1,3,51, 107331, 300232, 95532, 75.32, 101267,1943.6,2027,0,0,11181,6228,65993,159622,20.67,613,44018,58522,17,45,60,0,2,65,0.47,1.71,16.67,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14179,27082,41.00,133,6684,9329,0,10,5,0,0,8,0.33,0.50,0.00,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27159,113528,12.00,162,44830,33416,6,19,57,0,4,37,0.59,3.32,66.67,904,
