"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Faded Spirit",461,2.88,5.1,4,6.4,4,2,3,1,0,60,3,8,104,11,2,16,2,2,44,166527,200334,46547,5203,113100,1882.7,7604,4972,3599,2652,0,19613,27127,55,204,5206,14635,4,5,17,0,2,17,0.48,4.2,100,1607,0,1,3,0.38,288.4,999.8,46.75,-61.35,67.95,0.19,0.13,45223,39621,61,516,2999,29892,13,8,16,0,2,30,0.41,3.63,66.67,224,0,1,4.33,0.37,433.13,0,-14.5,99.27,0,0.21,0.21,73313,88514,56.25,765,17756,46952,22,18,22,2,3,36,0.48,2.44,50,3104,0,1.25,2.75,0.38,435.65,2533.15,10.22,-16.45,83.1,0.22,0.26,28378,45072,2,107,20586,21621,12,9,9,1,1,21,0.39,2.33,50,268,0,2,4,-0.1,314.25,2091.5,9,69.9,-135.6,0.21,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PrisonWine",200,3.31,2.50,4.50,12.40,1,0,0,0,9,50,0, 8, 94, 3, 1, 13,0,4,47, 106662, 293316, 46283, 28.38, 94206,2043.1,2432,0,0,0,17999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23261,44481,23.00,149,465,13829,10,9,8,0,0,7,0.42,2.00,0.00,203,0.00,2.00,4.00,-2.30,361.70,1025.00,-67.90,-106.70,-80.70,0.20,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83401,248835,6.89,285,45818,80377,15,36,116,0,8,87,0.47,3.64,55.56,1500,0.00,0.44,0.67,-0.39,259.29,1451.44,-24.15,-5.65,43.53,0.16,0.10,
"MEGAZAK14",394,1.42,5.80,7.60,5.00,5,5,0,0,0,40,6, 14, 117, 14, 1, 15,1,1,42, 184795, 369040, 85553, 90.83, 114902,1947.8,8883,0,10595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80838,150000,56.40,773,26460,50581,20,33,18,3,7,47,0.37,1.15,40.00,1458,0.00,0.80,1.80,1.52,437.50,2628.90,19.24,-24.84,-114.95,0.20,0.24,103957,219040,1.20,385,59093,64321,38,43,32,3,7,70,0.45,1.63,40.00,3992,0.00,2.00,3.40,-0.14,290.24,1527.63,-21.36,-47.54,-10.75,0.20,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Habanaroan Heat",454,1.76,5.90,8.60,9.20,4,0,6,0,0,40,2, 2, 136, 9, 3, 15,3,3,48, 189138, 255126, 30179, 106.15, 119411,2044.8,6337,14111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136485,168366,51.17,832,22140,78746,37,62,77,2,2,97,0.53,1.84,33.33,3261,0.00,1.50,2.00,0.18,421.57,1355.78,-11.12,-28.10,-52.62,0.19,0.17,52653,86760,45.75,595,8039,40665,22,24,15,0,0,39,0.39,1.54,50.00,3108,0.00,1.50,2.75,-1.10,386.75,0,-83.10,-13.78,0,0.22,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"limani171",303,2.22,3.20,5.00,7.90,0,0,0,10,0,30,0, 10, 112, 10, 4, 14,1,3,44, 143639, 147012, 23684, 21.22, 114098,2031.5,0,0,0,20315,0,143639,147012,59.10,1670,23684,114098,32,50,79,0,10,112,0.44,2.22,30.00,1273,10.00,0.80,1.80,0.00,308.94,1312.99,13.47,-27.51,-6.21,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Manetharen",285,2.03,6.70,7.60,8.70,5,1,4,0,0,60,0, 20, 109, 11, 0, 22,1,4,50, 227510, 243048, 16189, 24.65, 109964,1911.1,8739,9019,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125797,106819,32.25,451,8437,52800,31,36,54,0,13,48,0.58,2.36,75.00,692,25.00,1.75,3.00,-1.35,357.38,1180.15,-9.37,-18.02,-28.68,0.19,0.27,93260,115582,43.20,595,5800,50780,33,32,25,0,6,53,0.40,1.81,60.00,660,0.00,1.80,2.00,-0.18,419.14,1839.93,5.34,22.48,-8.97,0.19,0.25,8453,20647,12.00,23,1952,6384,3,8,8,0,1,8,0.73,1.38,0.00,127,0.00,0.00,0.00,0.60,309.10,0,-85.70,-479.70,0,0.20,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"a0ra",300,3.25,2.60,6.00,16.90,0,0,4,0,6,40,17, 8, 197, 4, 0, 20,0,2,57, 144943, 194259, 51209, 105.08, 113021,2136,0,8682,0,0,12678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94511,82160,49.50,625,14447,47877,22,25,45,6,1,38,0.52,2.68,50.00,3589,0.00,1.00,2.00,-1.25,418.35,1250.50,-55.60,-74.67,-18.28,0.19,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50432,112099,1.50,61,36762,65144,4,35,124,11,7,159,0.59,3.66,33.33,2716,0.00,0.17,0.33,0.14,292.50,1317.97,36.37,70.86,-77.96,0.17,0.08,
"xXGalezXx",200,1.82,6.80,7.80,7.40,2,7,1,0,0,50,3, 19, 79, 7, 2, 22,5,2,46, 184676, 352516, 140897, 151.25, 122711,2094.1,4576,1987,14378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21647,32392,39.00,114,3086,10040,5,10,8,1,2,8,0.48,1.30,0.00,823,0.00,0.00,0.00,-1.50,345.50,1073.40,-48.80,-224.80,-147.30,0.20,0.24,38041,66912,45.50,314,19871,24745,12,19,9,2,0,8,0.47,1.11,0.00,2687,100.00,1.00,1.50,0.25,413.40,1173.20,7.25,-162.30,-85.95,0.20,0.20,124988,253212,1.43,558,117940,87926,51,49,57,0,17,63,0.45,2.20,71.43,5565,14.29,1.14,4.86,-0.01,292.84,1361.15,-17.06,11.66,102.23,0.20,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Elaantar",200,2.54,2.50,5.00,10.20,1,0,0,0,9,30,0, 23, 189, 6, 0, 14,2,2,48, 109216, 207165, 18460, 63.60, 96759,2006.2,1215,0,0,0,18847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3938,13369,37.00,80,0,7150,3,3,4,0,0,4,0.26,2.33,100.00,804,0.00,1.00,2.00,-1.20,395.00,0,-52.10,78.50,0,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105278,193796,6.78,302,18460,89609,22,47,98,0,23,185,0.50,2.55,22.22,3012,0.00,0.67,1.22,-0.09,292.87,1370.46,18.03,-39.37,-64.85,0.17,0.12,
"TorontoQQbear",516,2.34,3.30,6.10,11.00,0,0,1,1,8,40,25, 16, 153, 2, 2, 11,1,2,49, 141883, 174853, 31631, 55.18, 94344,2007,0,2201,0,2244,15625,13911,25540,16.00,40,3936,11732,6,4,13,0,1,37,0.49,4.75,100.00,140,0.00,1.00,5.00,0.00,369.80,961.60,54.65,-12.40,-7.40,0.17,0.13,14945,15958,46.00,154,2307,11706,3,3,9,2,3,14,0.35,4.00,100.00,300,0.00,1.00,2.00,-1.80,472.80,1335.40,2.90,-57.40,179.10,0.17,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113027,133355,3.63,257,25388,70906,24,54,88,23,12,102,0.51,2.07,25.00,2871,0.00,0.38,1.38,-0.11,270.78,1302.10,3.58,-57.40,32.81,0.17,0.15,
