"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"UltraFluffyKitty",2.85,3.1,4.6,10,0,0,0,6,4,50,4,7,9,1,4,45,27.97
"Ichanoggin",2.55,4.50,4.90,8.00,5,5,0,0,0,60,8,9,16,3,3,43,64.43
"GandalfElFuchsia",2.05,8.60,7.80,7.40,3,1,6,0,0,20,3,16,17,1,4,48,64.72
"IvanYeung0814",2.71,6.50,6.80,11.90,0,3,3,2,2,40,13,8,17,1,3,53,57.73
"SmaiF",2.01,3.80,7.10,10.50,0,2,1,4,3,20,3,2,9,4,2,49,109.53
"JMachicote",2.97,9.80,6.00,8.00,0,4,6,0,0,40,24,11,19,2,2,49,84.67
"IAmTheNightOwl",3.48,7.90,4.60,8.10,0,1,6,2,1,50,18,7,17,4,1,52,62.88
"Ashumawah",1.19,3.80,6.30,3.70,4,0,3,2,1,20,1,4,11,0,0,36,34.05
"MICAHRIFIC",1.33,5.20,11.00,9.40,0,7,0,0,3,40,4,2,14,1,1,44,77.22
"elhombrellama",2.66,5.90,4.70,6.60,6,1,3,0,0,50,8,9,13,1,1,43,131.13
"IndividualxSlip",2.16,4.60,7.70,12.00,3,0,0,1,6,70,1,13,15,3,6,45,25.78
"I Despise TR8RS",1.66,6.90,7.90,6.20,4,4,1,1,0,40,1,7,11,2,2,43,72.58
"dictatortomato",2.52,4.50,5.40,9.10,1,1,1,4,3,40,0,5,18,1,0,42,165.90
"SuperTactical",4.00,8.10,3.60,6.30,1,0,9,0,0,80,0,10,15,1,2,40,32.28
"Alex Sloan",4.66,7.70,3.20,7.20,1,1,6,0,2,30,0,8,20,2,3,53,259.77
"kingjaktomok",1.88,8.30,7.70,6.20,1,4,3,2,0,60,9,13,20,1,3,41,120.02
"Uketske",1.16,2.00,4.90,3.70,3,0,0,1,3,0,2,4,2,0,1,39,26.00
"JayDiamond14",3.04,6.00,4.50,7.70,5,4,0,0,1,60,5,10,9,6,4,48,119.23
"Firstest",1.59,5.60,8.30,7.60,4,2,2,1,1,30,0,7,16,1,2,44,27.98
"JhayMar12",3.02,5.00,5.00,10.10,1,2,2,2,3,70,2,6,15,1,1,48,145.88
"wonderrland",2.04,9.60,7.60,5.90,2,0,5,3,0,20,11,7,20,3,1,53,20.58
"Hogon Bordesk",4.43,6.40,4.40,13.10,0,3,3,2,2,40,2,9,19,0,6,62,73.18
"BugHulmandragora",3.06,9.70,7.00,11.70,5,3,0,1,1,50,2,2,22,3,1,61,112.32
"anuss crazy boom",2.84,6.40,4.40,6.10,6,2,2,0,0,60,0,15,19,3,1,46,95.18
"Sir miaw",1.57,5.40,7.40,6.20,0,3,7,0,0,30,10,6,11,1,1,50,74.03
"LtnBob",2.55,2.10,4.90,10.40,0,2,0,2,6,40,5,1,16,0,3,50,66.85
"SilentxWolf",2.41,3.10,5.10,9.20,0,1,0,3,6,50,11,5,9,2,4,37,84.40
"Kaitomaru",2.03,5.60,6.30,7.20,1,0,2,7,0,20,0,3,14,0,0,46,122.40
"FaildotEXE",3.44,7.20,5.50,11.70,5,3,1,1,0,40,0,6,13,2,2,53,293.75
"Nioe",2.32,7.80,7.40,9.40,2,1,6,0,1,30,22,5,14,0,3,49,79.38
"Jeraldo Forest",1.78,3.40,7.40,9.80,1,3,0,5,0,33,0,4,13,2,2,46,26.52
