"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"UltraFluffyKitty",2.85,3.1,4.6,10,0,0,0,6,4,50,4,7,9,1,4,45,27.97,1879.5
"Ichanoggin",1.85,6.00,5.90,4.90,2,8,0,0,0,40,8,10,16,2,2,40,58.42,1876.3
"GandalfElFuchsia",2.05,8.60,7.80,7.40,3,1,6,0,0,20,3,16,17,1,4,48,64.72,2328.4
"IvanYeung0814",2.50,7.90,7.60,11.10,1,4,0,5,0,30,11,5,16,0,5,58,109.73,2161.2
"Worst SA Player ",2.57,5.90,5.60,8.50,2,1,0,2,5,60,5,5,15,2,0,53,111.17,1665.7
"JMachicote",4.32,9.40,5.00,12.20,0,5,5,0,0,80,29,11,23,0,4,60,159.72,2194.1
"IAmTheNightOwl",2.49,8.40,6.30,7.30,2,6,2,0,0,60,9,6,11,2,2,48,53.67,1740.2
"Ashumawah",1.69,7.00,7.10,5.00,4,0,4,0,2,30,0,9,8,1,1,56,54.23,1670.5
"MICAHRIFIC",1.62,3.30,7.30,8.50,0,4,1,3,2,60,4,10,24,3,4,35,85.57,1893.6
"elhombrellama",3.07,3.30,4.30,9.90,0,5,4,0,1,60,11,14,18,0,2,44,54.23,1969.7
"IndividualxSlip",2.16,4.60,7.70,12.00,3,0,0,1,6,70,1,13,15,3,6,45,25.78,2058.1
"I Despise TR8RS",3.42,7.20,4.30,7.50,4,2,1,3,0,40,0,16,20,1,2,46,25.52,2136.1
"dictatortomato",2.38,2.10,4.70,9.10,1,2,0,2,5,30,0,4,16,1,1,38,85.48,1879.7
"SuperTactical",1.87,5.70,6.20,5.90,3,1,6,0,0,50,0,4,14,1,2,34,39.78,1990.1
"Alex Sloan",3.21,7.10,3.90,5.40,8,2,0,0,0,70,0,8,13,3,4,36,88.08,1658.8
"kingjaktomok",1.88,8.30,7.70,6.20,1,4,3,2,0,60,9,13,20,1,3,41,120.02,1933.5
"Uketske",1.20,2.30,5.60,4.40,3,0,1,1,3,0,2,4,2,0,1,40,38.87,1806.25
"JayDiamond14",2.48,4.90,5.00,7.50,6,3,1,0,0,30,10,11,18,4,2,40,185.55,2075.6
"Firstest",1.03,4.90,9.80,5.20,4,1,3,2,0,40,0,12,21,2,3,37,24.48,1913.4
"JhayMar12",2.32,6.80,6.00,7.10,4,3,2,0,1,40,1,7,15,2,1,45,134.83,1927.5
"Iuxanna",2.29,8.70,6.60,6.40,3,1,6,0,0,40,18,13,14,2,3,46,38.50,2047.3
"Hogon Bordesk",4.98,7.80,4.10,12.60,0,0,3,6,1,40,1,12,21,0,7,62,45.10,2170.2
"anuss crazy boom",2.84,6.40,4.40,6.10,6,2,2,0,0,60,0,15,19,3,1,46,95.18,1893.5
"BugHulmandragora",3.27,7.70,6.20,12.60,3,2,0,4,1,60,9,5,25,4,4,55,144.52,2172.8
"Sir miaw",1.53,3.80,7.20,7.20,0,2,7,0,1,40,8,7,13,4,2,47,32.52,1653.1
"LtnBob",2.82,2.30,6.00,14.60,1,2,0,0,7,40,7,3,15,1,1,53,85.33,1967.9
"SilentxWolf",1.69,4.40,6.50,6.60,2,0,4,1,3,30,7,4,14,2,4,34,59.78,2196.9
"Kaitomaru",2.03,5.60,6.30,7.20,1,0,2,7,0,20,0,3,14,0,0,46,122.40,2080.5
"FaildotEXE",4.14,8.90,3.70,6.40,3,1,5,1,0,70,0,8,18,2,2,49,84.20,1933.5
"Nioe",2.15,4.60,5.30,6.80,2,0,8,0,0,60,14,5,17,2,1,49,111.20,1724.7
"Jeraldo Forest",1.64,3.50,8.40,10.30,1,3,0,6,0,30,0,5,15,4,2,43,26.52,2019.2
