"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"UltraFluffyKitty",2.85,3.1,4.6,10,0,0,0,6,4,50,4,12,147,7,0,9,1,4,45,125464,213225,50220,1678,99524,1879.5,0,0,0,10130,8665,64296,96437,39.5,731,19707,55860,25,24,28,0,6,65,0.39,2.21,50,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61168,116788,7,184,30513,43664,6,22,72,4,6,82,0.51,3.55,50,1272
"Ichanoggin",3.02,7.10,5.30,8.90,5,3,2,0,0,70,13, 72, 128, 15, 2, 14,2,7,44, 206314, 280972, 66832, 111.18, 132763,2156.3,10654,4352,6557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52589,33882,44.50,282,5076,27914,16,10,29,2,9,28,0.52,0.00,100.00,499,95801,144611,48.60,914,22415,65806,30,27,40,6,49,60,0.37,2.59,80.00,2983,57924,102479,1.00,220,39341,39043,25,16,20,5,14,40,0.53,2.81,33.33,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GandalfElFuchsia",2.05,8.60,7.80,7.40,3,1,6,0,0,20,3, 4, 93, 16, 3, 17,1,4,48, 319666, 328827, 149186, 64.72, 149355,2328.4,7276,12699,3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174042,169600,55.00,1143,58155,78037,46,46,32,2,3,51,0.46,0.00,16.67,1426,115784,110367,56.33,768,77001,50333,31,23,27,1,1,30,0.51,2.52,33.33,1759,29840,48860,0.00,113,14030,20985,9,9,15,0,0,12,0.47,2.67,0.00,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"IvanYeung0814",3.12,8.30,6.90,13.20,1,4,0,5,0,20,13, 10, 153, 7, 1, 19,0,6,61, 264785, 358607, 91125, 96.92, 144232,2313.8,1647,0,10260,11231,0,148343,122018,52.60,952,23811,71842,42,36,68,6,1,66,0.61,3.06,20.00,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6453,30440,42.00,132,9816,8385,2,4,7,1,0,3,0.47,2.25,0.00,264,109989,206149,1.50,369,57498,64005,39,29,57,6,9,84,0.63,3.31,25.00,3735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Worst SA Player ",2.08,5.00,7.20,10.00,2,0,1,2,5,60,8, 18, 128, 9, 0, 11,1,1,51, 184236, 233822, 35778, 40.50, 105697,1894.2,3754,1937,0,3187,10064,28000,22789,8.50,121,2007,16809,6,10,10,3,4,22,0.73,1.60,50.00,53,9254,13123,26.00,96,542,8715,0,6,5,0,0,4,0.19,0.00,100.00,99,52500,66926,57.50,357,13713,22528,13,15,8,2,0,21,0.53,1.40,0.00,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94482,130984,8.60,247,19516,57645,31,41,77,3,14,81,0.53,2.63,80.00,1902,
"JMachicote",2.63,8.50,6.40,8.30,0,0,5,5,0,30,11, 10, 111, 11, 0, 12,1,1,47, 218383, 210310, 18535, 37.18, 131318,2034.1,0,9388,0,10953,0,148859,125579,50.00,1051,14302,74665,50,38,52,1,3,56,0.54,2.68,20.00,1437,69524,84731,37.40,648,4233,56653,35,26,31,10,7,55,0.40,0.00,40.00,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"IAmTheNightOwl",3.06,7.00,6.60,13.20,0,3,5,0,2,60,14, 15, 132, 14, 1, 22,4,5,49, 199699, 313769, 67760, 107.17, 129921,2225.4,0,10517,7242,0,4495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112447,136290,43.20,715,25708,64445,40,32,52,7,10,52,0.43,0.00,60.00,4907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57750,112490,25.33,96,26734,41268,22,24,38,4,2,48,0.52,2.50,33.33,1115,29502,64989,14.50,122,15318,24208,8,10,42,3,3,32,0.60,5.00,100.00,408,
"Ashumawah",1.75,7.20,8.50,7.70,8,0,2,0,0,70,1, 16, 102, 14, 4, 16,0,2,37, 268434, 335801, 37193, 117.37, 135792,2126.7,16525,4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84112,64827,29.00,254,12345,31215,26,24,17,0,1,26,0.46,0.00,100.00,3535,184322,270974,36.25,1275,24848,104577,46,61,60,1,15,76,0.34,1.74,62.50,3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"MICAHRIFIC",1.69,3.10,6.80,8.40,1,4,0,3,2,50,4, 10, 175, 8, 1, 23,3,3,36, 114799, 207193, 31776, 102.48, 101853,1881.9,1825,0,7651,5475,3868,29211,65708,24.33,243,9729,29018,9,28,25,1,1,31,0.34,1.21,33.33,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14310,19989,34.00,101,462,8626,4,8,7,0,0,7,0.48,1.38,0.00,1539,47490,86076,5.25,205,17817,46322,16,25,27,3,7,90,0.30,1.72,75.00,2419,23788,35420,7.50,68,3768,17887,2,7,25,0,2,47,0.51,3.86,50.00,591,
"elhombrellama",3.20,4.10,4.10,9.00,7,3,0,0,0,70,12, 9, 134, 9, 1, 18,5,6,41, 145233, 273093, 62267, 189.60, 109758,1916.9,12986,0,6183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98948,172941,42.29,934,41165,72367,25,31,53,7,4,88,0.37,2.52,57.14,10095,46285,100152,0.67,155,21102,37391,16,10,37,5,5,46,0.49,5.30,100.00,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
