"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"UltraFluffyKitty",175,2.85,3.1,4.6,10,0,0,0,6,4,50,4,12,147,7,0,9,1,4,45,125464,213225,50220,1678,99524,1879.5,0,0,0,10130,8665,64296,96437,39.5,731,19707,55860,25,24,28,0,6,65,0.39,2.21,50,406,0,0.67,3,0,288.82,2619.05,-7.17,23.77,116.17,0.2,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61168,116788,7,184,30513,43664,6,22,72,4,6,82,0.51,3.55,50,1272,0,0.25,1,-0.16,286.23,1091.77,-14,-44.55,-6.39,0.16,0.12
"Ichanoggin",333,2.32,7.70,5.70,5.50,4,0,6,0,0,60,11, 6, 126, 5, 2, 13,2,4,43, 196521, 235209, 45598, 60.50, 112155,2078.8,6960,13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142482,148975,37.83,593,21358,77476,66,39,36,5,5,88,0.48,2.62,66.67,631,16.67,2.67,5.33,-1.08,422.67,2002.20,4.27,-21.45,71.70,0.19,0.22,54039,86234,41.50,470,24240,34679,11,18,19,6,1,38,0.32,1.67,50.00,2999,0.00,0.25,1.50,-1.53,364.33,3578.00,-102.67,19.58,-173.20,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GandalfElFuchsia",164,2.05,8.60,7.80,7.40,3,1,6,0,0,20,3, 4, 93, 16, 3, 17,1,4,48, 319666, 328827, 149186, 64.72, 149355,2328.4,7276,12699,3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174042,169600,55.00,1143,58155,78037,46,46,32,2,3,51,0.46,1.70,16.67,1426,0.00,1.83,3.33,2.15,431.27,1559.68,62.82,80.93,18.12,0.21,0.31,115784,110367,56.33,768,77001,50333,31,23,27,1,1,30,0.51,2.52,33.33,1759,33.33,2.00,4.00,0.90,457.30,1472.97,20.40,157.27,23.73,0.23,0.28,29840,48860,0.00,113,14030,20985,9,9,15,0,0,12,0.47,2.67,0.00,698,100.00,1.00,4.00,0.00,279.50,1285.70,0.00,0.00,0.00,0.20,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"IvanYeung0814",104,2.85,5.20,6.00,11.90,1,2,1,5,1,10,13, 8, 147, 5, 2, 16,0,3,58, 230797, 300439, 68351, 85.17, 124635,2201.3,1647,1261,5622,11165,2318,153550,110606,56.60,979,20421,68381,34,30,65,5,1,64,0.59,3.30,20.00,2646,0.00,1.80,3.20,-0.34,311.28,1227.44,-1.03,23.49,16.69,0.22,0.27,7107,8334,54.00,108,33,5852,2,6,1,1,0,8,0.19,0.50,0.00,33,0.00,0.00,0.00,0.50,372.80,0,-66.80,-151.00,0,0.19,0.19,6453,30440,42.00,132,9816,8385,2,4,7,1,0,3,0.47,2.25,0.00,264,0.00,0.00,0.00,-1.70,372.40,0,-118.50,55.40,0,0.21,0.10,50661,124232,1.00,192,35836,31610,12,14,25,4,5,41,0.60,2.64,0.00,1840,0.00,1.50,1.50,-0.70,301.50,1291.35,-63.85,-7.45,-63.45,0.19,0.19,13026,26827,13.00,54,2245,10407,2,6,21,2,2,31,0.72,3.83,0.00,327,0.00,0.00,0.00,-1.10,280.40,1053.10,-36.25,-45.05,217.80,0.16,0.13,
"Worst SA Player ",365,2.08,5.00,7.20,10.00,2,0,1,2,5,60,8, 18, 128, 9, 0, 11,1,1,51, 184236, 233822, 35778, 40.50, 105697,1894.2,3754,1937,0,3187,10064,28000,22789,8.50,121,2007,16809,6,10,10,3,4,22,0.73,1.60,50.00,53,0.00,0.50,2.00,1.15,284.05,0,-0.72,-11.47,0,0.20,0.28,9254,13123,26.00,96,542,8715,0,6,5,0,0,4,0.19,0.83,100.00,99,0.00,0.00,0.00,-0.60,366.20,913.30,-33.10,-282.60,38.30,0.15,0.12,52500,66926,57.50,357,13713,22528,13,15,8,2,0,21,0.53,1.40,0.00,376,0.00,2.50,2.50,2.30,449.70,2445.70,141.00,-23.00,-16.80,0.23,0.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94482,130984,8.60,247,19516,57645,31,41,77,3,14,81,0.53,2.63,80.00,1902,0.00,1.20,2.00,0.11,261.46,1393.17,11.23,-74.31,61.33,0.18,0.16,
"JMachicote",151,2.90,6.80,4.80,7.10,0,1,2,7,0,60,16, 16, 140, 16, 2, 18,2,2,41, 151200, 191811, 28081, 31.75, 124456,1926.2,0,3841,2025,13396,0,113748,137398,56.43,1344,22392,89113,49,34,51,10,7,93,0.43,2.94,71.43,849,0.00,1.57,4.00,0.00,315.31,1552.46,-5.97,11.69,-42.34,0.22,0.19,24314,29983,28.50,291,2118,23880,12,7,11,4,6,21,0.29,3.29,50.00,317,0.00,1.50,1.50,-2.95,338.60,2012.70,-112.00,-4.10,16.20,0.19,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13138,24430,6.00,48,3571,11463,7,7,9,2,3,26,0.53,2.29,0.00,739,0.00,1.00,2.00,0.50,323.30,1107.00,-32.90,-69.20,-94.10,0.20,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"IAmTheNightOwl",230,1.73,3.90,7.70,9.40,0,3,2,3,2,50,12, 12, 110, 5, 1, 11,3,3,44, 141411, 232531, 44020, 50.67, 97127,1851.7,0,3601,6547,4468,3901,23782,39617,20.67,97,3643,19573,7,15,20,2,9,28,0.40,1.80,33.33,529,33.33,0.67,1.00,0.00,274.47,0,-29.73,-59.65,0,0.16,0.15,35035,42753,44.50,243,5355,19708,10,21,10,2,0,20,0.48,0.95,0.00,143,0.00,0.50,1.00,0.45,373.75,1853.30,-72.35,-60.50,-19.50,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54316,106473,2.67,138,31578,38869,18,25,39,4,2,34,0.50,2.28,66.67,1819,0.00,1.67,2.33,-0.27,274.40,1129.73,-19.33,22.87,-96.53,0.19,0.15,28278,43688,12.50,95,3444,18977,4,16,25,4,1,28,0.38,1.81,100.00,549,0.00,0.00,0.00,0.93,302.95,1476.20,25.38,-10.63,31.50,0.15,0.14,
"Ashumawah",150,1.67,8.20,8.70,6.30,6,0,4,0,0,50,1, 19, 103, 11, 2, 14,0,0,38, 292015, 286496, 40775, 286.48, 134817,2119.9,11256,9943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155206,124813,28.50,561,25522,59936,42,43,30,0,2,52,0.40,1.67,75.00,14269,25.00,2.25,2.75,-2.08,335.00,1202.55,-73.10,-119.65,-36.15,0.20,0.26,136809,161683,47.33,1063,15253,74881,40,44,33,1,17,51,0.36,1.66,33.33,2920,16.67,1.50,2.50,0.57,458.85,2370.27,39.05,-11.83,76.10,0.22,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"MICAHRIFIC",194,1.86,3.00,6.30,8.70,2,4,0,2,2,60,3, 10, 182, 7, 1, 25,2,4,37, 114175, 208447, 32772, 116.07, 102244,1886.9,4091,0,7651,3259,3868,14781,40158,26.50,116,6446,16663,5,16,18,0,0,25,0.44,1.44,50.00,1525,0.00,0.50,1.50,-0.78,268.90,1714.70,-76.52,-82.68,301.15,0.18,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28116,46793,28.00,263,4741,21372,7,15,17,0,1,20,0.37,1.60,50.00,2429,0.00,0.50,1.00,-1.55,348.90,1211.45,-59.35,-121.20,-113.85,0.18,0.16,47490,86076,5.25,205,17817,46322,16,25,27,3,7,90,0.30,1.72,75.00,2419,25.00,0.50,1.50,0.05,307.85,1941.70,29.43,15.65,-211.55,0.19,0.14,23788,35420,7.50,68,3768,17887,2,7,25,0,2,47,0.51,3.86,50.00,591,50.00,0.00,0.00,0.57,285.00,988.95,29.73,-70.88,189.13,0.17,0.16,
"elhombrellama",500,2.36,2.60,4.20,7.30,2,2,0,0,6,60,17, 14, 147, 8, 2, 14,1,3,39, 82972, 161442, 23425, 100.15, 84067,1685.5,2911,0,2610,0,11334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18709,27105,40.00,248,6157,16575,2,3,10,4,1,18,0.23,4.00,100.00,1917,0.00,0.00,0.00,-2.20,415.25,0,-50.80,148.10,0,0.18,0.17,11569,23197,23.00,0,7486,11536,6,9,1,2,0,17,0.33,0.78,0.00,927,0.00,1.00,1.50,0.00,266.20,0,0.00,0.00,0,0.19,0.17,52694,111140,7.33,155,9782,55956,18,30,62,11,13,112,0.44,2.67,66.67,3165,0.00,0.67,1.17,0.22,267.23,1554.23,10.17,1.85,144.77,0.16,0.11,
