"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Halo043",1.28,5.7,7.1,3.4,2,2,5,1,0,20,0,8,10,1,1,34,45.57
"Chelliie",1.57,5.50,9.40,9.30,1,3,2,1,3,30,6,2,15,3,3,43,43.68
"Secret Sweater",2.36,6.50,7.30,10.70,1,9,0,0,0,50,1,12,13,0,1,45,243.12
"koreanproo",3.00,9.90,5.80,7.50,2,1,7,0,0,70,0,6,15,1,1,48,200.08
"98 joe",1.35,6.20,11.50,9.30,1,4,0,3,2,30,0,8,11,3,2,39,50.98
"daxrebel182",1.57,1.80,7.60,10.10,0,0,1,0,9,20,15,8,12,1,2,39,144.87
"Combat264",2.76,3.60,6.20,13.50,0,0,0,2,8,40,0,4,24,7,4,52,15.53
"Zola x3",3.52,1.20,4.00,12.90,0,0,0,0,10,50,0,5,20,4,2,45,158.32
"redfire200",2.87,7.70,6.10,9.80,6,1,1,2,0,50,10,13,19,2,2,46,94.48
"SimplyOscar",3.35,9.20,4.60,6.20,0,0,2,8,0,30,0,8,6,0,2,53,41.93
"DuffMasters",2.76,4.50,4.50,7.90,6,3,0,0,0,67,11,16,16,1,1,37,93.23
"mexicaneaner69",2.16,3.20,5.00,7.60,0,0,0,3,7,10,0,1,9,2,2,40,224.65
"belcoot",1.95,3.90,9.30,14.20,0,0,1,0,9,50,0,11,25,1,4,41,38.82
"gustavarcus",1.48,3.10,4.00,2.80,3,7,0,0,0,30,2,2,11,1,0,24,144.50
"Jeonginator",0.70,2.20,8.90,4.00,4,0,3,0,3,50,1,8,19,0,1,21,47.17
"KlazzifiedKing",3.84,8.50,4.50,8.80,6,3,1,0,0,40,6,9,14,1,4,46,72.77
"cuzzin",2.09,10.30,8.20,6.80,3,1,2,4,0,60,7,12,19,1,3,50,61.83
"MrTheToplyn",2.63,3.40,7.10,15.30,0,0,1,3,6,40,0,4,16,0,3,45,208.12
"Coutgandi",0.75,3.20,10.60,4.70,4,0,1,5,0,10,0,5,8,4,1,31,73.37
"Xerogodz43",2.07,5.40,5.80,6.60,2,1,2,2,0,14,2,3,9,1,2,54,76.05
"Callisto Jupiter",1.48,5.30,10.60,10.40,0,0,3,5,2,20,0,5,16,3,1,45,50.77
"Jmess",2.15,7.30,7.20,8.20,3,0,6,1,0,40,0,7,16,1,0,52,109.05
"suchAthug1249",1.54,2.70,7.60,9.00,2,0,2,2,4,60,0,5,14,1,2,40,57.17
"thePoIarBear",2.69,5.00,7.40,14.90,3,1,0,0,6,80,6,11,18,1,5,50,125.40
"Caid",2.12,5.60,5.00,5.00,0,8,1,0,0,22,0,4,9,2,1,58,82.12
"NAJPANKAEW",1.24,6.90,10.80,6.50,1,2,5,2,0,30,1,4,15,2,1,42,30.37
"tornado3585",2.16,8.10,8.00,9.20,5,2,0,3,0,30,0,6,14,1,1,49,70.38
"The Honored Teem",2.23,9.10,7.50,7.60,6,2,1,1,0,30,0,9,13,2,0,49,80.32
"alphadog192",2.07,0.30,1.40,2.60,0,0,0,1,2,33,2,0,2,1,0,54,15.92
"kuckers",2.09,8.70,8.20,8.40,0,2,4,4,0,40,0,13,15,4,1,48,51.90
"charmingthomas",1.73,4.40,6.30,6.50,0,0,2,8,0,30,1,11,13,3,3,38,20.28
"Mexcrusader",1.77,9.20,8.30,5.50,3,7,0,0,0,40,0,10,23,2,1,43,255.95
"Fire40",1.69,7.40,9.40,8.50,2,0,2,6,0,40,0,9,19,2,1,41,69.78
"Centricus",2.06,6.10,7.20,8.70,1,3,6,0,0,50,2,4,10,0,1,40,32.97
"GamingRaiju",3.46,10.10,5.40,8.60,2,2,0,6,0,50,0,12,24,3,1,51,64.72
"Pickupmypooptoo",1.61,3.70,7.50,8.40,0,0,5,5,0,50,0,10,22,3,3,39,27.38
"Bacon777",3.28,11.20,6.10,8.80,0,0,4,6,0,80,2,15,14,3,2,49,28.80
"Gramer",1.54,7.10,10.10,8.50,3,2,0,5,0,60,1,20,20,0,8,41,82.33
"C69 NotSoSneaky",1.22,4.80,9.20,6.40,0,3,2,2,3,20,0,4,10,0,0,49,70.37
"pee on yo face",1.26,3.30,9.30,8.40,4,4,0,1,1,10,0,4,13,4,3,40,85.80
