"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"Halo043",2.09,5.9,6.9,8.5,6,2,0,1,1,40,0,1,86,5,1,10,1,3,45,159095,236779,34785,3472,112965,1974.1,11774,0,3717,2119,2131,12709,24531,12,63,2298,10559,3,8,11,0,0,11,0.52,1.75,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101990,122777,36,860,14367,68292,35,32,43,0,1,57,0.39,2.44,66.67,2052,27231,61660,0.5,109,12151,21501,13,21,16,0,0,11,0.5,1.38,0,367,17165,27811,7,51,5969,12613,8,8,15,0,0,7,0.66,2.88,0,554
"Chelliie",2.86,4.30,5.90,12.60,0,3,2,0,5,50,19, 24, 165, 3, 1, 15,1,3,46, 184789, 238823, 69836, 61.87, 116438,2141,0,4401,7476,0,9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49547,29336,21.50,186,2130,24141,10,12,31,5,1,27,0.43,0.00,50.00,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78217,116282,1.00,186,28704,44893,23,20,39,4,2,42,0.43,3.10,66.67,1695,57025,93205,3.00,97,39002,47404,10,27,56,10,21,96,0.52,2.44,40.00,1473,
"Secret Sweater",2.01,6.50,6.90,7.40,1,7,2,0,0,50,0, 14, 62, 7, 2, 18,0,2,39, 139469, 273350, 79214, 104.85, 110568,1868.7,1533,5070,12084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46267,57947,32.50,227,5784,29937,22,21,20,0,1,12,0.41,0.00,50.00,521,12551,19946,39.00,87,13648,8408,4,3,7,0,0,7,0.35,3.67,100.00,244,80651,195457,1.14,451,59782,72223,39,45,47,0,13,43,0.39,1.91,42.86,5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"koreanproo",2.38,9.40,7.20,7.70,3,0,6,1,0,50,0, 0, 87, 7, 1, 16,1,4,48, 256485, 231921, 10307, 80.35, 123981,2073.8,4850,14103,0,1785,0,18880,20160,35.00,124,0,10817,6,2,8,0,0,9,0.42,7.00,100.00,171,198609,158730,35.50,926,9436,86922,65,53,59,0,0,66,0.50,0.00,50.00,3610,38996,53031,29.00,236,871,26242,23,17,10,0,0,12,0.46,1.94,33.33,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"98 joe",1.48,7.20,10.80,8.80,4,3,2,1,0,60,1, 8, 88, 10, 2, 26,1,4,35, 195414, 290161, 41296, 109.95, 132976,2355.4,11200,3912,5889,2553,0,12721,31343,17.00,155,2973,14467,2,15,17,1,0,13,0.37,1.27,100.00,0,37938,38919,51.00,239,6013,23628,15,15,15,0,2,15,0.34,0.00,50.00,260,99184,145571,45.75,562,22737,64495,43,44,34,0,3,42,0.33,1.75,75.00,5332,45571,74328,8.00,78,9573,30386,12,34,22,0,3,18,0.37,1.00,33.33,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"daxrebel182",2.09,3.10,8.70,15.10,0,0,0,2,8,40,14, 29, 290, 3, 0, 19,2,2,53, 119380, 314693, 31790, 62.33, 108879,2193.6,0,0,0,5098,16838,35057,79833,13.50,142,9175,27204,9,17,36,2,10,63,0.54,2.65,50.00,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84323,234860,9.00,308,22615,81675,22,70,115,12,19,227,0.53,1.96,37.50,2168,
"Combat264",3.05,2.90,6.50,16.90,0,0,1,0,9,50,0, 6, 114, 9, 2, 30,5,3,53, 149159, 191136, 94376, 12.72, 113565,2186.4,0,2198,0,0,19666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8317,22781,43.00,126,1237,9028,1,11,2,0,0,9,0.14,0.00,0.00,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140842,168355,3.22,306,93139,104537,28,54,167,0,6,105,0.56,3.61,55.56,715,
"Zola x3",2.47,1.30,4.70,10.30,0,0,1,0,9,20,0, 6, 110, 5, 1, 12,1,1,47, 58827, 167861, 34539, 106.70, 84771,1890.6,0,2181,0,0,16725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,23949,24.00,148,2885,10314,1,7,6,0,1,3,0.41,0.00,0.00,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48821,143912,4.44,199,31654,74457,12,40,97,0,5,107,0.48,2.73,22.22,5824,
"redfire200",2.36,4.80,6.90,11.50,3,0,0,4,3,50,2, 10, 114, 6, 0, 20,2,0,43, 158007, 234160, 42146, 32.83, 114245,2099.5,6479,0,0,8910,5606,70407,109153,18.00,346,25614,48468,18,36,60,0,2,43,0.52,2.17,25.00,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58331,69419,33.67,421,8736,38952,25,19,21,0,4,34,0.38,2.42,66.67,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29269,55588,12.33,107,7796,26825,5,14,34,2,4,37,0.35,2.79,66.67,362,
"SimplyOscar",3.57,8.10,3.70,5.10,0,0,2,8,0,40,0, 9, 51, 11, 2, 11,1,2,49, 147424, 137181, 21943, 16.63, 114352,1931.9,0,3280,0,16039,0,128761,114083,42.63,1262,18520,99013,69,30,48,0,9,43,0.49,3.90,50.00,956,18663,23098,24.00,145,3423,15339,12,7,3,0,0,8,0.47,0.00,0.00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
