"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Halo043",259,2.23,9.3,7.9,8.3,7,1,2,0,0,40,0,8,97,9,1,17,0,3,47,250823,265635,35398,3277,134140,2346.7,16229,4880,2358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52430,39449,31,274,5528,28461,24,11,15,0,2,24,0.54,3.55,50,505,0,4,4,-2.05,408.3,1319.55,-18.65,78.8,56,0.21,0.24,163792,200650,38.29,955,28361,88457,52,56,54,0,6,64,0.42,1.89,28.57,2670,0,1.71,2.14,-0.91,431.13,1378.75,-0.47,-39.67,-76.18,0.19,0.21,34601,25536,21,16,1509,17222,17,12,14,0,0,9,0.57,2.58,100,102,100,5,6,0,285.4,1342.8,0,0,0,0.2,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelliie",83,2.49,5.30,7.20,12.60,0,4,3,0,3,60,12, 16, 146, 4, 2, 18,4,2,45, 215932, 255301, 63561, 55.42, 126326,2266.2,0,6637,9062,0,6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76847,49483,23.33,289,5160,37024,16,21,42,5,2,38,0.43,2.76,66.67,806,0.00,1.33,2.67,0.00,311.67,1167.87,15.33,-7.77,13.27,0.18,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89419,136171,0.75,219,30902,52842,30,31,40,4,2,51,0.45,2.26,50.00,1862,0.00,1.50,2.50,0.00,310.70,1874.30,-4.43,-13.38,56.65,0.20,0.18,49666,69647,2.67,128,27499,36460,7,20,44,3,12,57,0.48,2.55,66.67,657,0.00,0.67,1.67,0.80,275.87,1125.25,38.87,-30.55,-38.25,0.18,0.14,
"Secret Sweater",53,1.83,6.40,7.60,7.50,0,7,3,0,0,40,0, 14, 63, 5, 2, 16,0,3,37, 146096, 296571, 77809, 108.40, 115687,1969,0,7606,12084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65445,101114,30.67,378,18027,43464,25,31,28,0,1,20,0.34,1.71,33.33,978,33.33,2.00,3.67,-2.57,344.43,1171.60,-86.13,-4.43,-125.60,0.18,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80651,195457,1.14,451,59782,72223,39,45,47,0,13,43,0.39,1.91,42.86,5526,14.29,1.57,2.14,-0.13,274.59,3016.10,-21.59,49.99,-146.80,0.20,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"koreanproo",56,2.22,8.40,6.70,6.50,3,0,6,1,0,40,0, 0, 77, 7, 1, 13,1,3,47, 223438, 209319, 9904, 72.35, 110642,1912,4850,12485,0,1785,0,18880,20160,35.00,124,0,10817,6,2,8,0,0,9,0.42,7.00,100.00,171,0.00,2.00,3.00,-1.83,279.40,0,1.20,93.00,0,0.19,0.27,165562,136128,31.67,752,9033,73583,55,48,47,0,0,56,0.48,2.13,33.33,3130,0.00,2.00,4.00,-0.95,322.55,1533.20,-97.53,-28.94,71.15,0.20,0.25,38996,53031,29.00,236,871,26242,23,17,10,0,0,12,0.46,1.94,33.33,1040,66.67,1.67,3.00,-1.83,352.53,0,-55.13,-65.23,0,0.20,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"98 joe",29,1.48,7.20,10.80,8.80,4,3,2,1,0,60,1, 8, 88, 10, 2, 26,1,4,35, 195414, 290161, 41296, 109.95, 132976,2355.4,11200,3912,5889,2553,0,12721,31343,17.00,155,2973,14467,2,15,17,1,0,13,0.37,1.27,100.00,0,0.00,0.00,0.00,1.43,189.90,954.00,-65.90,-74.80,60.90,0.17,0.07,37938,38919,51.00,239,6013,23628,15,15,15,0,2,15,0.34,2.00,50.00,260,0.00,2.00,2.50,1.40,449.25,1385.10,44.55,72.85,-164.55,0.19,0.19,99184,145571,45.75,562,22737,64495,43,44,34,0,3,42,0.33,1.75,75.00,5332,0.00,2.75,3.50,1.43,466.52,1096.45,70.83,-124.97,-154.45,0.18,0.16,45571,74328,8.00,78,9573,30386,12,34,22,0,3,18,0.37,1.00,33.33,1005,0.00,1.33,1.00,-0.27,254.90,2660.70,-17.22,-8.80,-17.80,0.18,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"daxrebel182",200,2.26,2.50,8.10,15.80,0,0,0,1,9,70,12, 20, 267, 3, 2, 29,2,6,45, 108019, 302015, 41914, 36.98, 118915,2255.3,0,0,0,1789,20764,7320,24502,17.00,34,2163,8259,2,10,11,1,2,24,0.45,1.30,0.00,79,0.00,1.00,2.00,0.00,275.20,0,-26.90,-148.65,0,0.16,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100699,277513,8.33,464,39751,110656,23,71,147,11,18,243,0.45,2.39,77.78,2140,0.00,0.56,0.67,-0.40,265.73,1020.94,-10.93,-21.28,40.69,0.16,0.09,
"Combat264",69,2.25,2.50,5.10,9.00,0,0,1,0,9,60,0, 7, 119, 5, 1, 13,1,1,44, 79924, 161120, 32320, 49.98, 79316,1619.3,0,1472,0,0,14721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7422,8207,59.00,116,1529,7716,0,3,3,0,0,9,0.13,1.00,100.00,22,0.00,0.00,0.00,0.50,472.90,0,18.00,35.20,0,0.17,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72502,152913,4.67,144,30791,71600,25,48,87,0,7,110,0.48,2.33,55.56,2977,0.00,0.67,1.33,0.30,268.08,2037.10,8.49,-14.58,2.02,0.16,0.11,
"Zola x3",0,2.47,1.30,4.70,10.30,0,0,1,0,9,20,0, 6, 110, 5, 1, 12,1,1,47, 58827, 167861, 34539, 106.70, 84771,1890.6,0,2181,0,0,16725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,23949,24.00,148,2885,10314,1,7,6,0,1,3,0.41,1.00,0.00,578,0.00,0.00,0.00,-4.90,429.60,1316.60,-48.30,-4.90,-132.90,0.19,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48821,143912,4.44,199,31654,74457,12,40,97,0,5,107,0.48,2.73,22.22,5824,0.00,0.22,0.33,-0.72,247.78,1547.30,-26.71,-49.49,-187.24,0.16,0.07,
"redfire200",121,2.51,8.70,6.70,8.10,1,4,1,2,2,40,3, 9, 128, 6, 1, 14,3,3,52, 196542, 259034, 60181, 66.45, 128855,2087.7,1780,1597,8272,4949,4279,57739,64520,32.00,264,12328,30616,18,22,25,1,1,22,0.46,1.95,0.00,888,0.00,1.50,2.50,-0.40,300.75,1059.75,45.80,-12.25,-223.08,0.20,0.21,13254,16560,52.00,115,1514,8226,4,4,5,0,3,8,0.56,2.25,0.00,73,0.00,1.00,3.00,1.40,453.50,0,22.90,-82.10,0,0.21,0.23,19919,15391,35.00,114,1905,11286,9,5,10,0,0,9,0.42,3.80,100.00,151,0.00,3.00,3.00,-0.80,421.20,0,22.30,10.80,0,0.19,0.26,85733,115094,2.00,342,33141,59501,51,22,20,1,3,51,0.59,3.23,75.00,2153,50.00,3.00,4.25,0.05,317.05,1366.80,39.87,0.30,78.83,0.25,0.22,19897,47469,10.00,93,11293,19226,5,14,21,1,2,38,0.58,1.86,0.00,722,0.00,0.50,1.50,1.48,212.00,909.20,-38.73,73.17,-3.07,0.17,0.11,
"SimplyOscar",18,3.57,8.10,3.70,5.10,0,0,2,8,0,40,0, 9, 51, 11, 2, 11,1,2,49, 147424, 137181, 21943, 16.63, 114352,1931.9,0,3280,0,16039,0,128761,114083,42.63,1262,18520,99013,69,30,48,0,9,43,0.49,3.90,50.00,956,37.50,1.63,5.38,0.00,324.66,1345.50,7.17,9.22,34.70,0.22,0.20,18663,23098,24.00,145,3423,15339,12,7,3,0,0,8,0.47,2.14,0.00,42,0.00,2.00,3.00,-2.55,382.85,1822.10,-16.65,-38.05,-151.40,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
