"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"GladeGleamBright",3.16,4.6,4.5,9.6,0,5,2,0,3,70,19,10,17,2,2,52,75.38
"Kiyoon",3.00,5.40,4.30,7.50,1,7,0,0,2,40,29,2,8,2,3,57,77.28
"ChamGyoUuk",2.57,4.60,3.70,4.90,6,2,0,2,0,70,22,16,10,6,3,41,77.80
"Slooshi8",1.75,5.40,5.60,4.40,0,0,8,1,1,20,11,10,5,4,3,56,42.50
"Linsanityy",3.32,3.30,3.40,8.00,0,6,4,0,0,30,21,6,9,6,2,64,159.22
"KiWiKiD",4.17,1.50,3.50,13.10,0,0,0,0,10,60,39,1,14,2,3,56,42.35
"lron Pyrite",2.49,3.80,5.10,8.90,0,0,3,0,7,40,28,7,14,4,5,47,73.63
"SE MaGeRdAnGeR",3.68,2.60,3.10,8.80,0,10,0,0,0,50,32,6,13,2,2,64,196.82
"RNG Wuxxx",1.41,5.20,6.30,3.70,0,1,1,8,0,40,11,9,8,4,4,45,30.85
"Ablazeolive",2.58,6.60,5.20,6.80,1,0,8,1,0,50,22,6,11,4,4,53,72.55
"Ness Wizard",4.43,5.00,2.30,5.20,8,1,1,0,0,80,20,13,17,9,6,43,45.87
"Cris",2.15,7.60,7.90,9.40,9,0,0,0,1,70,15,25,15,2,9,52,94.92
"PandaTV Xiaoxin",2.64,5.40,5.30,8.60,5,1,4,0,0,70,21,11,20,2,7,47,41.98
"Duocek",2.52,4.30,4.60,7.30,0,1,7,1,1,50,8,9,11,6,3,55,83.92
"Twisch",2.94,4.90,3.30,4.80,0,0,0,9,1,40,5,11,6,3,3,49,38.17
"Poppers OP",2.95,6.90,4.00,4.90,0,2,7,1,0,60,17,21,14,4,4,55,51.75
"Shiphtur",5.04,6.40,2.70,7.20,0,0,9,0,1,90,33,11,14,3,4,52,50.38
