"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"GladeGleamBright",2.26,5.6,5.7,7.3,1,6,2,0,1,40,16,27,128,7,0,10,4,3,58,176707,262792,55302,4911,114910,1721.1
"Kiyoon",2.48,4.80,4.80,7.10,2,8,0,0,0,60,30, 45, 143, 5, 1, 6,2,4,51, 140238, 253663, 55563, 84.47, 104804,1691.4
"ChamGyoUuk",1.51,3.10,5.30,4.90,10,0,0,0,0,70,19, 28, 105, 9, 2, 13,3,0,40, 163992, 202852, 41103, 48.55, 95230,1465.1
"Slooshi8",2.75,6.30,4.40,5.80,0,0,6,4,0,50,12, 21, 79, 15, 1, 14,6,5,55, 221786, 184425, 29785, 60.35, 128155,1761.5
"Linsanityy",2.07,3.80,4.60,5.70,1,0,9,0,0,50,24, 27, 134, 9, 2, 7,9,5,47, 173343, 156031, 12981, 39.17, 111552,1615.3
"KiWiKiD",3.63,1.70,4.30,13.90,1,1,0,0,8,60,37, 69, 254, 4, 1, 13,1,2,61, 81015, 196039, 77643, 48.18, 100388,1967
"lron Pyrite",1.75,2.70,6.30,8.30,0,0,1,0,9,20,31, 99, 298, 5, 0, 11,3,3,49, 182888, 169155, 9617, 47.58, 100390,1876.4
"SE MaGeRdAnGeR",3.85,5.10,3.40,8.00,0,9,1,0,0,60,24, 64, 105, 3, 0, 8,4,5,63, 127817, 207815, 66560, 86.63, 98525,1455.4
"Ohqute",3.41,4.70,4.90,12.00,0,1,0,5,4,60,39, 64, 230, 21, 3, 9,1,4,69, 148167, 167602, 27820, 47.32, 113346,1714.3
"Ablazeolive",2.59,6.90,5.40,7.10,1,0,8,1,0,60,25, 44, 126, 10, 3, 9,6,5,51, 213155, 184186, 26153, 54.63, 122474,1717.2
"Ness Wizard",4.57,7.10,2.80,5.70,7,3,0,0,0,60,20, 92, 149, 13, 3, 12,9,7,46, 177731, 196708, 37792, 68.35, 151335,1904.2
"Cris",3.02,6.50,5.70,10.70,6,0,4,0,0,70,20, 42, 157, 13, 0, 15,4,7,61, 231009, 281698, 47322, 157.93, 137302,1877.8
"PandaTV Xiaoxin",2.48,5.80,5.20,7.10,4,1,5,0,0,60,21, 28, 138, 7, 0, 21,1,5,45, 192635, 233913, 46479, 51.62, 123100,1784.3
"Duocek",3.15,3.70,3.30,6.70,1,1,8,0,0,70,20, 52, 140, 12, 1, 16,3,5,50, 179109, 150858, 22882, 46.72, 111212,1593.2
"CJE Kramer",3.87,8.10,3.90,7.00,0,3,0,7,0,50,9, 56, 110, 16, 3, 13,2,2,61, 225642, 188192, 37405, 65.68, 130808,1783.6
"Poppers OP",3.07,6.10,4.10,6.50,1,5,4,0,0,70,12, 25, 135, 4, 3, 11,3,5,57, 146089, 229707, 58468, 71.22, 106947,1590
"Shiphtur",5.32,6.60,2.80,8.30,1,0,8,0,1,70,30, 39, 167, 20, 3, 12,5,5,57, 191289, 185814, 40508, 50.33, 132917,1803.6
"Arcsecond",2.85,7.20,4.80,6.50,0,4,6,0,0,50,12, 52, 62, 10, 2, 10,5,5,61, 198163, 227212, 46945, 81.60, 120500,1701.8
"Beasted",3.70,7.20,4.00,7.60,4,4,1,1,0,70,10, 39, 75, 15, 4, 14,3,7,62, 198727, 261364, 71804, 82.17, 128629,1762.3
"Contractz",3.58,5.20,4.50,10.90,2,7,1,0,0,70,30, 73, 126, 7, 1, 14,0,7,61, 167946, 301709, 96714, 147.48, 121095,1872.5
"OG DoubleG",4.05,4.60,3.90,11.20,2,0,1,4,3,80,26, 43, 157, 14, 2, 13,0,2,52, 150438, 173205, 31395, 56.62, 121539,1809.8
"Solarshower",3.88,2.20,3.40,11.00,0,0,0,1,9,40,21, 84, 253, 4, 0, 15,5,4,63, 63459, 182018, 40081, 21.20, 82548,1751.9
"Celend",2.29,3.00,4.80,8.00,0,1,6,0,3,40,50, 38, 221, 6, 0, 7,4,6,52, 127095, 172537, 35626, 33.38, 95081,1651
"Sudzzi",2.62,4.80,4.20,6.20,5,0,5,0,0,60,4, 12, 88, 10, 3, 17,5,6,44, 207695, 231901, 47692, 65.93, 119543,1701.3
"keanefo",4.15,6.10,2.60,4.70,6,0,4,0,0,100,14, 22, 94, 30, 2, 11,10,6,48, 179909, 158128, 38822, 25.53, 119758,1459.7
"Nightblue3",3.02,6.30,4.70,7.90,0,9,0,0,1,70,29, 62, 194, 6, 1, 13,4,5,57, 149639, 212247, 63218, 149.42, 116624,1671.8
"Nexevis",2.17,3.30,4.70,6.90,1,7,1,1,0,30,25, 33, 105, 3, 1, 11,0,1,52, 144240, 242663, 58824, 152.85, 96921,1692.1
"TwitchTV LOLFILL",2.32,3.40,5.00,8.20,0,0,4,2,4,40,29, 52, 224, 6, 1, 12,6,3,52, 135396, 183707, 37575, 42.67, 102162,1792.3
"Grigne",3.97,7.10,3.70,7.60,0,10,0,0,0,70,13, 27, 116, 5, 0, 4,8,6,59, 173652, 246319, 83674, 116.55, 122163,1717
"Qq1035716423me",4.95,1.60,2.10,8.80,0,0,0,3,7,70,34, 62, 188, 9, 1, 11,6,1,52, 46869, 100582, 25114, 14.65, 74459,1418.4
"Always Blaming",1.78,4.30,5.90,6.20,2,1,6,0,1,40,24, 40, 144, 12, 1, 8,3,2,46, 213305, 189908, 17396, 67.40, 115435,1783.8
"Never Blaming",2.30,6.70,5.70,6.40,1,4,5,0,0,30,13, 35, 95, 8, 1, 13,3,6,60, 223640, 309335, 92877, 76.43, 123152,1773.3
"dT Hoglet",3.18,6.80,4.90,8.80,1,7,0,1,1,80,19, 56, 151, 8, 1, 16,5,5,63, 203859, 254760, 76196, 103.17, 123933,1676.9
"REN Freeze",2.86,4.10,3.60,6.20,0,0,0,10,0,50,4, 31, 72, 22, 2, 11,6,2,46, 178560, 150845, 25890, 20.88, 116041,1637.8
"Butler Delta",2.36,3.10,3.90,6.10,4,0,6,0,0,40,16, 32, 112, 9, 0, 7,3,2,53, 128849, 158360, 47745, 272.88, 92800,1529.5
"LETS GOOOOOOOOOO",2.71,6.90,4.90,6.40,1,0,0,9,0,50,9, 31, 104, 16, 1, 16,4,4,52, 225890, 160966, 27428, 33.27, 129908,1801.3
"prohibit",3.60,2.30,3.50,10.30,4,0,1,1,4,50,17, 43, 193, 8, 0, 14,5,5,55, 122381, 200418, 56200, 33.00, 108343,1919.6
"Q1035716423",1.93,4.80,5.80,6.40,9,0,0,1,0,40,5, 17, 85, 8, 2, 17,5,3,52, 177149, 255353, 35150, 78.10, 101973,1663.8
"iQ1035716423",1.85,8.20,7.90,6.40,3,2,4,1,0,30,21, 80, 112, 6, 3, 8,0,2,56, 230900, 245395, 30492, 56.70, 117319,1834
"Lokeneve",2.59,9.30,6.90,8.60,2,1,0,7,0,80,16, 38, 113, 29, 4, 12,2,9,58, 270796, 263018, 50343, 60.42, 157619,1855.3
"KElTHMCBRlEF",2.79,6.70,4.30,5.30,1,0,1,8,0,90,12, 21, 86, 18, 1, 18,5,5,46, 212374, 196196, 31328, 32.20, 126361,1629
"Liquid Smoothie",3.93,1.30,4.10,14.80,0,0,0,0,10,70,54, 65, 287, 3, 0, 10,9,7,67, 64552, 156020, 31013, 25.58, 87612,1750.9
"Pooky Wan Kenobi",3.90,1.90,4.10,14.10,0,0,1,1,8,80,33, 56, 255, 2, 1, 19,3,2,59, 95660, 175582, 104496, 33.83, 98945,1809.9
"ZionSpartan",2.08,3.90,4.80,6.10,7,0,0,1,2,30,17, 34, 131, 11, 1, 10,1,3,50, 157613, 200467, 33697, 21.07, 103863,1708
"JiaQQ1035716423",4.14,2.60,3.70,12.70,0,1,2,2,5,90,29, 67, 190, 8, 4, 17,5,6,57, 122584, 171440, 39208, 33.55, 102323,1712.4
"Ohh Wonder",3.24,6.60,4.60,8.30,0,3,0,7,0,50,49, 53, 212, 14, 2, 15,3,4,60, 226065, 196775, 42381, 47.33, 130132,1929.4
"tehgameguy",2.76,0.30,4.90,13.20,1,0,0,0,9,70,35, 54, 264, 2, 0, 15,3,3,57, 44342, 130695, 132981, 29.72, 80890,1737.5
"Puncho",2.79,4.90,4.30,7.10,1,0,0,7,2,70,5, 33, 79, 12, 2, 13,3,3,53, 192874, 175861, 23980, 60.98, 104172,1562.9
"Chimonaa1",3.72,5.10,3.60,8.30,6,3,0,1,0,50,18, 30, 115, 10, 0, 13,4,3,52, 221569, 240474, 53968, 103.73, 126649,1770.9
"QQ1035716423q",4.95,1.50,2.20,9.40,0,0,0,2,8,80,33, 50, 193, 9, 0, 12,6,2,53, 69580, 104568, 50589, 21.53, 83397,1530.8
"Pants are Dragon",2.72,2.20,6.00,14.10,1,3,0,1,5,60,30, 51, 209, 3, 0, 20,10,9,59, 134764, 244989, 122415, 92.20, 111850,1899.2
"GroundEffect",1.34,5.40,7.60,4.80,0,0,2,8,0,40,15, 28, 122, 10, 0, 8,3,3,45, 231437, 216769, 32868, 46.47, 117217,1734
"lIlIIIIIllIIIl",2.17,4.10,6.00,8.90,3,0,7,0,0,40,18, 31, 139, 17, 3, 13,5,7,59, 208855, 242226, 33610, 94.73, 127861,1923.5
"TiP Past",4.05,4.10,4.20,12.90,0,3,0,2,5,60,29, 61, 180, 1, 1, 12,6,4,68, 134407, 255076, 80496, 78.65, 102080,1650.4
"jonzaler",2.98,8.30,4.70,5.70,2,0,1,7,0,60,10, 30, 95, 20, 3, 11,3,5,57, 216949, 180934, 40140, 55.33, 119757,1628.1
"GangstahSwerve",2.90,6.80,5.20,8.30,1,7,2,0,0,50,16, 59, 184, 11, 2, 16,1,7,55, 205328, 373440, 118504, 158.10, 138473,2102.9
"Nocturneking2",3.48,6.70,4.80,10.00,2,6,1,1,0,70,24, 65, 142, 13, 1, 11,5,5,62, 204340, 284930, 97185, 81.40, 123549,1753.6
"GG Oddie",2.84,5.10,5.00,9.10,0,4,2,1,3,40,27, 43, 148, 2, 0, 7,0,2,55, 135287, 208640, 54775, 68.85, 107568,1764.2
"DIG Kirei",2.09,6.20,6.50,7.40,0,9,1,0,0,50,19, 38, 95, 9, 2, 7,7,3,60, 195094, 256539, 75610, 76.78, 107312,1573.5
"DZG 6ulb3tier",1.62,4.40,5.80,5.00,1,1,1,7,0,10,2, 34, 138, 8, 0, 7,7,3,48, 199136, 214417, 39277, 36.08, 124673,1938.1
"KeepoKing",2.85,6.30,5.40,9.10,1,0,2,6,1,80,17, 31, 102, 14, 3, 10,7,5,50, 196756, 219909, 44665, 68.88, 121070,1679.9
"Rohammers",2.51,3.40,4.30,7.40,5,3,2,0,0,60,21, 62, 114, 5, 0, 10,0,6,50, 159697, 244022, 49284, 64.73, 110134,1693.8
"Pretty Raheem",2.92,4.60,3.90,6.80,1,0,0,9,0,60,32, 33, 133, 15, 3, 13,4,5,53, 211121, 169084, 26809, 25.33, 130026,1819.2
"sanspareil2016",3.16,5.30,3.80,6.70,0,10,0,0,0,70,30, 61, 126, 3, 1, 9,7,3,55, 134670, 206917, 85123, 96.88, 103349,1537.2
"Best Riven NA",3.94,5.20,3.60,9.00,1,2,4,1,2,50,21, 50, 135, 11, 3, 14,3,7,56, 215676, 234711, 68760, 279.23, 125371,1897.8
"C9 Meteos",4.23,5.90,3.10,7.20,2,5,2,1,0,80,21, 53, 85, 9, 1, 10,3,3,54, 166973, 214428, 62620, 82.75, 115004,1619.9
"kina",2.74,5.50,4.60,7.10,10,0,0,0,0,60,26, 34, 133, 19, 3, 8,6,7,48, 192524, 226871, 41568, 28.22, 130584,1704.4
"Izaiya",4.13,7.60,3.90,8.50,3,4,3,0,0,70,33, 41, 215, 14, 1, 14,7,6,62, 207894, 238495, 92658, 81.72, 123874,1769.7
"Piggy Kitten",3.88,5.90,3.40,7.30,0,3,7,0,0,50,21, 59, 138, 5, 0, 8,7,2,60, 182499, 188100, 40976, 68.08, 118049,1711.9
"SE Flamboozle",2.88,7.50,5.00,6.90,0,0,1,9,0,30,14, 36, 158, 21, 3, 13,2,1,55, 262913, 179756, 28494, 39.17, 136713,1932.7
