"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"GladeGleamBright",2.61,6.9,5.7,8,1,6,2,0,1,40,15,33,135,7,0,9,3,4,62,210874,292862,65337,6128,123839,1804.7,2649,3163,10160,0,2075,0,0,0,0,0,32652,36472,63.5,300,3019,36959,47636,72,283,4137,134154,189320,9.67,487,47378,7109,19434,4,16,10803
"Kiyoon",1.37,4.10,7.00,5.50,2,6,1,0,1,0,33, 45, 154, 2, 0, 7,1,2,51, 132789, 268467, 48186, 104.82, 97292,1791.8,4186,1229,10608,0,1895,0,0,0,0,0,7285,13133,47.00,97,285,34849,59315,42.00,340,10301,85375,172352,7.00,440,35037,5280,23667,13.00,41,2563
"ChamGyoUuk",1.51,3.10,5.30,4.90,10,0,0,0,0,70,19, 28, 105, 9, 2, 13,3,0,40, 163992, 202852, 41103, 48.55, 95230,1465.1,14651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163992,202852,62.70,1479,41103,0,0,0,0,0,0,0,0,0,0
"Slooshi8",2.75,6.30,4.40,5.80,0,0,6,4,0,50,12, 21, 79, 15, 1, 14,6,5,55, 221786, 184425, 29785, 60.35, 128155,1761.5,0,10901,0,6714,0,78558,74591,66.75,887,11705,143228,109834,77.33,1248,18080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Linsanityy",2.47,4.10,3.60,4.80,0,2,8,0,0,30,21, 23, 132, 3, 0, 8,2,2,54, 129542, 150658, 23754, 51.32, 92870,1422.4,0,10615,3609,0,0,0,0,0,0,0,106669,91415,72.88,1321,8639,0,0,0,0,0,22873,59243,2.50,165,15115,0,0,0,0,0
"KiWiKiD",3.48,1.30,4.20,13.30,1,1,0,0,8,50,39, 63, 222, 7, 1, 10,0,3,62, 75933, 185404, 61513, 37.45, 94231,1841.2,1625,0,1719,0,15068,0,0,0,0,0,0,0,0,0,0,9891,13508,72.00,216,981,13677,16184,2.00,63,4055,52365,155712,5.25,189,56477
"lron Pyrite",2.27,3.00,5.50,9.50,0,0,1,1,8,40,24, 94, 285, 3, 1, 15,2,6,56, 172628, 140363, 12827, 55.27, 103071,1831.6,0,1717,0,1562,15037,9595,20526,23.00,57,3356,20950,10089,95.00,265,146,0,0,0,0,0,0,0,0,0,0,142083,109748,4.50,389,9325
"SE MaGeRdAnGeR",5.19,5.60,2.70,8.40,0,9,0,1,0,50,33, 72, 139, 8, 4, 14,5,6,65, 155615, 246306, 73980, 108.77, 118192,1713.5,0,0,15413,1722,0,28640,17146,60.00,153,3091,0,0,0,0,0,0,0,0,0,0,126975,229160,6.33,817,70889,0,0,0,0,0
"TangerineOrange",4.00,3.90,2.60,6.50,1,0,0,7,2,70,27, 26, 150, 11, 4, 10,5,4,47, 135905, 136761, 24109, 91.75, 105427,1535.1,1435,0,0,10422,3494,110858,69927,74.71,1415,10696,0,0,0,0,0,13698,17998,66.00,150,931,0,0,0,0,0,11349,48836,8.00,80,12482
"Ablazeolive",2.69,6.10,3.90,4.40,0,0,7,3,0,60,22, 53, 111, 12, 2, 8,2,3,50, 173290, 154884, 16293, 28.47, 113551,1609.3,0,11818,0,4275,0,38992,36751,83.67,612,5217,134298,118133,74.14,1349,11076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
