"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"GladeGleamBright",2.61,6.9,5.7,8,1,6,2,0,1,40,15,33,135,7,0,9,3,4,62,210874,292862,65337,6128,123839,1804.7,2649,3163,10160,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32652,36472,63.5,300,3019,18760,10,11,10,3,3,21,0.61,0,0,168,36959,47636,72,283,4137,17886,4,9,16,0,5,16,0.57,2.22,0,515,134154,189320,9.67,487,47378,75887,53,32,34,6,19,63,0.63,2.72,50,5313,7109,19434,4,16,10803,11306,2,5,20,6,6,35,0.69,4.4,100,132
"Kiyoon",1.70,4.50,6.10,5.90,2,6,2,0,0,10,30, 44, 143, 3, 0, 7,2,2,56, 134139, 255887, 46531, 112.35, 98801,1741.1,4186,2482,10743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16737,23017,53.50,212,1005,14029,7,7,9,3,3,19,0.55,0.00,50.00,171,34849,59315,42.00,340,10301,21812,7,18,10,5,5,34,0.44,0.94,0.00,2896,82553,173555,6.17,461,35225,62960,31,36,40,22,36,90,0.60,1.97,0.00,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ChamGyoUuk",1.51,3.10,5.30,4.90,10,0,0,0,0,70,19, 28, 105, 9, 2, 13,3,0,40, 163992, 202852, 41103, 48.55, 95230,1465.1,14651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163992,202852,62.70,1479,41103,95230,31,53,49,19,28,105,0.40,1.51,70.00,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Slooshi8",2.75,6.30,4.40,5.80,0,0,6,4,0,50,12, 21, 79, 15, 1, 14,6,5,55, 221786, 184425, 29785, 60.35, 128155,1761.5,0,10901,0,6714,0,78558,74591,66.75,887,11705,53129,30,16,26,2,7,25,0.57,3.50,50.00,1910,143228,109834,77.33,1248,18080,75026,33,28,32,10,14,54,0.52,0.00,50.00,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Linsanityy",2.47,4.10,3.60,4.80,0,2,8,0,0,30,21, 23, 132, 3, 0, 8,2,2,54, 129542, 150658, 23754, 51.32, 92870,1422.4,0,10615,3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106669,91415,72.88,1321,8639,72381,34,25,30,14,15,84,0.54,0.00,37.50,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22873,59243,2.50,165,15115,20489,7,11,18,7,8,48,0.56,2.27,0.00,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"KiWiKiD",2.69,0.90,5.40,13.60,1,0,0,1,8,40,36, 54, 210, 7, 0, 9,0,3,60, 77329, 187604, 53072, 29.90, 92197,1812.1,1625,0,0,1535,14961,14189,16901,54.00,170,2601,9259,3,9,6,0,0,7,0.50,1.00,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9891,13508,72.00,216,981,10269,1,2,7,3,3,10,0.44,4.00,0.00,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53249,157195,6.00,188,49490,72669,5,43,123,33,51,193,0.62,2.98,50.00,955,
"lron Pyrite",2.39,2.80,4.90,8.90,0,0,1,1,8,40,25, 88, 279, 3, 1, 14,2,4,55, 152398, 132564, 17945, 42.43, 99283,1797.3,0,1717,0,1562,14694,9595,20526,23.00,57,3356,8210,1,6,7,2,6,21,0.57,1.33,0.00,104,20950,10089,95.00,265,146,10446,2,3,2,2,4,14,0.31,0.00,0.00,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121853,101949,6.75,404,14443,80627,25,40,80,21,78,244,0.57,2.63,50.00,1900,
"SE MaGeRdAnGeR",5.54,5.50,2.60,8.90,0,9,0,1,0,60,31, 70, 134, 8, 4, 16,5,6,65, 152023, 247528, 77624, 106.07, 117810,1713.2,0,0,15410,1722,0,28640,17146,60.00,153,3091,14869,15,3,11,1,4,12,0.79,8.67,100.00,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123383,230382,7.67,810,74533,102941,40,23,78,30,66,122,0.63,5.13,55.56,5951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"TangerineOrange",3.29,4.90,4.50,9.90,0,1,1,7,1,100,25, 51, 130, 16, 3, 15,3,6,57, 211636, 174025, 48461, 59.55, 124799,1723.9,0,2403,1352,11932,1552,155294,111281,79.57,1521,16498,91064,41,30,59,13,36,84,0.56,3.33,100.00,2314,43249,30869,80.00,296,7919,16599,5,5,18,3,8,8,0.66,0.00,100.00,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9662,19147,4.00,71,6850,9020,3,5,5,2,2,8,0.36,1.60,100.00,520,3431,12728,3.00,22,17194,8116,0,5,17,7,5,30,0.68,3.40,100.00,232,
"Ablazeolive",3.24,5.60,3.40,5.40,2,0,3,5,0,70,15, 38, 104, 17, 3, 16,5,5,53, 194159, 159134, 23943, 73.60, 115525,1536.7,3372,4352,0,7643,0,90933,74059,76.40,987,12818,56700,26,20,24,2,22,47,0.49,2.50,60.00,80,60057,39906,83.33,605,2984,35265,22,6,10,7,9,30,0.53,0.00,66.67,1454,43169,45169,62.50,398,8141,23560,8,8,20,6,7,27,0.62,3.50,100.00,2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
